"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",3.15428743225274,0.0329305548321779,1871,1.002865660821
"ns(age, df = CONFIG$spline_df)1",-0.113288391830745,0.0234534356636003,6820,1.00024303073043
"ns(age, df = CONFIG$spline_df)2",-0.243652277547044,0.0308266328719295,5360,1.00080044748818
"ns(age, df = CONFIG$spline_df)3",-0.424090061946523,0.0292478317204349,4229,1.0014028573196
"ns(age, df = CONFIG$spline_df)4",-0.466672459797001,0.0295763317849062,4123,1.00113723754626
"ns(age, df = CONFIG$spline_df)5",-0.525955178504165,0.0565534021485622,3667,1.00147187375471
"ns(age, df = CONFIG$spline_df)6",-0.598521520356916,0.0358317406683299,3702,1.00189063213786
"lnWt",0.0466076791907857,0.00697730560944189,19932,0.999802850879746
"sigma",0.806803100914215,0.00237571758052261,15519,0.999807620126279
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.0152623757380227,0.00465525792376445,1822,1.00289212181589
"Sigma[period_4yr:(Intercept),(Intercept)]",0.000752798809774039,0.00048874476439864,3165,1.00218959992188
"mean_PPD",2.97171990488972,0.00480145557162108,12168,0.999774770093199
"log-posterior",-69479.0112825774,7.09149678561046,2196,1.00445354224
