term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),4.96672880874934,0.08622744415344137,4.824668812875781,5.10787601236561,3772,1.0014827196570963
age,-0.035235229970644245,0.001778509035976006,-0.03819965267994485,-0.032322510625513154,3787,1.0010317534991877
scale(age_squared),0.3006783431329457,0.02907141019308667,0.25291803822989717,0.34830194706549417,4128,1.0008059093810475
lnWt,-0.0031271192377937125,7.800894414254045e-4,-0.004411988985700577,-0.0018492857294579253,19797,0.999804939586379
race_fNH-Black,-0.25848442505375147,0.00979709953817659,-0.27464841002229656,-0.2426647257515841,18934,0.999749514752514
race_fNH-AIAN,-0.3111677591940763,0.03799038519579679,-0.3735236965074295,-0.24994054858237896,20608,0.9998901053225543
race_fNH-Asian/PI,-0.061783948524212096,0.014441484971741555,-0.08554529930322133,-0.037780166818933,20717,0.9998640974489941
race_fHispanic,-0.08351160596810497,0.008964946711263867,-0.09826578963930103,-0.06868006187265875,16089,0.9999737440772499
race_fOther,-0.30205578036605063,0.042862257192728834,-0.37151216935107373,-0.2315621297378115,21242,0.9999508281572622
educ_fHS,0.2885892045385496,0.009852128496101694,0.27240942464374734,0.3048217542137995,10515,1.0000590276319994
educ_fSome college,0.43894131469096237,0.010037339105795424,0.42246866267619604,0.4553026760611993,10455,1.00028519773977
educ_fBachelor+,0.7689049827194656,0.01048664441168291,0.751479032646386,0.7859458400838604,10179,1.0002443432362036
sex_fMale,0.05059385065067817,0.006310090198542621,0.04014488015808078,0.0609128696594637,22182,0.9997830142694493
sigma,0.9852975769912853,0.002230390956833026,0.9816704876475252,0.9889905261003524,16469,0.9997958919663893
mean_PPD,3.717157108838304,0.004460992701487585,3.709856814543273,3.724489035456205,11696,1.0000616211636966
log-posterior,-137482.03822538984,6.7411942022561036,-137493.79328749797,-137471.5664481392,2118,1.003138287550424
