"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",5.25259801249488,0.0923521450503897,3150,1.00053684779665
"age",-0.0318175790987331,0.00160136518948797,3982,1.00042722044323
"scale(age_squared)",0.328212910636108,0.0219379512956666,9235,0.999835994422258
"lnWt",-0.0170102959609192,0.00220183423106286,14875,0.999749173432994
"sigma",1.0198941350908,0.0221504178051678,5,1.67417314968034
"Sigma[psu:strata:(Intercept),(Intercept)]",0.0723163861452561,0.045062475200694,5,1.68168426054464
"Sigma[strata:(Intercept),(Intercept)]",0.027575147489356,0.00139619732904222,3720,1.00080928258757
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.0221115682117,0.00757740902485171,2612,1.00112356905352
"Sigma[period_4yr:(Intercept),(Intercept)]",0.00349545188205061,0.00293383846344927,3907,1.00158508796062
"mean_PPD",3.45240546735295,0.00321892456602936,12327,0.999913686902047
"log-posterior",-606995.93301937,4364.25016761193,5,1.66985144812282
