"period_4yr","srh_young","srh_old","gradient","n_total"
"1971",3.22365685483196,2.60095134985718,0.622705504974773,4577
"1975",3.20629898920755,2.41107051455672,0.795228474650826,4496
"1979",3.21364964551487,2.30809181821328,0.905557827301596,3302
"1983",3.2368482816919,2.31948407575222,0.917364205939678,2979
"1987",3.16418632664007,2.52704335774829,0.63714296889178,4717
"1991",3.34200511093383,2.44570126340188,0.896303847531948,4045
"1995",3.20156892716114,2.64777813691462,0.553790790246521,5231
"1999",3.18805690211671,2.36704251256615,0.82101438955055,4159
"2003",3.16267105229836,2.64369910895867,0.518971943339682,4855
"2007",3.2073606045966,2.36348913920748,0.843871465389126,2623
"2011",3.08151618418304,2.59603081198238,0.485485372200661,3004
"2015",3.15146332748591,2.67732437872603,0.474138948759883,3444
"2019",3.08936264801329,2.60044557924126,0.488917068772028,7029
"2023",2.98241079687368,2.42675474177629,0.555656055097389,3166
