cohort,estimate,std_error,ci_lower_90,ci_upper_90,model,start_year,end_year
1884,0.02730030356518744,0.09937564770410895,-0.1356509902578815,0.19189056391454457,Full (1972-2024),1972,2024
1888,0.0010827276356774925,0.07108053188168957,-0.11452343894184058,0.118559601823716,Full (1972-2024),1972,2024
1892,-0.06157346602764496,0.06913031026626307,-0.17548914395888401,0.05056141506796249,Full (1972-2024),1972,2024
1896,-0.0844678920274704,0.048444766922256806,-0.16411434521146073,-0.005081477845201583,Full (1972-2024),1972,2024
1900,-0.17185214575517357,0.048488626782238246,-0.2512447626653024,-0.0921206061930436,Full (1972-2024),1972,2024
1904,-0.13813484823303068,0.039048800393000224,-0.20105461291335375,-0.07392653910850151,Full (1972-2024),1972,2024
1908,-0.06789791131175046,0.03726572063201614,-0.1288210375710061,-0.006694360587906882,Full (1972-2024),1972,2024
1912,-0.077114031862662,0.033376454394942294,-0.13119081838908084,-0.02248051547044367,Full (1972-2024),1972,2024
1916,-0.06918593765442119,0.03773110104233393,-0.1315837321632949,-0.007480254745430297,Full (1972-2024),1972,2024
1920,0.0035417704405168262,0.03095195737301818,-0.046731378292602564,0.05486458468825771,Full (1972-2024),1972,2024
1924,0.06757978748745622,0.032085671520180895,0.015212106980274817,0.1214192514624949,Full (1972-2024),1972,2024
1928,0.09574819705387666,0.029669892333164777,0.047769273324312814,0.14500970071058267,Full (1972-2024),1972,2024
1932,0.10703098112647765,0.031571501383831455,0.05546864951851608,0.1588911050303231,Full (1972-2024),1972,2024
1936,0.15298883655376835,0.028137865271478168,0.10678153848088073,0.19858225478408945,Full (1972-2024),1972,2024
1940,0.15604604323674326,0.02994843482426561,0.10731712784882043,0.2056024045272464,Full (1972-2024),1972,2024
1944,0.2009642922369476,0.026897275231022585,0.1570818361446301,0.2447388585867577,Full (1972-2024),1972,2024
1948,0.1529572885029878,0.02725728872126648,0.10857567404505385,0.1980032876853987,Full (1972-2024),1972,2024
1952,0.1277294284076194,0.026666866936355383,0.08398532621895105,0.17184667340495913,Full (1972-2024),1972,2024
1956,0.11138040767068266,0.027959897321198645,0.06597949954390878,0.1565791633535823,Full (1972-2024),1972,2024
1960,0.09925811997479737,0.027735814689509985,0.053663965901506856,0.14402784250002384,Full (1972-2024),1972,2024
