period,estimate,std_error,ci_lower_90,ci_upper_90,model,start_year,end_year
1971,0.0029226167452746244,0.01648021907968282,-0.023484518400050843,0.030260056246257872,Full (1972-2024),1972,2024
1975,-0.015439883945251085,0.015492318241550897,-0.040368588651184555,0.010205339707933685,Full (1972-2024),1972,2024
1979,-0.020318483594042768,0.015694416060003828,-0.04624041176304501,0.0051562794221799435,Full (1972-2024),1972,2024
1983,0.01728037932860048,0.016108964970309246,-0.008170524642914873,0.04479098623642142,Full (1972-2024),1972,2024
1987,0.02584350469116203,0.014172692390144884,0.0036965847334330493,0.049816942074528206,Full (1972-2024),1972,2024
1991,0.021338285056327736,0.014498144767420871,-0.002428472841365627,0.045531155813018115,Full (1972-2024),1972,2024
1995,0.03729684032479488,0.01351451116629218,0.015593139767605993,0.05998490198702278,Full (1972-2024),1972,2024
1999,0.02177457224146353,0.01419384594960484,-8.634216100436037e-4,0.045334327288484286,Full (1972-2024),1972,2024
2003,0.007693294221747337,0.013348051290471046,-0.01402376788044876,0.029477933672795702,Full (1972-2024),1972,2024
2007,-0.030876331095232665,0.016178378878251992,-0.05812729700946074,-0.004946893945614464,Full (1972-2024),1972,2024
2011,-0.020795592331788494,0.016091176916025733,-0.048545208851492015,0.004684572789991628,Full (1972-2024),1972,2024
2015,-0.03215591308065046,0.01617296418142981,-0.06010017896142076,-0.006892996661273922,Full (1972-2024),1972,2024
2019,0.0097587007994937,0.014689012676724,-0.014468605993729023,0.03380509258655897,Full (1972-2024),1972,2024
2023,-0.02281360045680277,0.017405264512024832,-0.05191258229913536,0.004827747776286342,Full (1972-2024),1972,2024
NA,9.330575673363758e-4,5.836534180679261e-4,3.346135157482428e-4,0.001984219125325484,Full (1972-2024),1972,2024
1991,0.05091290047724986,0.028425553072696005,0.007891788103855938,0.09988063879686783,1994-2024,1994,2024
1995,0.05887662692474053,0.0241491652335594,0.021868915884326986,0.09999369844187453,1994-2024,1994,2024
1999,0.035547627965788905,0.023443373880612847,-2.795771690629578e-4,0.07572765031269557,1994-2024,1994,2024
2003,0.018411391746876046,0.022227262130539396,-0.016014382079775416,0.055769755416803096,1994-2024,1994,2024
2007,-0.03359034060425068,0.023528433273834873,-0.07217185737666303,0.003434841578298465,1994-2024,1994,2024
2011,-0.0272591406018474,0.023380643084382924,-0.06584875737554044,0.0090651218707795,1994-2024,1994,2024
2015,-0.04696331393331391,0.023854548692723805,-0.08716139113755099,-0.010802978296108203,1994-2024,1994,2024
2019,-0.007173896480339384,0.023192363927357046,-0.046244815690553893,0.028019036468533525,1994-2024,1994,2024
2023,-0.045919130770348635,0.02663213179169326,-0.09065153433387965,-0.005078605950476606,1994-2024,1994,2024
NA,0.0031224844755469426,0.0028923070653888434,7.023043470616968e-4,0.007953082442827625,1994-2024,1994,2024
2003,0.05531044570666057,0.025795194552273984,0.017380079657245768,0.09766178851171925,2004-2024,2004,2024
2007,-0.0012387452094163082,0.02535596211080227,-0.040985314811317945,0.04017330815801969,2004-2024,2004,2024
2011,-4.3001753359589104e-4,0.02456620940282526,-0.038954501968791556,0.03900944510821768,2004-2024,2004,2024
2015,-0.023984539926312814,0.024582849587010916,-0.06397060794588426,0.012744098068425172,2004-2024,2004,2024
2019,0.006871412910445497,0.023780699462513242,-0.030855216843224217,0.043435032862059866,2004-2024,2004,2024
2023,-0.03549947104600136,0.02617249131265132,-0.07985901635855235,0.003114843884769138,2004-2024,2004,2024
NA,0.0028029745858455125,0.004403838668602,4.150519882783623e-4,0.008518391670280318,2004-2024,2004,2024
1971,-0.013033657044216766,0.016807819109999008,-0.040825866798051155,0.014177348565915276,1972-2014,1972,2014
1975,-0.0248548939579354,0.016264358140310922,-0.05195979236895547,0.0010104791827662315,1972-2014,1972,2014
1979,-0.026504223089358014,0.01662854067302867,-0.05459558853801119,-3.830053523332092e-5,1972-2014,1972,2014
1983,0.01245563545801829,0.016485223193168096,-0.013853296821793547,0.03968297891931278,1972-2014,1972,2014
1987,0.023764576210346833,0.015102271766693343,-7.239609936497302e-4,0.04844107708940714,1972-2014,1972,2014
1991,0.02054527097501892,0.015393001377805627,-0.003887279977884295,0.04666335529843952,1972-2014,1972,2014
1995,0.037234833201488314,0.015045166874417868,0.013114121394434818,0.06247512309841006,1972-2014,1972,2014
1999,0.022471021552694145,0.015692985527424812,-0.002551456285787886,0.04858558963751829,1972-2014,1972,2014
2003,0.006924728173924035,0.015640042602745978,-0.018774204326505887,0.032948058191826037,1972-2014,1972,2014
2007,-0.032381481774066245,0.018199362082013094,-0.06304326349680076,-0.003978869369636129,1972-2014,1972,2014
2011,-0.024733913316996623,0.018184592862214754,-0.05539727270332149,0.004562411238376276,1972-2014,1972,2014
NA,0.001142940830928431,8.069699493919385e-4,3.492333762752894e-4,0.002613947028905088,1972-2014,1972,2014
1991,0.034536521678830985,0.031014824443589262,-0.012694184176921617,0.08520618326942606,1994-2014,1994,2014
1995,0.04416512709366605,0.02893051294932692,-2.475389102231453e-4,0.08962671775173023,1994-2014,1994,2014
1999,0.0198621323261618,0.02921053494654827,-0.025717369738237718,0.06604818818550222,1994-2014,1994,2014
2003,-0.0018063596080044996,0.028824304530776144,-0.04722812272940598,0.04290637697376848,1994-2014,1994,2014
2007,-0.0513561525502477,0.030399316424861086,-0.10131437868120564,-0.006348356512246216,1994-2014,1994,2014
2011,-0.05047117069185117,0.029835665716057207,-0.10026519826270423,-0.005275057341084291,1994-2014,1994,2014
NA,0.004492714535104257,0.006043838233778306,8.437688121761733e-4,0.013311717097026334,1994-2014,1994,2014
