"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",3.11430676382156,0.0805162134367269,4384,1.00003543843232
"age",-0.0367014988765419,0.00145802819861632,6362,0.999958665972745
"scale(age_squared)",0.35671761532492,0.0213279468876737,12897,0.999829119132662
"lnWt",0.207221154714639,0.00326312035980298,15383,1.00006617203805
"sigma",0.96303485189331,0.0015510378241439,18865,0.999883765525815
"Sigma[psu:strata:(Intercept),(Intercept)]",0.0184486352328155,0.00126325357186958,1955,1.00187379086554
"Sigma[strata:(Intercept),(Intercept)]",0.0104728273972747,0.00108103769968985,1614,1.00140201908917
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.0161546667811786,0.00666131891835918,2856,1.00072807879051
"Sigma[period_4yr:(Intercept),(Intercept)]",0.00248286474453531,0.00331214873515363,4785,1.00047830290188
"mean_PPD",3.50072133489195,0.00307816731011678,11475,0.999967438994966
"log-posterior",-295332.027141786,106.555137170557,2925,1.00085996179453
