"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",4.43943790094881,0.108276222602702,4701,1.00092250931942
"age",-0.0268757539465683,0.00197523887618984,5780,1.00099643072103
"scale(age_squared)",0.294647587604221,0.0359948614742373,6214,1.00079216706917
"lnWt",0.014351674748429,0.00143190512120815,19861,0.999890111615164
"sigma",1.02643195007804,0.00262646738213978,21475,0.999749313805728
"Sigma[psu:strata:(Intercept),(Intercept)]",0.0228949734640829,0.00286966462405651,752,1.00823858487574
"Sigma[strata:(Intercept),(Intercept)]",0.00349305236560318,0.00230037353414028,366,1.0138527673481
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.00283877997551257,0.00141376931502473,3416,1.00228467045899
"Sigma[period_4yr:(Intercept),(Intercept)]",0.0164572740947911,0.0442402817986511,1928,1.00240989965848
"mean_PPD",3.28974465525438,0.00528994596859301,11648,0.999862618520202
"log-posterior",-109774.024945652,22.3225075070227,2756,1.0006419978938
