"period","age_slope","interaction","ci_10","ci_90","significant"
"1983",-0.0214137333272665,0,-0.0221435002516392,-0.0206639156263238,"ref"
"1987",-0.0194091571472051,0.00200457618006138,0.00125767556122183,0.00274254438149417,"*"
"1991",-0.0188494402026778,0.00256429312458873,0.00171382751715283,0.00337904027674343,"*"
"1995",-0.0199499076863616,0.00146382564090488,0.000494683355811579,0.00242761699109568,"*"
"1999",-0.0203151251268301,0.00109860820043635,0.000237045651373942,0.00195137662627624,"*"
"2003",-0.0206842769640764,0.00072945636319008,-0.000140199878592118,0.00159193315974891,""
"2007",-0.0194402037183079,0.00197352960895861,0.00102652694251941,0.00288530320998813,"*"
"2011",-0.0193530345256439,0.0020606988016226,0.00115661400857667,0.00294966151397202,"*"
"2015",-0.0178711293685341,0.00354260395873237,0.00263857908319332,0.0044513785307504,"*"
"2019",-0.0166614224369953,0.00475231089027115,0.00363505490500649,0.00582759549637212,"*"
"2023",-0.0159576466259723,0.00545608670129424,0.00414764369346909,0.00673564714817162,"*"
