"period_4yr","srh_young","srh_old","gradient","n_total"
"1983",4.24733888399809,2.95526856399567,1.29207032000241,17083
"1987",4.15828114944257,3.31728605335792,0.840995096084648,27308
"1991",4.10586985357204,2.88383595891763,1.22203389465441,20214
"1995",4.12023972402825,3.03632646024119,1.08391326378706,11442
"1999",4.20287698851663,2.97166764260761,1.23120934590902,22306
"2003",4.13181513487671,3.0961227738747,1.03569236100201,20759
"2007",4.29272408704022,3.06984186648171,1.22288222055851,19082
"2011",4.24152692200178,2.93453187263685,1.30699504936493,25230
"2015",4.24410068811934,3.12809101102201,1.11600967709733,21377
"2019",4.08843845906257,3.01704001534641,1.07139844371616,9595
"2023",4.03473277136898,2.90294914937147,1.13178362199752,4941
