"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",4.66489448411121,0.0452210803821793,6286,1.00022544662919
"age",-0.0212936959763466,0.000942978712866257,7842,1.00030530645078
"scale(age_squared)",0.0355584905220686,0.0156095698279678,10294,1.00009062593538
"lnWt",-0.000423941651783871,0.000431922819685118,15429,1.0001378126267
"sigma",1.02038177768289,0.00160499611401095,26165,0.999758917804516
"Sigma[psu:strata:(Intercept),(Intercept)]",0.00775746873409751,0.000867312796578006,2693,1.00189179276461
"Sigma[strata:(Intercept),(Intercept)]",0.0273847992583822,0.00184143342154984,4047,1.00046124106663
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.00415739184910821,0.00158234431815762,3068,1.00133399274892
"Sigma[period_4yr:(Intercept),(Intercept)]",0.000591014342507406,0.000472993941940695,4657,1.00062089959155
"mean_PPD",3.73216822025148,0.00322204165822146,11980,1.00020006103963
"log-posterior",-292818.792833778,58.0127600146051,2748,1.00237931482342
