cohort,estimate,std_error,ci_lower_90,ci_upper_90,survey
1904,-0.13185593299774379,0.08563535475769486,-0.2752540690385881,0.008421408339735946,brfss
1908,-0.20940148613339088,0.06624414554509019,-0.31711228560967886,-0.10168712224620712,brfss
1912,-0.08086815037775447,0.057714942735879564,-0.1742472894175639,0.01478721001824454,brfss
1916,-0.06963571118124313,0.05241563893168083,-0.15361559387508814,0.017668771147377093,brfss
1920,-0.040567794104418374,0.045192913579372405,-0.11289866913135549,0.03518798504769074,brfss
1924,0.024108473241232137,0.04335276447529358,-0.04558861099733081,0.09724722795299443,brfss
1928,0.04217698136590897,0.03944394458153475,-0.019877735520509466,0.10973793057069986,brfss
1932,0.0761776048946191,0.03888748072543006,0.014465131899101905,0.1423986280670655,brfss
1936,0.1155890255326564,0.03562716111608771,0.05910489920951473,0.17659972632803064,brfss
1940,0.1618659141285138,0.03484787989409107,0.10654645502271752,0.22078166360873983,brfss
1944,0.16555024289928486,0.032729563311969564,0.11375877751374572,0.22150202095510638,brfss
1948,0.1791481903276794,0.03237310154160718,0.12756472320976905,0.234114281155963,brfss
1952,0.1416938388149865,0.03148285077434988,0.09128087791148792,0.19526105087504683,brfss
1956,0.15985207585669528,0.031753070846343615,0.1092224006893726,0.21291368592818338,brfss
1960,0.12430865109188421,0.03146055386512851,0.07298224276998669,0.177135682769508,brfss
1964,0.10802196318526477,0.03292369817671427,0.055434427588065854,0.16345018702861153,brfss
1968,0.10187093301906396,0.033175664074367894,0.047449467207141896,0.15627962968619527,brfss
1972,0.04799009252984849,0.035077432249412885,-0.010318525790039553,0.10537538765763055,brfss
1976,0.03228962862949874,0.03636339716348664,-0.027897480591004355,0.09194420952632486,brfss
1980,-0.025739279706630758,0.03934303345195269,-0.09156964403147262,0.037886935606015346,brfss
1984,-0.041755272227813715,0.040268217425733194,-0.10917832076071386,0.023259670986865554,brfss
1988,-0.09242009591898968,0.04410827572695697,-0.1667671138461548,-0.021377201218755203,brfss
1992,-0.11955450649718471,0.04663173441041086,-0.19843170261639415,-0.04400977988322059,brfss
1996,-0.16826949890772866,0.050407313560124914,-0.25375261279771705,-0.08587955063916965,brfss
2000,-0.2025435364701156,0.05412146545566841,-0.2932569484929662,-0.11530385701065607,brfss
2004,-0.309946095434379,0.06060190137543015,-0.4111788653718852,-0.2111972765524491,brfss
NA,0.02211156821169999,0.00757740902485171,0.01245398103563778,0.03600640583813671,brfss
1912,-0.1250772864645169,0.06070991844455679,-0.22394990131398207,-0.02641304890617247,meps
1916,-0.13870586351448846,0.04872062604741915,-0.21860246312600484,-0.05923563477004972,meps
1920,-0.09613076398462422,0.04328486507378995,-0.16572510427708165,-0.02513229875225033,meps
1924,-0.07992669878845314,0.04346824608372431,-0.15045864716658902,-0.00887459934331848,meps
1928,-0.03098569940494954,0.03834150687273727,-0.09265221698290615,0.03249552195731772,meps
1932,0.02726971330088657,0.03681136743168681,-0.03239217017534735,0.08821624778803662,meps
1936,0.07489151184633444,0.03382904586271281,0.02113797460758817,0.1306846780727932,meps
1940,0.11297796878356532,0.0333036650554875,0.05950680566563504,0.16916267754841366,meps
1944,0.12457107231038976,0.03080014239981899,0.07491070822433603,0.17602304376121822,meps
1948,0.1289756558730607,0.03016687989401784,0.08061695681750967,0.17948046552194166,meps
1952,0.08910272976168801,0.02899117756252537,0.04325848999040969,0.13816964742656432,meps
1956,0.11376368008369478,0.02894694126014667,0.067295450984732,0.16244703186030393,meps
1960,0.09910428019906518,0.02836409079354255,0.05421842202559623,0.1463419020214746,meps
1964,0.0763787529745629,0.02940525661228116,0.02939624955114135,0.12591237452472534,meps
1968,0.09963308542025172,0.02919483453869764,0.05333369336432743,0.14875401681779502,meps
1972,0.07602074655353391,0.0304657440407499,0.02702122685178442,0.12664541710616542,meps
1976,0.05526887914101969,0.03096895268406314,0.00481181877257528,0.10684129479572478,meps
1980,0.00320275425722992,0.0323988241916105,-0.04888699558409343,0.05684894053936045,meps
1984,0.00408658136547211,0.03388578630473207,-0.05123897477851216,0.0599605725023849,meps
1988,-9.90567453627304e-5,0.03617213973061858,-0.05917438122843788,0.05979436612066418,meps
1992,-0.03607406164755888,0.03887769783118341,-0.09971751381579438,0.02830971659145746,meps
1996,-0.08860395564812569,0.04265174316273151,-0.1581626110649361,-0.01880854705953991,meps
2000,-0.13938944766212588,0.04940448807322607,-0.220792419870623,-0.05780215792841296,meps
2004,-0.33774313805750483,0.09032744959601124,-0.49012937991082706,-0.19449124511089688,meps
1896,-0.02488954957233094,0.05972689156885202,-0.12560971365811177,0.07067932383792296,nhis
1900,-0.06500528341129054,0.04386564548796689,-0.13803540778221396,0.00535131495308081,nhis
1904,-0.06334300273404359,0.03306437273834543,-0.1193192489050668,-0.00984803636517647,nhis
1908,-0.06212154509241902,0.03813216988483911,-0.127292329688291,-0.00144405821907206,nhis
1912,-0.05396397791844974,0.02573460857698976,-0.09699172035181472,-0.01217698236943498,nhis
1916,-0.03062903536730167,0.02451495135199768,-0.07054469430521888,0.01007323827653634,nhis
1920,-0.04926199754342193,0.02127045777490826,-0.08420921553704615,-0.0144079626165477,nhis
1924,-0.04612677313836012,0.02161090151730232,-0.08186451693520955,-0.01101400824951527,nhis
1928,-0.01034350578731463,0.01884790586651376,-0.04134017604328031,0.02071980926955267,nhis
1932,0.02974815405542108,0.02050935252051425,-0.00360356907540911,0.06327325104160594,nhis
1936,0.05342987661293409,0.01718395620706384,0.02603923490014274,0.08227267678058289,nhis
1940,0.08430365765873735,0.0175739295960704,0.05596103516099487,0.11353429779966132,nhis
1944,0.11397853938078,0.01573242775540078,0.08902684048875437,0.14061991281483405,nhis
1948,0.09149523382910918,0.01695828094665656,0.06446785113845693,0.12013004028531502,nhis
1952,0.07252665988762737,0.01531973690485446,0.04828872262405349,0.09857942015327296,nhis
1956,0.08414355843246742,0.01625394464901421,0.05847622469424359,0.11165216199007832,nhis
