period,estimate,std_error,ci_lower_90,ci_upper_90,survey
1991,0.077173862314172,0.03222394930559812,0.026960208873558808,0.13241281827910112,brfss
1995,0.04861334143782228,0.025863386633525172,0.008128524887700425,0.09245889083874026,brfss
1999,0.002333103432059051,0.023659122022552853,-0.03589821092685539,0.04078950243633258,brfss
2003,-0.04497300466759979,0.022034479919156552,-0.080628440627217135,-0.010230629567498985,brfss
2007,-0.03658890072008463,0.02148171627504351,-0.07190385994718797,-0.0028580277809544118,brfss
2011,-0.02755577427413411,0.0216317862769465,-0.06314023222335349,0.005856392072627507,brfss
2015,-0.022771229375638507,0.02229989466809467,-0.05959597667368523,0.011946918180908404,brfss
2019,0.04151951583763745,0.02363316494463446,0.002875745235451374,0.07915931780886368,brfss
2023,-0.039092321687472856,0.02588383142983434,-0.08232329774062087,0.001518928043569299,brfss
NA,0.00349545188205061,0.0029338384634492705,0.0010270568498316865,0.008604652283068852,brfss
1999,-0.0278504568426124,0.02286654084868655,-0.06573841994747436,0.00674208177923664,meps
2003,-0.04641835633840835,0.02130839426941043,-0.08068137397137415,-0.0145901865648651,meps
2007,-0.01777226942405139,0.02066919888571831,-0.05053151587288693,0.01370802815631361,meps
2011,0.00786385257467959,0.02038772708687001,-0.0236382981206816,0.0395955991394646,meps
2015,0.05371481772440355,0.02078230294881418,0.02242805460409588,0.08730934328679293,meps
2019,0.02325699430145279,0.02200647607849083,-0.00970495046974552,0.05980204155554911,meps
2023,0.00518703135842754,0.02629275345050489,-0.03595883334593852,0.04838995945612779,meps
1983,-0.02428608207685116,0.01379303260910329,-0.04771552039005446,-0.00273526289482249,nhis
1987,0.02025556659264551,0.01292786448730579,-1.8075745878937723e-4,0.04218483390804548,nhis
1991,-0.00613967552426568,0.01292363637790697,-0.0271610929274516,0.01533059508088878,nhis
1995,0.0245111008092301,0.01292633503041399,0.00434985980438564,0.04634484118212471,nhis
1999,0.01565513502233697,0.01164897836100414,-0.00314060228920995,0.03484670592472073,nhis
2003,-0.02136090020310825,0.01115277039387935,-0.03985951856939093,-0.00338484095828608,nhis
2007,-0.00818998973272323,0.01161768313699962,-0.02726572922348227,0.01054344603217689,nhis
2011,-0.01010834760075435,0.01144807681311435,-0.02912157718765292,0.00824290138541774,nhis
2015,0.01494562807329019,0.01315407973506181,-0.00636772252877346,0.03674403760226313,nhis
2019,0.00417179276649784,0.0158189085379916,-0.0212231996932604,0.0304297255765513,nhis
2023,-0.008360363659626,0.01660099397771687,-0.03648115294494115,0.01845293162469115,nhis
1995,-0.00875100508155767,0.01081830260850128,-0.02733835228709987,0.00763260105307083,cps
1999,0.00311930680018794,0.00942656076198417,-0.01237099904941085,0.01825898652687854,cps
2003,0.00707669251217692,0.00893596093473458,-0.00739642736184001,0.02155099323611865,cps
2007,-0.01543110853488278,0.00896485760836108,-0.03061263616015156,-0.00162592758764319,cps
2011,-0.0137293781429561,0.00885161415820869,-0.02818155090219411,-2.392132387247162e-4,cps
2015,-7.621155113057159e-4,0.00889150344746609,-0.01503964118591602,0.01351118710135406,cps
2019,0.02055632834896579,0.01013404620735258,0.00503358894587933,0.03784239324719653,cps
2023,0.00649707432909659,0.01049703095275911,-0.00964393601957872,0.02461143180217176,cps
1999,0.05736087841458401,0.05796117611419851,-0.02753919589171137,0.14352587968597744,nhanes
2003,0.00781229389845629,0.05779184071116688,-0.07923223633302591,0.09363544688819991,nhanes
2007,-0.08047666626041292,0.05767151181333037,-0.1709222131811607,0.00162919175291255,nhanes
2011,-0.04568324093014354,0.05790694264085905,-0.13473973749228965,0.03790964715776068,nhanes
2015,-0.0666802038078074,0.0562423402973567,-0.1534476609203183,0.01348791964688319,nhanes
2019,0.12530676925910034,0.06086240643449693,0.03776267831836933,0.2193112067275248,nhanes
1971,0.00292261674527462,0.01648021907968282,-0.02348451840005084,0.03026005624625787,gss
1975,-0.01543988394525108,0.01549231824155089,-0.04036858865118455,0.01020533970793368,gss
1979,-0.02031848359404276,0.01569441606000382,-0.04624041176304501,0.00515627942217994,gss
1983,0.01728037932860048,0.01610896497030924,-0.00817052464291487,0.04479098623642142,gss
1987,0.02584350469116203,0.01417269239014488,0.00369658473343304,0.0498169420745282,gss
1991,0.02133828505632773,0.01449814476742087,-0.00242847284136562,0.04553115581301811,gss
1995,0.03729684032479488,0.01351451116629218,0.01559313976760599,0.05998490198702278,gss
1999,0.02177457224146353,0.01419384594960484,-8.634216100436037e-4,0.04533432728848428,gss
2003,0.00769329422174733,0.01334805129047104,-0.01402376788044876,0.0294779336727957,gss
2007,-0.03087633109523266,0.01617837887825199,-0.05812729700946074,-0.00494689394561446,gss
2011,-0.02079559233178849,0.01609117691602573,-0.04854520885149201,0.00468457278999162,gss
2015,-0.03215591308065046,0.01617296418142981,-0.06010017896142076,-0.00689299666127392,gss
2019,0.0097587007994937,0.014689012676724,-0.01446860599372902,0.03380509258655897,gss
2023,-0.02281360045680277,0.01740526451202483,-0.05191258229913536,0.00482774777628634,gss
