"period","age_slope","interaction","ci_10","ci_90","significant"
"1971",-0.0134740113074086,0,-0.0146859767962599,-0.0121910156375087,"ref"
"1975",-0.0137414879292527,-0.000267476621844087,-0.00158750464249362,0.00103252857579513,""
"1979",-0.0124114697338103,0.00106254157359828,-0.00033854383248101,0.00248655633259699,""
"1983",-0.0114275638667349,0.00204644744067373,0.000559061320990694,0.00356584636076929,"*"
"1987",-0.0129071638852527,0.000566847422155918,-0.000763888692189499,0.00192245132506809,""
"1991",-0.0111785212594305,0.00229549004797815,0.0008008355657923,0.00372950896573979,"*"
"1995",-0.0108110708994195,0.00266294040798914,0.00118141951616159,0.00413571034866754,"*"
"1999",-0.0110183698546743,0.0024556414527343,0.000927415426601574,0.00397243279720234,"*"
"2003",-0.0104605528859825,0.00301345842142609,0.00142800015103441,0.00457368625416179,"*"
"2007",-0.0101352205440602,0.0033387907633484,0.00154298845770407,0.00507256941466706,"*"
"2011",-0.00917635279443727,0.00429765851297136,0.00243579744922984,0.00607100678544102,"*"
