"cohort","estimate","std_error","ci_lower_90","ci_upper_90","prior"
1884,0.0273003035651874,0.0993756477041089,-0.135650990257881,0.191890563914545,"Default"
1888,0.00108272763567749,0.0710805318816896,-0.114523438941841,0.118559601823716,"Default"
1892,-0.061573466027645,0.0691303102662631,-0.175489143958884,0.0505614150679625,"Default"
1896,-0.0844678920274704,0.0484447669222568,-0.164114345211461,-0.00508147784520158,"Default"
1900,-0.171852145755174,0.0484886267822382,-0.251244762665302,-0.0921206061930436,"Default"
1904,-0.138134848233031,0.0390488003930002,-0.201054612913354,-0.0739265391085015,"Default"
1908,-0.0678979113117505,0.0372657206320161,-0.128821037571006,-0.00669436058790688,"Default"
1912,-0.077114031862662,0.0333764543949423,-0.131190818389081,-0.0224805154704437,"Default"
1916,-0.0691859376544212,0.0377311010423339,-0.131583732163295,-0.0074802547454303,"Default"
1920,0.00354177044051683,0.0309519573730182,-0.0467313782926026,0.0548645846882577,"Default"
1924,0.0675797874874562,0.0320856715201809,0.0152121069802748,0.121419251462495,"Default"
1928,0.0957481970538767,0.0296698923331648,0.0477692733243128,0.145009700710583,"Default"
1932,0.107030981126478,0.0315715013838315,0.0554686495185161,0.158891105030323,"Default"
1936,0.152988836553768,0.0281378652714782,0.106781538480881,0.198582254784089,"Default"
1940,0.156046043236743,0.0299484348242656,0.10731712784882,0.205602404527246,"Default"
1944,0.200964292236948,0.0268972752310226,0.15708183614463,0.244738858586758,"Default"
1948,0.152957288502988,0.0272572887212665,0.108575674045054,0.198003287685399,"Default"
1952,0.127729428407619,0.0266668669363554,0.0839853262189511,0.171846673404959,"Default"
1956,0.111380407670683,0.0279598973211986,0.0659794995439088,0.156579163353582,"Default"
1960,0.0992581199747974,0.02773581468951,0.0536639659015069,0.144027842500024,"Default"
1964,0.09839628092492,0.0306059648227196,0.0478384737041854,0.148606974895721,"Default"
1968,0.0610883709096393,0.0291372109624904,0.0132927558328766,0.108937607797748,"Default"
1972,0.0130643291421313,0.0310229746763573,-0.0379765218500343,0.0642196335252143,"Default"
1976,0.0157351780569835,0.0311436032426549,-0.035011232293885,0.0670690249471265,"Default"
1980,0.00346374736768236,0.0354470663170316,-0.0546195874616369,0.0613487698124333,"Default"
1984,-0.0694859687148068,0.0339339291953108,-0.125402967073281,-0.0139077950522593,"Default"
1988,-0.11014416563418,0.0375890683427368,-0.171794935142089,-0.0491365350158698,"Default"
1992,-0.132168398003847,0.0387715162345305,-0.196045301505472,-0.0691025478908266,"Default"
1996,-0.116272534539456,0.0440416882432233,-0.188280701034424,-0.0447603069084968,"Default"
2000,-0.180517554291762,0.0506254029220383,-0.263243120979236,-0.0984903085648199,"Default"
2004,-0.20379999675744,0.0716316230795616,-0.322881634317517,-0.0872825314045291,"Default"
