"cohort","estimate","std_error","ci_lower_90","ci_upper_90","model","type"
1884,0.0241663178960424,0.0986455104911047,-0.139102367966746,0.184311497312758,"M1: Base","random"
1888,-0.00980256600552488,0.0704073140478304,-0.12506432392873,0.106336623704873,"M1: Base","random"
1892,-0.0736471994040761,0.0683930209960288,-0.186568890747663,0.0368402442755863,"M1: Base","random"
1896,-0.100311354355046,0.0480544873313893,-0.179014673638079,-0.0227932628351442,"M1: Base","random"
1900,-0.181946375956471,0.0480116004729422,-0.260201635801112,-0.102075424651077,"M1: Base","random"
1904,-0.146366882026747,0.0382434502213194,-0.209877940861652,-0.0842651953042491,"M1: Base","random"
1908,-0.0639627549705074,0.0364668267385726,-0.124838047901027,-0.00423860847378102,"M1: Base","random"
1912,-0.0691175084981419,0.0327610438762206,-0.123513736161844,-0.0158743217925081,"M1: Base","random"
1916,-0.0669117972137198,0.0368600424613637,-0.126146567684638,-0.00687100317680264,"M1: Base","random"
1920,0.0174133235377831,0.0302329274779545,-0.0324467185298641,0.0668277620811197,"M1: Base","random"
1924,0.0769441735680701,0.0315934960265853,0.024874283516373,0.128851490269314,"M1: Base","random"
1928,0.102142965441342,0.0287804435622883,0.0549488510155771,0.149479344995891,"M1: Base","random"
1932,0.108269175808867,0.0307115699519323,0.0574561992010993,0.157944684673163,"M1: Base","random"
1936,0.15144217008378,0.0270710721869248,0.107697691708508,0.196444073268297,"M1: Base","random"
1940,0.153174066873643,0.0290430572355409,0.105749900199318,0.200894701339921,"M1: Base","random"
1944,0.196229188132014,0.0260338299754502,0.153805262739336,0.239105592525016,"M1: Base","random"
1948,0.149675613488721,0.0267261838345407,0.105757345232065,0.193674494140686,"M1: Base","random"
1952,0.127420342166134,0.0257160432860708,0.0849310126713972,0.169634848045843,"M1: Base","random"
1956,0.115154433354562,0.0267654668226567,0.0715806878973813,0.157982728044629,"M1: Base","random"
1960,0.0983979045736534,0.0264157567714377,0.0541137328025236,0.141653667018544,"M1: Base","random"
1964,0.0945056167563308,0.0291937754096568,0.0456199420004478,0.142435069406253,"M1: Base","random"
1968,0.0571776745413409,0.0276959339611134,0.0117200332188562,0.102914855351089,"M1: Base","random"
1972,0.00962240684832582,0.0296867575254076,-0.0395369182134333,0.0583773463088033,"M1: Base","random"
1976,0.00256849652898552,0.0299294988223109,-0.0463691325515566,0.0516242919700868,"M1: Base","random"
1980,-0.00223414107896452,0.034176103580218,-0.0585204435483259,0.0538079406887823,"M1: Base","random"
1984,-0.090504589318606,0.0324021472211444,-0.142850813990018,-0.0370957755465059,"M1: Base","random"
1988,-0.133778507515303,0.0358609310437989,-0.19240787917364,-0.0745638691503705,"M1: Base","random"
1992,-0.147105246304912,0.0374195194788165,-0.208430239367914,-0.0852970831411411,"M1: Base","random"
1996,-0.108522889006653,0.0421312302030621,-0.177626744979121,-0.0382810349764537,"M1: Base","random"
2000,-0.145074003058003,0.0489422894154068,-0.226349746015759,-0.0656393485123392,"M1: Base","random"
2004,-0.15238045206049,0.0697360894987394,-0.267621883995218,-0.0403679291591014,"M1: Base","random"
NA,0.0152623757380227,0.00465525792376445,0.00920066300055142,0.0239498286008139,"M1: Base","random"
1884,0.0109636201794626,0.0993671400719013,-0.153196081453344,0.172770788159786,"M2: Period Smooth","random"
1888,-0.0313917658040089,0.0745074522579449,-0.155008244103582,0.0903558357209188,"M2: Period Smooth","random"
1892,-0.0954543312370344,0.0714411208517596,-0.214639729320868,0.019970268122986,"M2: Period Smooth","random"
1896,-0.125500570552013,0.0535900618252051,-0.212753064905022,-0.0385490518388987,"M2: Period Smooth","random"
1900,-0.203472495431148,0.0526239475509498,-0.290562761685552,-0.117072407006538,"M2: Period Smooth","random"
1904,-0.170517511339307,0.0437453015968305,-0.24207790169354,-0.0990670608286703,"M2: Period Smooth","random"
1908,-0.0886478169183875,0.0411987812825656,-0.15742465615674,-0.0208497308350431,"M2: Period Smooth","random"
1912,-0.0908235030920006,0.0365218282311774,-0.150291885581092,-0.0306987400208365,"M2: Period Smooth","random"
1916,-0.0817690778600371,0.0403147126982365,-0.148988689708499,-0.0161311624378522,"M2: Period Smooth","random"
1920,-0.00026900836110971,0.0330997751045038,-0.0538834105588875,0.0535402664995087,"M2: Period Smooth","random"
1924,0.059654078917843,0.0330210934796881,0.00641134826823131,0.114085158256911,"M2: Period Smooth","random"
1928,0.0898207198517483,0.0307209876349138,0.0387779959323597,0.140696882579965,"M2: Period Smooth","random"
1932,0.102904169082146,0.0312458106409069,0.051467547686199,0.153958955168897,"M2: Period Smooth","random"
1936,0.145288198190148,0.02800343788083,0.0989385633361787,0.191404720981421,"M2: Period Smooth","random"
1940,0.147925816073258,0.0293296818343404,0.100379413890242,0.195766457103312,"M2: Period Smooth","random"
1944,0.194743289983069,0.0262779079771575,0.151379944916678,0.238243485807182,"M2: Period Smooth","random"
1948,0.150141347089002,0.0270554105595657,0.106083332371787,0.194662242648434,"M2: Period Smooth","random"
1952,0.131123797957761,0.0261451967290878,0.088932906157226,0.174115388911001,"M2: Period Smooth","random"
1956,0.124975519680022,0.0277144023119936,0.0807017089155865,0.170576206511883,"M2: Period Smooth","random"
1960,0.106409273788461,0.0279407815991306,0.0608928314277884,0.152265434849256,"M2: Period Smooth","random"
1964,0.0995375551872647,0.0311434379593118,0.0493796900000017,0.151206272207302,"M2: Period Smooth","random"
