start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged
1986,2000,15,15,18-29,-0.38588291616688697,0.6798501204786461,0.6580062999134523,0.7024190898713619,1.1854561506619654e-118,253759,4953,TRUE
1986,2000,15,15,30-39,-0.4915260934304002,0.6116921820977375,0.598341795762692,0.6253404463623495,0,244577,8729,TRUE
1986,2000,15,15,40-49,-0.5069031986052316,0.602358076762936,0.5930668206545228,0.6117948939397915,0,203172,15543,TRUE
1986,2000,15,15,50-59,-0.4636835922776398,0.6289625315885593,0.6213687891611444,0.6366490770744153,0,142733,24504,TRUE
1986,2000,15,15,60-69,-0.37477126204085537,0.6874465059191656,0.6811272786445962,0.693824360464437,0,119389,44586,TRUE
1986,2000,15,15,70-79,-0.26858546784869897,0.7644600832589437,0.7580182832343826,0.770956627065382,0,84072,56500,TRUE
1986,2000,15,15,80-89,-0.1424378796854418,0.8672414259291528,0.8574808176241935,0.8771131381474878,2.54036916018089e-134,33520,29950,TRUE
1987,2001,15,15,18-29,-0.39646318942136094,0.6726950385391002,0.6511445094382112,0.6949588122389937,7.088902148247925e-126,256016,4985,TRUE
1987,2001,15,15,30-39,-0.4996138209411326,0.6067649343850502,0.5935696670416433,0.6202535372709079,0,248097,8812,TRUE
1987,2001,15,15,40-49,-0.5154999940536821,0.5972019225472088,0.588121086601084,0.6064229704043824,0,209861,15961,TRUE
1987,2001,15,15,50-59,-0.47069050006345436,0.6245708531400254,0.6170710854011825,0.632161771667598,0,146957,24863,TRUE
1987,2001,15,15,60-69,-0.3814385102289211,0.6828783748020838,0.6765882087834894,0.6892270198009912,0,120434,44489,TRUE
1987,2001,15,15,70-79,-0.2718137727783624,0.7619961523037663,0.7555951467855335,0.7684513837812561,0,85377,57128,TRUE
1987,2001,15,15,80-89,-0.14590078507632895,0.8642434447785565,0.8546339812658491,0.8739609566383063,2.889303182868979e-144,34577,30875,TRUE
1988,2002,15,15,18-29,-0.40903574472589216,0.6642904870164634,0.6424286583994444,0.6868962730273986,7.789102287054628e-127,246232,4744,TRUE
1988,2002,15,15,30-39,-0.503296815915479,0.6045343323505491,0.5911756234620675,0.6181949060252039,0,241101,8610,TRUE
1988,2002,15,15,40-49,-0.5138341714376786,0.5981975840836175,0.5890301341912393,0.607507712818131,0,208200,15718,TRUE
1988,2002,15,15,50-59,-0.47935773199992676,0.6191809442316092,0.6116296082250683,0.6268255109691626,0,145287,24101,TRUE
1988,2002,15,15,60-69,-0.3870290212793057,0.6790713871202712,0.6726380658185361,0.6855662387234782,0,115892,42218,TRUE
1988,2002,15,15,70-79,-0.2746468508016769,0.7598404128817042,0.7533038114786247,0.7664337339737748,0,83340,55422,TRUE
1988,2002,15,15,80-89,-0.14622837736263786,0.8639603716613704,0.8542384822420512,0.8737929036422765,1.6492324960322507e-141,34438,30755,TRUE
1989,2003,15,15,18-29,-0.4111347637847488,0.6628975909926603,0.6404778571642742,0.6861021208281421,2.6344109689675803e-121,236883,4564,TRUE
1989,2003,15,15,30-39,-0.5036513697939958,0.6043200303513652,0.5906178413634595,0.6183401067614096,0,233144,8298,TRUE
1989,2003,15,15,40-49,-0.5188693774596377,0.5951931064356737,0.5859911990099034,0.604539512789782,0,205608,15450,TRUE
1989,2003,15,15,50-59,-0.48928975231995325,0.6130616652164436,0.6054877240906246,0.6207303474606948,0,143799,23538,TRUE
1989,2003,15,15,60-69,-0.39471852276481656,0.6738696915338619,0.6672882232558757,0.6805160728781732,0,111174,39980,TRUE
1989,2003,15,15,70-79,-0.2785544522426692,0.7568770529748384,0.7501855171526873,0.7636282762351435,0,80669,53299,TRUE
1989,2003,15,15,80-89,-0.1472170197681825,0.8631066458855251,0.853257578898108,0.8730693996691942,1.7645704785666214e-139,34160,30459,TRUE
1990,2004,15,15,18-29,-0.42063518823692897,0.6566296039233397,0.6337850527411973,0.6802975786249487,6.707818348020993e-120,229098,4416,TRUE
1990,2004,15,15,30-39,-0.5062287349554732,0.6027644824273686,0.5888819732476185,0.6169742627240506,0,226061,8030,TRUE
1990,2004,15,15,40-49,-0.5268417139320194,0.590466891246422,0.5812654921962311,0.5998139479102464,0,203652,15193,TRUE
1990,2004,15,15,50-59,-0.49906386772687567,0.6070987184854204,0.5995152961272064,0.6147780654931546,0,143354,23022,TRUE
1990,2004,15,15,60-69,-0.40399026539678057,0.6676506205511752,0.6609564587392278,0.6744125807812664,0,107912,38226,TRUE
1990,2004,15,15,70-79,-0.2815320046401053,0.75462676373081,0.7478276728821616,0.7614876704737404,0,78542,51499,TRUE
1990,2004,15,15,80-89,-0.1466906731266349,0.8635610587487357,0.8536064226651962,0.8736317843753298,9.605773129625776e-136,34198,30423,TRUE
1991,2005,15,15,18-29,-0.42567982720369085,0.653325485685501,0.6301497054864467,0.6773536296691582,4.658033480325363e-118,221575,4236,TRUE
1991,2005,15,15,30-39,-0.513168262789557,0.5985960616882608,0.5845134108713679,0.6130180050694337,0,218105,7682,TRUE
1991,2005,15,15,40-49,-0.5354131853470379,0.5854273501623658,0.5761582873131968,0.5948455309327616,0,201489,14841,TRUE
1991,2005,15,15,50-59,-0.5038374913355513,0.6042075638422679,0.5965813085592453,0.6119313075460765,0,143494,22495,TRUE
1991,2005,15,15,60-69,-0.4105302138417707,0.6632984668560261,0.6564649011295649,0.6702031675669434,0,104730,36386,TRUE
1991,2005,15,15,70-79,-0.2849640346390962,0.7520413012698178,0.7451370894205148,0.7590094854296349,0,76313,49463,TRUE
1991,2005,15,15,80-89,-0.145915528404565,0.8642307030477022,0.854199843637262,0.8743793547303625,1.5996707586991485e-132,34198,30300,TRUE
1992,2006,15,15,18-29,-0.4236320285126223,0.6546647355489784,0.630754337157143,0.679481520338144,2.5888743039669545e-110,213030,4012,TRUE
1992,2006,15,15,30-39,-0.5121442960327857,0.5992093180796593,0.5844714871754515,0.6143187730314501,0,208327,7245,TRUE
1992,2006,15,15,40-49,-0.5376045369904281,0.5841458775678448,0.5746441484606233,0.5938047175692934,0,196500,14204,TRUE
1992,2006,15,15,50-59,-0.5118604762389521,0.5993794096813196,0.591601145247436,0.607259941323591,0,141512,21576,TRUE
1992,2006,15,15,60-69,-0.4160613020330826,0.6596398319821177,0.6525400377348413,0.6668168737168106,0,100493,33890,TRUE
1992,2006,15,15,70-79,-0.2861815003064923,0.7511262739252691,0.7439693461177516,0.7583520508270528,0,72988,46559,TRUE
1992,2006,15,15,80-89,-0.14357405932489783,0.8662566434293703,0.8559632533319074,0.8766738167374863,1.563874724030899e-122,33630,29587,TRUE
1993,2007,15,15,18-29,-0.424883504357436,0.6538459508974588,0.6288209206177803,0.6798668961029378,4.9439533409174093e-101,203133,3694,TRUE
1993,2007,15,15,30-39,-0.5171737380100728,0.5962031954784526,0.5808185779635092,0.6119953179614893,0,197025,6674,TRUE
1993,2007,15,15,40-49,-0.5480909124100876,0.5780523101529542,0.5683502613205061,0.5879199782486512,0,189945,13404,TRUE
1993,2007,15,15,50-59,-0.5223192572114211,0.5931432996159115,0.5852056273981728,0.6011886376476587,0,139094,20437,TRUE
1993,2007,15,15,60-69,-0.4232772009373223,0.6548970698666013,0.6475330961237321,0.6623447893046487,0,96208,31287,TRUE
1993,2007,15,15,70-79,-0.28935426107828377,0.7487469065264433,0.7413386996779022,0.756229143678184,0,69514,43401,TRUE
1993,2007,15,15,80-89,-0.14255489289883003,0.8671399531600645,0.8563425041483549,0.8780735450171845,3.800843231284047e-110,32817,28552,TRUE
1994,2008,15,15,18-29,-0.42340760189436116,0.6548116762297558,0.6282428786416439,0.6825040854484594,2.732096960968485e-89,196869,3466,TRUE
1994,2008,15,15,30-39,-0.5215697362486676,0.5935880396030414,0.577602049637204,0.6100164654559198,7.302619246977569e-307,188510,6207,TRUE
1994,2008,15,15,40-49,-0.5533957633736208,0.5749939480482693,0.5650238991147186,0.585139922063738,0,185030,12584,TRUE
1994,2008,15,15,50-59,-0.5283694443178126,0.5895655057471847,0.5814044977458319,0.5978410674746549,0,138159,19457,TRUE
1994,2008,15,15,60-69,-0.43186012084154596,0.6493001938979882,0.6416806066538637,0.6570102593475762,0,93452,29079,TRUE
1994,2008,15,15,70-79,-0.2920831459666564,0.7467064477627929,0.7390620956813295,0.7544298677860258,0,66860,40706,TRUE
1994,2008,15,15,80-89,-0.14487773526181755,0.8651280613006588,0.8541639993685187,0.876232858096526,8.360384199654318e-110,32519,27884,TRUE
1995,2009,15,15,18-29,-0.42302523158068045,0.6550621046509434,0.6276423715457637,0.6836797201771387,9.342973815329102e-84,192876,3279,TRUE
1995,2009,15,15,30-39,-0.5294958261484964,0.5889018037346291,0.5722221475308741,0.6060676538619781,1.1192511353801516e-285,181202,5719,TRUE
1995,2009,15,15,40-49,-0.5574180241461398,0.5726858175099158,0.5623440663101247,0.583217757998233,0,181450,11795,TRUE
1995,2009,15,15,50-59,-0.5353031730122129,0.5854917579347872,0.5771523911241467,0.5939516215845155,0,138521,18535,TRUE
1995,2009,15,15,60-69,-0.43939747300911064,0.6444245873385394,0.6365514513130254,0.6523951016211422,0,91993,26985,TRUE
1995,2009,15,15,70-79,-0.2946374574350964,0.7448015607927352,0.7368583185934806,0.7528304301675862,0,64294,37672,TRUE
1995,2009,15,15,80-89,-0.1480303979460281,0.8624048992060148,0.8513654981298739,0.8735874448850173,2.638326388164476e-112,32433,27251,TRUE
1996,2010,15,15,18-29,-0.42247344837495143,0.6554236566589889,0.627176871643083,0.6849426200663661,8.114955658847249e-79,191263,3078,TRUE
1996,2010,15,15,30-39,-0.5336721419320128,0.5864474923936078,0.5691770388560001,0.6042419807130722,2.939517999769834e-268,176675,5277,TRUE
1996,2010,15,15,40-49,-0.5652010375557058,0.568245896507556,0.5576331261503743,0.5790606471441946,0,179372,11073,TRUE
1996,2010,15,15,50-59,-0.5442369696681417,0.5802843890475292,0.5718386627805626,0.5888548538059956,0,140423,17791,TRUE
1996,2010,15,15,60-69,-0.4483446828608355,0.6386845024862053,0.6306483184171883,0.6468230895150102,0,92395,25444,TRUE
1996,2010,15,15,70-79,-0.30040263525374866,0.7405200011903211,0.7323704066262275,0.7487602819576779,0,63129,35463,TRUE
1996,2010,15,15,80-89,-0.14852883655126198,0.8619751504214973,0.8508964515290915,0.8731980943262404,3.796451263760008e-112,32838,26950,TRUE
1997,2011,15,15,18-29,-0.4217021437228085,0.6559293829839563,0.6272906887777546,0.6858755648039696,1.5929456175862484e-76,197158,2993,TRUE
1997,2011,15,15,30-39,-0.5395717932535941,0.5829978425413955,0.56550755082983994,0.6010290824749622,4.043192114926884e-264,179714,5065,TRUE
1997,2011,15,15,40-49,-0.574110019762474,0.563205887935245,0.5524587640665065,0.5741620783967547,0,183762,10742,TRUE
1997,2011,15,15,50-59,-0.5526870693608299,0.57540158724531,0.5669702866226142,0.5839582680367158,0,147193,17523,TRUE
1997,2011,15,15,60-69,-0.46046276572795397,0.630991576656107,0.622982507810232,0.6391036101646712,0,97259,25106,TRUE
1997,2011,15,15,70-79,-0.3090991487651806,0.7341079805180505,0.7259333524760336,0.7423746618365802,0,64936,34800,TRUE
