start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged
1986,1986,1,1,18-29,-0.6143194011466796,0.5410089801275663,0.2825789818147359,1.035783746897931,0.06375852744521446,11767,12,TRUE
1986,1986,1,1,30-39,-0.331550549970841,0.7178098700316109,0.42940683245651495,1.1999133934762818,0.20596188629605905,9698,14,TRUE
1986,1986,1,1,40-49,-0.6641128788935153,0.5147299530299024,0.307621457705175,0.8612758242635052,0.01145287143785746,6689,14,TRUE
1986,1986,1,1,50-59,-0.6924378680271521,0.5003547820772085,0.3641499834116833,0.6875049275081155,1.944988466207493e-5,5660,43,TRUE
1986,1986,1,1,60-69,-0.733862563549862,0.4800511762625038,0.3909221611712169,0.5895013246130113,2.5020561305025336e-12,5172,106,TRUE
1986,1986,1,1,70-79,-0.5061198847269704,0.6028300970500327,0.5017427540873886,0.7242837548702451,6.50044339038815e-8,3265,125,TRUE
1986,1986,1,1,80-89,-0.3708824210478385,0.6901250809724331,0.5481186920404665,0.8689224328661374,0.0016034505767857853,1163,73,TRUE
1987,1987,1,1,18-29,-0.007333560332091532,0.9926932646073221,0.5794342125457292,1.7006933595916578,0.9787004262557867,22420,22,TRUE
1987,1987,1,1,30-39,-0.6618917063740578,0.5158745277348813,0.36600407922823147,0.7271135582063734,1.5698307967686528e-4,19075,31,TRUE
1987,1987,1,1,40-49,-0.8466761977121867,0.428837938263131,0.3304750156462672,0.556477702056053,1.901479545714935e-10,13967,43,TRUE
1987,1987,1,1,50-59,-0.7069278644591009,0.4931569175242404,0.40496640755672025,0.6005528872612649,2.0296254498862097e-12,10954,97,TRUE
1987,1987,1,1,60-69,-0.7579039645407537,0.46864770045673326,0.40692112974136346,0.5397376815575536,7.144217668084003e-26,10387,193,TRUE
1987,1987,1,1,70-79,-0.6038496792341512,0.5467029488241253,0.4798930959112687,0.6228139491889194,1.0845165127891137e-19,6463,245,TRUE
1987,1987,1,1,80-89,-0.29028783440860145,0.7480482225704516,0.639984793949178,0.8743584981727681,2.6573225148800064e-4,2369,177,TRUE
1988,1988,1,1,18-29,-0.34921394145166934,0.7052422335817706,0.44558317657535385,1.1162149609194092,0.1360512565865354,21576,22,TRUE
1988,1988,1,1,30-39,-0.7196443034848957,0.4869254228367373,0.32036588671391775,0.7400799437065506,7.54058867452249e-4,19338,26,TRUE
1988,1988,1,1,40-49,-1.0668835266936842,0.34407916175778847,0.24652811873046476,0.4802310996636515,3.5647049623486825e-10,14499,47,TRUE
1988,1988,1,1,50-59,-0.5709324614092335,0.5649983538333495,0.45854387304882155,0.696167059679384,8.31849162511008e-8,10704,70,TRUE
1988,1988,1,1,60-69,-0.5596255218135887,0.5714230092395475,0.4939225845618525,0.6610838736560957,5.252725510763368e-14,10500,198,TRUE
1988,1988,1,1,70-79,-0.5399958678023091,0.5827506604099477,0.5173779519491448,0.656383463827254,5.844513471102663e-19,6796,260,TRUE
1988,1988,1,1,80-89,-0.4591112893039834,0.63184492340480225,0.5577148858420207,0.7158281361446507,5.574940961928718e-13,2435,197,TRUE
1989,1989,1,1,18-29,-0.2739365002883908,0.7603803576613314,0.37010147367022855,1.5622155799151136,0.4558732587488843,20402,17,TRUE
1989,1989,1,1,30-39,-0.6522960646090938,0.5208485009659528,0.3674748219349083,0.738236049833458,2.4703776957181055e-4,18723,33,TRUE
1989,1989,1,1,40-49,-0.9763106806342842,0.3766982986947432,0.2751655227915148,0.5156954505053629,1.1104711571761332e-9,14367,40,TRUE
1989,1989,1,1,50-59,-0.6991057020342675,0.49702959765434074,0.39818326036482915,0.6204138785696083,6.431077774226663e-10,10370,72,TRUE
1989,1989,1,1,60-69,-0.6884924750191699,0.5023327777552753,0.4268786489161555,0.5911240120535831,1.1257788128643118e-16,9505,154,TRUE
1989,1989,1,1,70-79,-0.571451863135598,0.5647049689118884,0.4948798948019066,0.6443820111977365,2.1425934565581833e-17,6450,243,TRUE
1989,1989,1,1,80-89,-0.36607275484494256,0.6934523473563899,0.6101524308849003,0.7881246287205239,2.064142435631446e-8,2378,188,TRUE
1990,1990,1,1,18-29,-0.24842923871199393,0.7800250544598543,0.4516724774454342,1.3470802760139466,0.37283312723946443,20537,15,TRUE
1990,1990,1,1,30-39,-0.5959137599380616,0.5510588002872601,0.3475511661440399,0.8737297726349229,0.011278699770336915,19514,30,TRUE
1990,1990,1,1,40-49,-0.6356472456143989,0.5295926008750077,0.3871587421412829,0.7244271983898689,6.98294698380626e-5,14852,37,TRUE
1990,1990,1,1,50-59,-0.7592511447778908,0.46801677261867775,0.3743354513460001,0.5851428141919255,2.690158853444598e-11,10498,80,TRUE
1990,1990,1,1,60-69,-0.6519074850976276,0.5210509313496087,0.45212873301628187,0.6004795829919477,2.1458568995918365e-19,9770,183,TRUE
1990,1990,1,1,70-79,-0.5627220726979434,0.5696563055705388,0.49338990795668064,0.6577116824707463,1.6758075620277135e-14,6534,221,TRUE
1990,1990,1,1,80-89,-0.48626478415549773,0.6149189649566065,0.538507831493043,0.7021723944384071,6.834760413127394e-13,2523,206,TRUE
1991,1991,1,1,18-29,-0.8076875707634029,0.4458879593399569,0.2575896068344094,0.7718326633114484,0.00391325587262729,19666,17,TRUE
1991,1991,1,1,30-39,-1.0207107382115483,0.36033874262568444,0.23784829703395877,0.5459110326046218,1.4658004473676085e-6,19369,30,TRUE
1991,1991,1,1,40-49,-0.7619606068970995,0.4667504152504859,0.345592685026308,0.6303835687954937,6.722649034516668e-7,15332,41,TRUE
1991,1991,1,1,50-59,-0.7510523396755575,0.47186972413823414,0.3843835184832144,0.5792679078356907,7.048800490456902e-13,10661,87,TRUE
1991,1991,1,1,60-69,-0.87988773053041,0.41482948175322054,0.35198446791814086,0.48889514912250637,8.861966148794034e-26,9660,156,TRUE
1991,1991,1,1,70-79,-0.5782758001143815,0.5608645759947183,0.49075790348129467,0.6409862589563471,2.1009513325009344e-17,6763,225,TRUE
1991,1991,1,1,80-89,-0.5139458983064101,0.5981307530741443,0.5185321522485876,0.6899483401783933,1.742631767241677e-12,2476,203,TRUE
1992,1992,1,1,18-29,-0.34477161832323283,0.7083821164907977,0.4492538353649089,1.1169748223883007,0.13784802150739486,21015,24,TRUE
1992,1992,1,1,30-39,-0.768291222792846,0.46380493085462415,0.3363903913899224,0.6394802568415667,2.7556728773369246e-6,20744,35,TRUE
1992,1992,1,1,40-49,-0.6637314076406593,0.514926345166563,0.36673445061845167,0.7230003630677554,1.2655403942746652e-4,16610,43,TRUE
1992,1992,1,1,50-59,-0.6298631785076261,0.5326646759972559,0.42966720603324843,0.660352135492756,9.187789715679488e-9,11238,74,TRUE
1992,1992,1,1,60-69,-0.7602053821786112,0.4675703865231064,0.40128634464574126,0.544803154332023,1.9115429799603382e-22,9877,180,TRUE
1992,1992,1,1,70-79,-0.7021324972891616,0.49552746529697833,0.43001586018710475,0.5710195636895988,2.8749916693736514e-22,6837,245,TRUE
1992,1992,1,1,80-89,-0.25825863010085176,0.7723954415611688,0.6741846634565446,0.8849129184958494,1.9757516394608738e-4,2737,223,TRUE
1993,1993,1,1,18-29,-0.8319419007306228,0.4352033435281405,0.25719796854155635,0.7364053117996162,0.0019342429199816556,17348,22,TRUE
1993,1993,1,1,30-39,-0.5456689214474262,0.57945404443275,0.3644085363687204,0.9214026459295988,0.021117403166062355,17823,26,TRUE
1993,1993,1,1,40-49,-0.8590508398288169,0.42356392158698625,0.31483194628344185,0.5698481294164088,1.3832781665293998e-8,14828,42,TRUE
1993,1993,1,1,50-59,-0.8305155666395131,0.43582453179927005,0.34367783621628556,0.5526775442060128,7.241694032133926e-12,9781,77,TRUE
1993,1993,1,1,60-69,-0.5997920451801055,0.5489257759865254,0.4728185984160623,0.6372835344291162,3.368250377298826e-15,8485,163,TRUE
1993,1993,1,1,70-79,-0.582036399044015,0.5587593502065124,0.483713467068944,0.6454482512861363,2.582293669766065e-15,6059,212,TRUE
1993,1993,1,1,80-89,-0.3150768044211028,0.7297328254094689,0.6357080296025609,0.8376644177563828,7.573552696072829e-6,2321,191,TRUE
1994,1994,1,1,18-29,-0.2272224025754408,0.7967435647632837,0.45287059922688044,1.4017255902136423,0.43050446866904546,17447,15,TRUE
1994,1994,1,1,30-39,-1.1200056649038337,0.32627794628461543,0.21737236618631425,0.48974623637514103,6.481179022067743e-8,18581,27,TRUE
1994,1994,1,1,40-49,-0.8570894440788873,0.42439551333627235,0.3193152817116068,0.56405553399924,3.5287662574925934e-9,15669,44,TRUE
1994,1994,1,1,50-59,-0.789388580454288,0.454122369709479,0.3560286424001817,0.5792430779733453,2.0484167986142983e-10,10569,69,TRUE
1994,1994,1,1,60-69,-0.7835076776533987,0.4568008875572955,0.3784126384514232,0.5514272771836067,3.4358855182711347e-16,8888,128,TRUE
1994,1994,1,1,70-79,-0.6174932480733762,0.5392946224322281,0.47541932115997315,0.6117519352699079,7.968574335315978e-22,6645,245,TRUE
1994,1994,1,1,80-89,-0.42813441159315846,0.651723809675734,0.5745689838889841,0.7392392141033487,2.743699064033692e-11,2576,195,TRUE
1995,1995,1,1,18-29,-0.3761855816462932,0.686474924073735,0.43130965489307066,1.0925974321137584,0.11262848091837888,15712,26,TRUE
1995,1995,1,1,30-39,-1.0326683532372865,0.3560556097247084,0.2538797269340149,0.49935297610188367,2.1753880431196383e-9,16129,31,TRUE
1995,1995,1,1,40-49,-0.891148376838772,0.4101844358736663,0.31502537154004656,0.5340880025328675,3.662147244375207e-11,14081,46,TRUE
1995,1995,1,1,50-59,-0.5654980460485896,0.5680771477114003,0.4521314182641853,0.7137562945545097,1.2029284044556047e-6,9104,76,TRUE
1995,1995,1,1,60-69,-0.751082543970403,0.4718554718611987,0.38220393677952,0.5825360884594759,2.8268138675065607e-12,7317,115,TRUE
1995,1995,1,1,70-79,-0.5954975416096653,0.5512882087986654,0.4772316402562999,0.6368368388089685,5.924257880952105e-16,5399,204,TRUE
1995,1995,1,1,80-89,-0.36979224397862853,0.6908778497616774,0.5953746469057017,0.8017005859621663,1.106191025394559e-6,2106,175,TRUE
1996,1996,1,1,18-29,-0.5088271543681802,0.6012002806012301,0.22020450364318594,1.6413913948856804,0.32073807354928907,9780,12,TRUE
1996,1996,1,1,30-39,-0.32474271651740433,0.7227132719117122,0.42721389706712465,1.2226064671188948,0.22602101484552,9915,14,TRUE
1996,1996,1,1,40-49,-0.6661863019905389,0.5136638057257378,0.34299716885891823,0.7692498051526937,0.0012242908816901693,8970,27,TRUE
1996,1996,1,1,50-59,-0.5512973228297355,0.5762018055266659,0.4173133021467262,0.7955857601094548,8.104375186475885e-4,5717,42,TRUE
1996,1996,1,1,60-69,-0.6039544668847243,0.5466456641079744,0.4268464633443858,0.700067841131332,1.7087460908019646e-6,4333,65,TRUE
1996,1996,1,1,70-79,-0.5364631477713528,0.5848129960233494,0.4700308180546473,0.727625141120094,1.4923595145762227e-6,3220,108,TRUE
1996,1996,1,1,80-89,-0.33447263487803774,0.7157154301999602,0.5788094001155527,0.8850039009802699,0.002016910292803242,1269,83,TRUE
1997,1997,1,1,18-29,-0.22824665674452027,0.7959279146332188,0.42186864708847516,1.5016551944888314,0.48099561345682174,14896,17,TRUE
1997,1997,1,1,30-39,-0.8013316915577618,0.4487309947727827,0.28904936286549243,0.6966267065029744,3.5573754462836304e-4,15324,20,TRUE
1997,1997,1,1,40-49,-0.7999440071248644,0.44935412404218594,0.34307098056284746,0.5885637090681602,6.261950698098688e-9,14108,41,TRUE
1997,1997,1,1,50-59,-0.9133873419754907,0.4011630435268733,0.31347643731908437,0.5133776205575964,3.9207897005315337e-13,9488,61,TRUE
1997,1997,1,1,60-69,-0.9658129763147405,0.3806735952892298,0.31905715164599013,0.4541894309619358,8.14718195477437e-27,6799,122,TRUE
1997,1997,1,1,70-79,-0.5813523344296505,0.5591417084699027,0.4828645348120967,0.6474682392491368,7.921341871773169e-15,5272,188,TRUE
1997,1997,1,1,80-89,-0.4199719388505209,0.6570652575627733,0.570610506878647,0.7566190027900268,5.3908304957073775e-9,2382,210,TRUE
1998,1998,1,1,18-29,-0.48082248439067576,0.6182746613652731,0.3295142346270343,1.1600820745089022,0.13426395996770113,13534,14,TRUE
1998,1998,1,1,30-39,-0.9784001092079941,0.3759120362114815,0.22501729077829932,0.6279955574964647,1.8639767573108446e-4,13714,15,TRUE
1998,1998,1,1,40-49,-1.1740574832405204,0.30911018396291867,0.21485989752169374,0.44470423253339825,2.5038789627791725e-10,12918,24,TRUE
1998,1998,1,1,50-59,-0.907395800865426,0.40357384338521596,0.30345377600971585,0.5367270402972348,4.449822062050829e-10,9102,57,TRUE
1998,1998,1,1,60-69,-0.784096637099767,0.4565319295699074,0.38298303504253095,0.5442053136731693,2.165334358629418e-18,6363,121,TRUE
1998,1998,1,1,70-79,-0.7335906383395386,0.4801817320294727,0.40866207231224105,0.5642179967184533,4.868563929221409e-19,4817,158,TRUE
1998,1998,1,1,80-89,-0.5452943594905774,0.5796711265263456,0.5053094252402434,0.6649759496739379,6.989413587718272e-15,2275,207,TRUE
1999,1999,1,1,18-29,-0.6098911692241921,0.5434100055889951,0.30617584800676045,0.9644602475885411,0.03719751641384396,13396,17,TRUE
1999,1999,1,1,30-39,-0.7036334801643969,0.49478424497738144,0.3247427477611889,0.7538627136882768,0.0010563397737145934,13179,23,TRUE
1999,1999,1,1,40-49,-0.8029553105263084,0.44800301775646173,0.33423368504621814,0.6004981331882892,7.78906549870887e-8,12857,41,TRUE
1999,1999,1,1,50-59,-0.8091602201722669,0.44523180596074147,0.34983912663315747,0.5666357646922936,4.791280671093525e-11,9263,60,TRUE
1999,1999,1,1,60-69,-0.5904809233937824,0.5540607598696246,0.45034861019640954,0.6816570955851775,2.34891937636736e-8,6134,105,TRUE
1999,1999,1,1,70-79,-0.6869303234436903,0.5031181109404919,0.4317523987860464,0.5862800861513354,1.3523853300303673e-18,4772,168,TRUE
1999,1999,1,1,80-89,-0.47233820971671503,0.6235425890891029,0.5422858090487803,0.7169749861054683,3.347186354567879e-11,2222,209,TRUE
2000,2000,1,1,18-29,-0.8306015435428732,0.435787062566385,0.31408506354389276,0.6046462756217592,6.661170055773924e-7,14263,10,TRUE
2000,2000,1,1,30-39,-0.8740130067256557,0.4172736627993395,0.2796425666907081,0.622642367099123,1.867895280830472e-5,13451,24,TRUE
2000,2000,1,1,40-49,-0.8620934180336594,0.42227715376933067,0.32836455867158026,0.5430488458222281,1.850226318944072e-11,13425,59,TRUE
2000,2000,1,1,50-59,-0.7144190617206022,0.4894763847845889,0.3930147506054956,0.6096135854765566,1.7764017898818538e-10,9624,74,TRUE
2000,2000,1,1,60-69,-0.6928056652367679,0.5001707868230874,0.40518840961949926,0.6174184898974638,1.1354248044998234e-10,6199,95,TRUE
2000,2000,1,1,70-79,-0.5675942822880167,0.5668875710600241,0.4857132794023662,0.6616280259369172,6.090710620056894e-13,4780,166,TRUE
2000,2000,1,1,80-89,-0.5236953054898359,0.5923276671031799,0.5017212652517833,0.6992967799358158,6.301100411204973e-10,2288,175,TRUE
2001,2001,1,1,18-29,-0.32185775812495104,0.7248012800910066,0.3180442380025577,1.6517730329619655,0.4437701964048164,14024,13,TRUE
2001,2001,1,1,30-39,-0.7145111893733989,0.489431292551312,0.3154607392301574,0.7593432726779972,0.0014301799434439512,13218,18,TRUE
2001,2001,1,1,40-49,-1.1515597627373955,0.3161432761111417,0.2345657480325721,0.42609192462493234,3.962621064105357e-14,13378,43,TRUE
2001,2001,1,1,50-59,-0.7934675548084705,0.45227378892963116,0.35480799090667325,0.5765134534598705,1.4793544866144838e-10,9884,78,TRUE
2001,2001,1,1,60-69,-0.7962904174384967,0.4509988824418585,0.36853027291786306,0.5519220723805734,1.0885597659191232e-14,6217,101,TRUE
2001,2001,1,1,70-79,-0.5394219736945521,0.5830851935643699,0.5006609862832608,0.6790789621495338,4.0013563166096325e-12,4570,163,TRUE
2001,2001,1,1,80-89,-0.33333397427223804,0.716530851321143,0.598293409907957,0.858134909047364,2.9151389180090176e-4,2220,160,TRUE
2002,2002,1,1,18-29,NA,NA,NA,NA,NA,12636,9,FALSE
2002,2002,1,1,30-39,-0.5942902840630565,0.5519541575540409,0.3887016185719039,0.7837718637768799,8.944934375987171e-4,12079,24,TRUE
2002,2002,1,1,40-49,-0.8278982788710756,0.4369667040602689,0.2970899365450827,0.6427006672719119,2.6027875101334035e-5,12306,27,TRUE
2002,2002,1,1,50-59,-0.7900795910803479,0.4538086747222453,0.35945457318112406,0.5729300129098351,3.0624721738933765e-11,9284,52,TRUE
2002,2002,1,1,60-69,-0.6594115147530342,0.5171555833911361,0.4213480588409363,0.6347481418766704,2.825643268158459e-10,5845,75,TRUE
2002,2002,1,1,70-79,-0.5454671092750087,0.5795709971131133,0.47973265286227523,0.7001869451465533,1.5600883382216577e-8,4426,151,TRUE
2002,2002,1,1,80-89,-0.4763602927768809,0.6210396858208069,0.5347548195161669,0.721246966438507,4.3331860475494593e-10,2230,178,TRUE
2003,2003,1,1,18-29,0.004887437437590781,1.0048994004414813,0.543881098091428,1.8566977388096217,0.9875506816187734,12227,12,TRUE
2003,2003,1,1,30-39,-0.564089245889625,0.5688780188886625,0.3590694159565792,0.9012803262916265,0.0162753573906464,11381,14,TRUE
2003,2003,1,1,40-49,-1.0161328723830862,0.36199210659398634,0.2496107062062004,0.5249706121503571,8.426264476971333e-8,11907,24,TRUE
2003,2003,1,1,50-59,-0.6728891126316816,0.5102323276240669,0.4236247815714031,0.6145462670691106,1.3426609707615825e-12,9216,81,TRUE
2003,2003,1,1,60-69,-0.8607208607003347,0.42285715132232415,0.3389389755727248,0.5275526962406387,2.42138546848486e-14,5782,97,TRUE
2003,2003,1,1,70-79,-0.6608261495458155,0.5164245143293726,0.43364320658494915,0.6150085483884641,1.2298341054424347e-13,4125,140,TRUE
2003,2003,1,1,80-89,-0.3569939705136347,0.6997767170160649,0.5979172738399471,0.818988637897863,8.671116276089684e-6,2157,180,TRUE
2004,2004,1,1,18-29,-1.2755538801470765,0.2792762398100844,0.1389828417280819,0.561185950385562,3.403425967977059e-4,12617,12,TRUE
2004,2004,1,1,30-39,-0.9253073126104812,0.3964095786919611,0.2429141869402901,0.6468973922769042,2.1295716425378096e-4,11640,19,TRUE
2004,2004,1,1,40-49,-0.8073701131981075,0.44602953231644077,0.3044439763078209,0.653461257835083,3.419605117015686e-5,12411,31,TRUE
2004,2004,1,1,50-59,-0.9846186998018516,0.3735816465384739,0.28447437499917566,0.49060041569931107,1.420174211280296e-12,9925,58,TRUE
2004,2004,1,1,60-69,-0.8909687466520968,0.41025812399856126,0.3176439160537476,0.5298754983184987,8.779946648882923e-12,6243,80,TRUE
2004,2004,1,1,70-79,-0.6160990613761699,0.5400470241930871,0.44845552880214007,0.6503449497407938,8.16859558521046e-11,4323,127,TRUE
2004,2004,1,1,80-89,-0.2752252744630315,0.7594010302949328,0.6493323156467111,0.8881275595203413,5.711267972663975e-4,2416,189,TRUE
2005,2005,1,1,18-29,0.1375256641716323,1.1474311534642565,0.5877778199962728,2.23995905791182,0.686985854334724,13014,19,TRUE
2005,2005,1,1,30-39,NA,NA,NA,NA,NA,11558,6,FALSE
2005,2005,1,1,40-49,-0.6470248322920313,0.5236012632673472,0.3811334925120988,0.7193235133657505,6.520323211455034e-5,12689,38,TRUE
2005,2005,1,1,50-59,-0.561042156791429,0.570614084528319,0.4445648444168127,0.7324025674797102,1.0566923660440598e-5,10638,70,TRUE
