period_4yr,happy_young,happy_old,gradient,n_total
1971,2.0443413429421766,2.2338878264927735,-0.1895464835505969,509
1975,2.1267486184456623,2.2754647714920133,-0.148716153046351,517
1979,2.06337125930591,2.4400364323313433,-0.3766651730254331,346
1983,2.162820599846728,2.2070862241135694,-0.04426562426684155,290
1987,2.173954322757525,2.3038822169495647,-0.12992789419203987,496
1991,2.202900135356193,2.2703466976967555,-0.06744656234056245,391
1995,2.068061043738929,2.2677349295400577,-0.19967388580112866,460
1999,2.084692291692113,2.289365799301556,-0.20467350760944303,291
2003,2.127931486686062,2.3227056538713065,-0.19477416718524454,238
2007,2.0633130335225203,2.371153906852382,-0.3078408733298619,208
2011,2.1487212671158535,2.2307928693928463,-0.08207160227699273,268
2015,2.008428161210367,2.1361260301368765,-0.12769786892650936,285
2019,1.8671933005791008,1.9865478109744665,-0.11935451039536571,735
2023,1.8012034930792897,2.11051400944742,-0.30931051636813023,359
