age_group,year,srh_cat,prop,se,survey
18-29,1993,Poor,0.007044536053548054,9.217960996777134e-4,BRFSS
18-29,1993,Fair,0.05614238447102792,0.0026740450928612845,BRFSS
18-29,1993,Good,0.25725788490993073,0.004968487223798225,BRFSS
18-29,1993,Very Good,0.3870263585440885,0.00539294375176494,BRFSS
18-29,1993,Excellent,0.2925288360221994,0.005140916898254427,BRFSS
18-29,1994,Poor,0.007063550563071582,9.614679726039254e-4,BRFSS
18-29,1994,Fair,0.05992650302978311,0.002712131876828181,BRFSS
18-29,1994,Good,0.26667317901283666,0.005199979262330051,BRFSS
18-29,1994,Very Good,0.3854997410589316,0.005493724954336478,BRFSS
18-29,1994,Excellent,0.28083702633738505,0.00496679098865715,BRFSS
18-29,1995,Poor,0.006744088780414027,8.984607758825566e-4,BRFSS
18-29,1995,Fair,0.06671979160325864,0.0030463686591885655,BRFSS
18-29,1995,Good,0.2655134256391551,0.005375596040655931,BRFSS
18-29,1995,Very Good,0.3806661196130135,0.005744207880919826,BRFSS
18-29,1995,Excellent,0.28035657437227474,0.005244854195993765,BRFSS
18-29,1996,Poor,0.007394890823196266,8.126905465224377e-4,BRFSS
18-29,1996,Fair,0.07195031858374619,0.002868475546087895,BRFSS
18-29,1996,Good,0.2826681859847028,0.004777658341452641,BRFSS
18-29,1996,Very Good,0.37358411124149826,0.004980027018072963,BRFSS
18-29,1996,Excellent,0.26440249341725064,0.004495460160676147,BRFSS
18-29,1997,Poor,0.007283837217363454,8.725345779244124e-4,BRFSS
18-29,1997,Fair,0.06706146176187641,0.002757951721560485,BRFSS
18-29,1997,Good,0.2674643327434971,0.004505617211272529,BRFSS
18-29,1997,Very Good,0.38199912288035126,0.004905548756093371,BRFSS
18-29,1997,Excellent,0.2761912453987453,0.004492101409217803,BRFSS
18-29,1998,Poor,0.0087093047664987,8.648199159726858e-4,BRFSS
18-29,1998,Fair,0.06636344746510728,0.002574917883126987,BRFSS
18-29,1998,Good,0.28517642562080486,0.004560040514863262,BRFSS
18-29,1998,Very Good,0.37353125218804084,0.004769525415100709,BRFSS
18-29,1998,Excellent,0.26621956997126256,0.004432011722020894,BRFSS
18-29,1999,Poor,0.008229751165898429,0.0010340891278827538,BRFSS
18-29,1999,Fair,0.06868176521749776,0.0026972858326389758,BRFSS
18-29,1999,Good,0.2829748119908932,0.004581779113666151,BRFSS
18-29,1999,Very Good,0.3760298203177528,0.004951421523843106,BRFSS
18-29,1999,Excellent,0.2640838514305851,0.0045169312229995625,BRFSS
18-29,2000,Poor,0.008025774435775719,0.0011514957162039158,BRFSS
18-29,2000,Fair,0.07452109363757227,0.0027441683661690998,BRFSS
18-29,2000,Good,0.2877432742178428,0.004415203651654819,BRFSS
18-29,2000,Very Good,0.372889983393498,0.004586722437595933,BRFSS
18-29,2000,Excellent,0.25681987431630593,0.0040590220684213136,BRFSS
18-29,2001,Poor,0.008194109965965602,8.611760974229057e-4,BRFSS
18-29,2001,Fair,0.06954063716707565,0.002408655577133624,BRFSS
18-29,2001,Good,0.28315322294085987,0.004318932437842348,BRFSS
18-29,2001,Very Good,0.37291633672817565,0.004406962321073676,BRFSS
18-29,2001,Excellent,0.26619569319863057,0.004022718601351586,BRFSS
18-29,2002,Poor,0.00987056854393438,0.0010352559717943374,BRFSS
18-29,2002,Fair,0.07169835669969053,0.0025788633201938916,BRFSS
18-29,2002,Good,0.2889390602859494,0.004297528581149128,BRFSS
18-29,2002,Very Good,0.36700898782880786,0.004564755057857949,BRFSS
18-29,2002,Excellent,0.2624830277883448,0.0043015833076891575,BRFSS
18-29,2003,Poor,0.009602804304290346,9.50814682674551e-4,BRFSS
18-29,2003,Fair,0.07458391065124262,0.002744211071805715,BRFSS
18-29,2003,Good,0.2966457463806564,0.00446353396783945,BRFSS
18-29,2003,Very Good,0.3632541282234047,0.0045868071041034915,BRFSS
18-29,2003,Excellent,0.25591341548716806,0.004120502558143162,BRFSS
18-29,2004,Poor,0.01045966550614244,0.00146439195124373,BRFSS
18-29,2004,Fair,0.07990417542919304,0.003097297657354272,BRFSS
18-29,2004,Good,0.3018799461308433,0.00462823130623337,BRFSS
18-29,2004,Very Good,0.3587101965577383,0.004702227352661896,BRFSS
18-29,2004,Excellent,0.24904601991634853,0.004132413136520592,BRFSS
18-29,2005,Poor,0.010618186712972108,0.0011543808168450282,BRFSS
18-29,2005,Fair,0.08612832191966649,0.0030088209533741393,BRFSS
18-29,2005,Good,0.30572218732357775,0.004583339781579577,BRFSS
18-29,2005,Very Good,0.35656750565561496,0.0046458983247402805,BRFSS
18-29,2005,Excellent,0.2409637992407503,0.004090602777231863,BRFSS
18-29,2006,Poor,0.010002733640313408,0.0013466876688085056,BRFSS
18-29,2006,Fair,0.08629782094697216,0.003441823619659449,BRFSS
18-29,2006,Good,0.3058064162031855,0.005427310478037057,BRFSS
18-29,2006,Very Good,0.35153832725898915,0.0054728272774575105,BRFSS
18-29,2006,Excellent,0.24635470335900453,0.00496954883890237,BRFSS
18-29,2007,Poor,0.012800910127758348,0.0012118315402720576,BRFSS
18-29,2007,Fair,0.08673078314443505,0.0036274945857553494,BRFSS
18-29,2007,Good,0.30980409341761106,0.00507773086709542,BRFSS
18-29,2007,Very Good,0.34695671316019855,0.005136061340412248,BRFSS
18-29,2007,Excellent,0.24370750095379112,0.004546262045019946,BRFSS
18-29,2008,Poor,0.011857041079731928,0.0010079221516495287,BRFSS
18-29,2008,Fair,0.0787832253382582,0.0028824494680519696,BRFSS
18-29,2008,Good,0.30680554233621715,0.005100291854853921,BRFSS
18-29,2008,Very Good,0.35009733709448937,0.005087726376912543,BRFSS
18-29,2008,Excellent,0.2524568542213696,0.004761229526206313,BRFSS
18-29,2009,Poor,0.012084904505438934,0.0011237736956992495,BRFSS
18-29,2009,Fair,0.0841308760481499,0.0032486053008829595,BRFSS
18-29,2009,Good,0.29417295055100046,0.004915094803489553,BRFSS
18-29,2009,Very Good,0.35431956699666073,0.005086062183434942,BRFSS
18-29,2009,Excellent,0.2552917020799851,0.004654467131750959,BRFSS
18-29,2010,Poor,0.011885824510310864,0.0010987311333137174,BRFSS
18-29,2010,Fair,0.0749762030411453,0.0027956376015841147,BRFSS
18-29,2010,Good,0.2981014899400843,0.004969684895612988,BRFSS
18-29,2010,Very Good,0.35639158951297883,0.005057947946666491,BRFSS
18-29,2010,Excellent,0.2586448930733641,0.004654894660997288,BRFSS
18-29,2011,Poor,0.013046690994025837,8.871454120615991e-4,BRFSS
18-29,2011,Fair,0.08308979366384377,0.0023718708490075386,BRFSS
18-29,2011,Good,0.30880323672896803,0.003946801806959415,BRFSS
18-29,2011,Very Good,0.3494612839948055,0.003974730889724441,BRFSS
18-29,2011,Excellent,0.2455989964663706,0.003556335429943524,BRFSS
18-29,2012,Poor,0.013841498967502606,0.0011735995644577212,BRFSS
18-29,2012,Fair,0.07902845020924272,0.002326526184673294,BRFSS
18-29,2012,Good,0.3025322431477891,0.003826304117399458,BRFSS
18-29,2012,Very Good,0.3550513996672483,0.003872686513152245,BRFSS
18-29,2012,Excellent,0.24954641108435005,0.0035281973593601075,BRFSS
18-29,2013,Poor,0.013406362638158515,8.494703434198693e-4,BRFSS
18-29,2013,Fair,0.08432076436002844,0.002270510544798787,BRFSS
18-29,2013,Good,0.295825073513711,0.003520026237698005,BRFSS
18-29,2013,Very Good,0.35999458383248867,0.0037020097563294917,BRFSS
18-29,2013,Excellent,0.2464532189223742,0.0033482501116689507,BRFSS
18-29,2014,Poor,0.014273040607160734,9.861088131493604e-4,BRFSS
18-29,2014,Fair,0.07507333721167252,0.002120167293041213,BRFSS
18-29,2014,Good,0.29962017597345714,0.0037248163257133367,BRFSS
18-29,2014,Very Good,0.3585554910630063,0.003843528685607479,BRFSS
18-29,2014,Excellent,0.25247795618824553,0.003461764751870947,BRFSS
18-29,2015,Poor,0.013296274619019412,0.0010416421024356092,BRFSS
18-29,2015,Fair,0.07954918203924254,0.0022757886009045387,BRFSS
18-29,2015,Good,0.2985144692756545,0.0037512137678138604,BRFSS
18-29,2015,Very Good,0.36061922570771665,0.00382610340399004,BRFSS
18-29,2015,Excellent,0.24802084953064718,0.0034991363010397677,BRFSS
18-29,2016,Poor,0.012165026896770228,9.308644540964577e-4,BRFSS
18-29,2016,Fair,0.07726283989353845,0.0020092958663038506,BRFSS
18-29,2016,Good,0.30000299609912134,0.003492899463898169,BRFSS
18-29,2016,Very Good,0.3618891340573559,0.003629391254844885,BRFSS
18-29,2016,Excellent,0.24868000683853583,0.003313666794717473,BRFSS
18-29,2017,Poor,0.01538066058876618,0.001103065613955864,BRFSS
18-29,2017,Fair,0.08895054549102412,0.0023555329645437335,BRFSS
18-29,2017,Good,0.30628989760694975,0.0038924058788992718,BRFSS
18-29,2017,Very Good,0.3533058528067749,0.003941961301721486,BRFSS
18-29,2017,Excellent,0.23607304391043973,0.0035701620606716894,BRFSS
18-29,2018,Poor,0.014457648610849994,8.49107935085308e-4,BRFSS
18-29,2018,Fair,0.08923443508536998,0.0023000346037037357,BRFSS
18-29,2018,Good,0.3033073926040219,0.0037452025615447027,BRFSS
18-29,2018,Very Good,0.36027539743172926,0.0039426929534799714,BRFSS
18-29,2018,Excellent,0.23272512658142216,0.003527318558421774,BRFSS
18-29,2019,Poor,0.015294477428498758,0.0010027569638285337,BRFSS
18-29,2019,Fair,0.09160307145704254,0.002440228654966165,BRFSS
18-29,2019,Good,0.3162010748792934,0.0038162034531285588,BRFSS
18-29,2019,Very Good,0.3521013913886231,0.003819372417653864,BRFSS
18-29,2019,Excellent,0.22479998507702678,0.003380631209641587,BRFSS
18-29,2020,Poor,0.010610271896631471,0.001156672281674086,BRFSS
18-29,2020,Fair,0.0648693936897509,0.002248692321307244,BRFSS
18-29,2020,Good,0.26281348798745147,0.004145610367352105,BRFSS
18-29,2020,Very Good,0.35995463672341316,0.004359907926157341,BRFSS
18-29,2020,Excellent,0.30175221288803133,0.004302326772498752,BRFSS
18-29,2021,Poor,0.011731232333308724,8.736891901974284e-4,BRFSS
18-29,2021,Fair,0.078496365041685,0.0023375892142989425,BRFSS
18-29,2021,Good,0.2976104479304403,0.004216748809408412,BRFSS
18-29,2021,Very Good,0.3563947492801284,0.004193642772857957,BRFSS
18-29,2021,Excellent,0.2557672071558864,0.0038540808505564622,BRFSS
18-29,2022,Poor,0.01631045492591927,0.0011219391068584385,BRFSS
18-29,2022,Fair,0.10002557270519921,0.0026249386674814536,BRFSS
18-29,2022,Good,0.307366715699389,0.003677041534394056,BRFSS
18-29,2022,Very Good,0.3465470128928727,0.003833803273272854,BRFSS
18-29,2022,Excellent,0.22975024388092471,0.0035501422284780946,BRFSS
18-29,2023,Poor,0.01920565331313286,0.0013150734759017756,BRFSS
18-29,2023,Fair,0.1087528096701088,0.0026919895979788384,BRFSS
18-29,2023,Good,0.3319214162121001,0.00403589247655623,BRFSS
18-29,2023,Very Good,0.33149181666548233,0.003952893905210377,BRFSS
18-29,2023,Excellent,0.20862830418589115,0.0035356479395944407,BRFSS
18-29,2024,Poor,0.01974209968595555,0.0011904658271424332,BRFSS
18-29,2024,Fair,0.11098707022351094,0.0025797536005758414,BRFSS
18-29,2024,Good,0.3398321146330623,0.0038861732080370586,BRFSS
18-29,2024,Very Good,0.3333065495802449,0.0038110766134109787,BRFSS
18-29,2024,Excellent,0.19613216742071835,0.003204384715157145,BRFSS
18-29,2025,Poor,0.022129812717673537,0.004220450726887062,BRFSS
18-29,2025,Fair,0.11522552128013029,0.012885458004197017,BRFSS
18-29,2025,Good,0.35634259298706095,0.017142204776475954,BRFSS
18-29,2025,Very Good,0.33584064222939214,0.016473532095229077,BRFSS
18-29,2025,Excellent,0.17046143083468368,0.01182500119123516,BRFSS
30-39,1993,Poor,0.012509411675111241,9.483647454301227e-4,BRFSS
30-39,1993,Fair,0.05964265512270888,0.0023295326445367547,BRFSS
30-39,1993,Good,0.24611652617120724,0.004174104877417054,BRFSS
30-39,1993,Very Good,0.37798866586331126,0.004554622248706669,BRFSS
30-39,1993,Excellent,0.30374274339564933,0.004360792193105211,BRFSS
30-39,1994,Poor,0.012457761732497578,0.0011282037708392647,BRFSS
30-39,1994,Fair,0.06132818242402486,0.0024096017435393576,BRFSS
30-39,1994,Good,0.25156954474182774,0.004351484957634165,BRFSS
30-39,1994,Very Good,0.374585498586039,0.004745706658796241,BRFSS
30-39,1994,Excellent,0.3000590139388835,0.0044242320104133865,BRFSS
30-39,1995,Poor,0.01431147039404574,0.0012572704407368806,BRFSS
30-39,1995,Fair,0.05877128749145342,0.0024461236479293522,BRFSS
30-39,1995,Good,0.25695520844596603,0.004763105412016526,BRFSS
30-39,1995,Very Good,0.3743492639377404,0.004986203519113859,BRFSS
30-39,1995,Excellent,0.29561277141111636,0.004550363697876618,BRFSS
30-39,1996,Poor,0.012539474057386858,0.0010389103212046786,BRFSS
30-39,1996,Fair,0.06805644306618305,0.002557699016569438,BRFSS
30-39,1996,Good,0.2660009126022933,0.004135320948751342,BRFSS
30-39,1996,Very Good,0.3730728532448149,0.004353114522416619,BRFSS
30-39,1996,Excellent,0.280330317078866,0.0040369546267181085,BRFSS
