survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
BRFSS,1993,-0.018904,0.00064899999999999995,-29.133781,0,-0.020176,-0.017632,-0.035018,0.001202,101548
BRFSS,1994,-0.01773,6.43e-4,-27.565191,0,-0.018991,-0.01647,-0.032619,0.001183,105170
BRFSS,1995,-0.017366,6.61e-4,-26.283569,0,-0.018661,-0.016071,-0.031695,0.001206,113274
BRFSS,1996,-0.016077,5.92e-4,-27.149722,0,-0.017238,-0.014916,-0.028464,0.001048,123318
BRFSS,1997,-0.017513,5.84e-4,-30.002316,0,-0.018657,-0.016369,-0.031239,0.001041,134578
BRFSS,1998,-0.016089,5.81e-4,-27.670833,0,-0.017229,-0.01495,-0.028635,0.001035,148351
BRFSS,1999,-0.016539,5.88e-4,-28.127386,0,-0.017691,-0.015386,-0.028795,0.001024,158712
BRFSS,2000,-0.018096,5.61e-4,-32.231803,0,-0.019197,-0.016996,-0.030253,9.39e-4,182254
BRFSS,2001,-0.017729,5.43e-4,-32.660024,0,-0.018793,-0.016665,-0.030003,9.19e-4,210243
BRFSS,2002,-0.018007,5.43e-4,-33.164727,0,-0.019071,-0.016942,-0.030185,9.1e-4,244597
BRFSS,2003,-0.017768,5.13e-4,-34.62317,0,-0.018773,-0.016762,-0.02924,8.45e-4,262303
BRFSS,2004,-0.017486,5.14e-4,-34.040168,0,-0.018492,-0.016479,-0.028605,8.4e-4,300898
BRFSS,2005,-0.016582,4.92e-4,-33.690944,0,-0.017547,-0.015617,-0.026869,7.98e-4,351846
BRFSS,2006,-0.016738,5.61e-4,-29.843259,0,-0.017838,-0.015639,-0.027224,9.12e-4,350139
BRFSS,2007,-0.017079,4.96e-4,-34.455021,0,-0.018051,-0.016108,-0.027307,7.93e-4,425583
BRFSS,2008,-0.016953,5.08e-4,-33.34647,0,-0.017949,-0.015956,-0.02726,8.17e-4,408885
BRFSS,2009,-0.018233,4.8e-4,-38.021263,0,-0.019173,-0.017293,-0.029489,7.76e-4,426540
BRFSS,2010,-0.018564,4.6e-4,-40.350497,0,-0.019466,-0.017662,-0.029734,7.37e-4,442811
BRFSS,2011,-0.0182,4.24e-4,-42.919411,0,-0.019031,-0.017369,-0.027521,6.41e-4,500301
BRFSS,2012,-0.017576,4.32e-4,-40.647952,0,-0.018424,-0.016729,-0.026749,6.58e-4,469066
BRFSS,2013,-0.016796,4.27e-4,-39.358184,0,-0.017632,-0.015959,-0.025209,6.4e-4,483071
BRFSS,2014,-0.017616,4.23e-4,-41.623204,0,-0.018445,-0.016786,-0.026802,6.44e-4,458088
BRFSS,2015,-0.017057,4.35e-4,-39.170842,0,-0.01791,-0.016203,-0.025491,6.51e-4,428915
BRFSS,2016,-0.016897,4.25e-4,-39.782433,0,-0.01773,-0.016065,-0.025384,6.38e-4,475409
BRFSS,2017,-0.015772,4.75e-4,-33.217025,0,-0.016703,-0.014842,-0.022891,6.89e-4,445051
BRFSS,2018,-0.016094,4.73e-4,-34.021259,0,-0.017021,-0.015167,-0.023227,6.83e-4,420810
BRFSS,2019,-0.01518,4.52e-4,-33.548134,0,-0.016067,-0.014293,-0.021516,6.41e-4,410845
BRFSS,2020,-0.020648,4.82e-4,-42.810711,0,-0.021593,-0.019703,-0.034825,8.13e-4,399275
BRFSS,2021,-0.018425,5.05e-4,-36.457451,0,-0.019415,-0.017434,-0.028004,7.68e-4,417011
BRFSS,2022,-0.016206,4.68e-4,-34.629817,0,-0.017124,-0.015289,-0.023158,6.69e-4,432875
BRFSS,2023,-0.015593,5.05e-4,-30.902468,0,-0.016581,-0.014604,-0.020673,6.69e-4,424575
BRFSS,2024,-0.014571,4.77e-4,-30.528616,0,-0.015506,-0.013635,-0.018867,6.18e-4,453816
BRFSS,2025,-0.011528,0.00192,-6.003269,0,-0.015292,-0.007764,-0.014499,0.002415,19184
