survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
CPS,1996,-0.035927,5.2e-4,-69.106011,0,-0.036946,-0.034908,-0.069955,0.001012,93785
CPS,1997,-0.035973,5.17e-4,-69.624231,0,-0.036986,-0.034961,-0.069728,0.001001,95179
CPS,1998,-0.035028,5.17e-4,-67.764523,0,-0.036041,-0.034015,-0.067004,9.89e-4,94976
CPS,1999,-0.035188,5.14e-4,-68.47326,0,-0.036195,-0.03418,-0.066954,9.78e-4,95791
CPS,2000,-0.034399,5.09e-4,-67.602519,0,-0.035396,-0.033402,-0.066647,9.86e-4,97217
CPS,2001,-0.035754,4.45e-4,-80.285,0,-0.036627,-0.034881,-0.068672,8.55e-4,150186
CPS,2002,-0.03491,4.5e-4,-77.608879,0,-0.035792,-0.034029,-0.065635,8.46e-4,149879
CPS,2003,-0.034776,4.5e-4,-77.195193,0,-0.035659,-0.033893,-0.065682,8.51e-4,149844
CPS,2004,-0.034901,4.56e-4,-76.566157,0,-0.035794,-0.034007,-0.066163,8.64e-4,148180
CPS,2005,-0.034934,4.6e-4,-76.009328,0,-0.035834,-0.034033,-0.065103,8.57e-4,146518
CPS,2006,-0.035245,4.58e-4,-76.887742,0,-0.036144,-0.034347,-0.065083,8.46e-4,145752
CPS,2007,-0.034434,4.55e-4,-75.687704,0,-0.035326,-0.033543,-0.06382,8.43e-4,144918
CPS,2008,-0.033607,4.47e-4,-75.160216,0,-0.034484,-0.032731,-0.063575,8.46e-4,145609
CPS,2009,-0.034395,4.51e-4,-76.200562,0,-0.03528,-0.033511,-0.063439,8.33e-4,147163
CPS,2010,-0.033005,4.47e-4,-73.834107,0,-0.033881,-0.032129,-0.059673,8.08e-4,149071
CPS,2011,-0.034242,4.49e-4,-76.214446,0,-0.035122,-0.033361,-0.06174,8.1e-4,146785
CPS,2012,-0.034127,4.52e-4,-75.56728,0,-0.035012,-0.033242,-0.061889,8.19e-4,144803
CPS,2013,-0.034919,4.5e-4,-77.676761,0,-0.0358,-0.034038,-0.063759,8.21e-4,145762
CPS,2014,-0.035262,5.06e-4,-69.707774,0,-0.036253,-0.03427,-0.064097,9.2e-4,144298
CPS,2015,-0.03361,4.43e-4,-75.949953,0,-0.034477,-0.032742,-0.061976,8.16e-4,144279
CPS,2016,-0.034389,4.62e-4,-74.488895,0,-0.035294,-0.033484,-0.062982,8.46e-4,134562
CPS,2017,-0.034571,4.62e-4,-74.803962,0,-0.035477,-0.033665,-0.062974,8.42e-4,135750
CPS,2018,-0.034039,4.63e-4,-73.575482,0,-0.034946,-0.033132,-0.061725,8.39e-4,132144
CPS,2019,-0.029952,4.52e-4,-66.262559,0,-0.030838,-0.029066,-0.054043,8.16e-4,132868
CPS,2020,-0.031153,4.71e-4,-66.179892,0,-0.032075,-0.03023,-0.057419,8.68e-4,117763
CPS,2021,-0.031062,4.67e-4,-66.522502,0,-0.031977,-0.030147,-0.055147,8.29e-4,121845
CPS,2022,-0.031594,4.94e-4,-63.943048,0,-0.032562,-0.030626,-0.054191,8.47e-4,114158
CPS,2023,-0.029844,4.98e-4,-59.929549,0,-0.03082,-0.028868,-0.050594,8.44e-4,110008
CPS,2024,-0.031656,5.2e-4,-60.880754,0,-0.032675,-0.030637,-0.052,8.54e-4,109367
CPS,2025,-0.030264,5.11e-4,-59.222778,0,-0.031265,-0.029262,-0.050455,8.52e-4,108044
