survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
GSS,1972,0.00147,0.001589,0.925535,0.354827,-0.001646,0.004586,0,0,1607
GSS,1973,8.83e-4,0.001658,0.532773,0.59427,-0.002369,0.004135,0,0,1496
GSS,1974,7.85e-4,0.001613,0.486644,0.626583,-0.002379,0.00395,0,0,1474
GSS,1975,0.001148,0.001598,0.718445,0.472596,-0.001987,0.004283,0,0,1484
GSS,1976,0.001544,0.001542,1.001599,0.3167,-0.00148,0.004569,0,0,1492
GSS,1977,0.001046,0.001654,0.632246,0.527322,-0.002199,0.004291,0,0,1520
GSS,1980,0.001707,0.001599,1.067471,0.285936,-0.00143,0.004844,0,0,1457
GSS,1982,0.00149,0.001409,1.05798,0.290203,-0.001272,0.004253,0,0,1845
GSS,1984,0.001648,0.001605,1.026861,0.304656,-0.001501,0.004798,0,0,1456
GSS,1985,0.001239,0.001568,0.789865,0.42972900000000003,-0.001837,0.004314,0,0,1523
GSS,1987,0.001262,0.001487,0.848655,0.396186,-0.001655,0.004179,0,0,1804
GSS,1988,0.002005,0.001904,1.053021,0.292594,-0.001731,0.005741,0,0,973
GSS,1989,0.002131,0.001882,1.132265,0.257788,-0.001562,0.005823,0,0,1026
GSS,1990,0.001767,0.001948,0.906907,0.364695,-0.002057,0.005591,0,0,914
GSS,1991,0.001658,0.001913,0.866662,0.386338,-0.002096,0.005412,0,0,987
GSS,1993,0.002359,0.001912,1.233715,0.217581,-0.001393,0.00611,0,0,1067
GSS,1994,0.001706,0.00146,1.168304,0.242824,-0.001158,0.004569,0,0,1991
GSS,1996,0.001755,0.001333,1.316664,0.188076,-8.59e-4,0.004369,0,0,2414
GSS,1998,0.001733,0.001197,1.447692,0.147815,-6.14e-4,0.00408,0,0,2817
GSS,2000,0.001847,0.001291,1.430876,0.152601,-6.84e-4,0.004379,0,0,2319
GSS,2002,0.001997,0.001457,1.370214,0.170787,-8.61e-4,0.004855,0,0,1840
GSS,2004,0.001914,0.001836,1.042243,0.297486,-0.001688,0.005516,0,0,1351
GSS,2006,0.002348,0.001177,1.995347,0.046082,4.1e-5,0.004655,0,0,3504
GSS,2008,0.001847,0.001846,1.000864,0.317073,-0.001773,0.005468,0,0,1347
GSS,2010,0.001148,0.001859,0.617475,0.537032,-0.002499,0.004794,0,0,1276
GSS,2012,0.002366,0.001858,1.273164,0.203188,-0.00128,0.006011,0,0,1301
GSS,2014,0.002015,0.001565,1.287152,0.198217,-0.001055,0.005085,0,0,1703
GSS,2016,0.001695,0.001489,1.138919,0.254882,-0.001224,0.004615,0,0,1877
GSS,2018,0.003154,0.001612,1.956846,0.050543,-7e-6,0.006315,0,0,1567
GSS,2021,0.00567,0.001181,4.801887,2e-6,0.003355,0.007985,0,0,3696
GSS,2022,0.00226,0.001596,1.416093,0.156842,-8.69e-4,0.00539,0,0,3333
GSS,2024,0.002864,0.001387,2.065062,0.038998,1.45e-4,0.005583,0,0,3166
