survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
MEPS,2000,-0.029337,0.001462,-20.063323,0,-0.032221,-0.026452,-0.041066,0.002047,15288
MEPS,2001,-0.027606,0.001393,-19.815077,0,-0.030344,-0.024867,-0.038562,0.001946,20674
MEPS,2002,-0.030751,0.00125,-24.597188,0,-0.033213,-0.028288,-0.044903,0.001826,24043
MEPS,2003,-0.03035,0.0012,-25.292786,0,-0.032714,-0.027986,-0.046776,0.001849,20664
MEPS,2004,-0.031181,0.001459,-21.371217,0,-0.034055,-0.028307,-0.046689,0.002185,20777
MEPS,2005,-0.031908,0.001445,-22.07747,0,-0.034755,-0.029062,-0.047031,0.00213,20526
MEPS,2006,-0.030118,0.0017,-17.716543,0,-0.033467,-0.02677,-0.044224,0.002496,20634
MEPS,2007,-0.032594,0.001604,-20.318072,0,-0.035747,-0.029441,-0.048174,0.002371,18872
MEPS,2008,-0.033029,0.001691,-19.531731,0,-0.036363,-0.029694,-0.048186,0.002467,20323
MEPS,2009,-0.028347,0.001514,-18.720942,0,-0.031333,-0.025361,-0.040867,0.002183,22903
MEPS,2010,-0.027678,0.001638,-16.899181,0,-0.030907,-0.024449,-0.041274,0.002442,20575
MEPS,2011,-0.029978,0.001586,-18.904113,0,-0.033105,-0.026851,-0.043843,0.002319,22141
MEPS,2012,-0.029333,0.00163,-17.998078,0,-0.032547,-0.026119,-0.043803,0.002434,24807
MEPS,2013,-0.02856,0.001546,-18.478911,0,-0.031608,-0.025512,-0.043005,0.002327,22717
MEPS,2014,-0.029145,0.001457,-20.002113,0,-0.032018,-0.026272,-0.04533,0.002266,20863
MEPS,2015,-0.028262,0.001734,-16.296034,0,-0.031682,-0.024843,-0.043373,0.002662,21292
MEPS,2016,-0.027386,0.00165,-16.597719,0,-0.03064,-0.024133,-0.042393,0.002554,21340
MEPS,2017,-0.030681,0.001509,-20.336493,0,-0.033649,-0.027714,-0.049015,0.00241,20164
MEPS,2018,-0.031583,0.001482,-21.31298,0,-0.034513,-0.028653,-0.049896,0.002341,18998
MEPS,2019,-0.032944,0.001591,-20.702729,0,-0.036085,-0.029803,-0.051254,0.002476,17283
MEPS,2020,-0.031457,0.001768,-17.793325,0,-0.034946,-0.027968,-0.047095,0.002647,13880
MEPS,2021,-0.026889,0.002426,-11.083529,0,-0.031664,-0.022113,-0.040442,0.003649,14940
MEPS,2022,-0.031403,0.002292,-13.699764,0,-0.035917,-0.026889,-0.046574,0.0034,10814
MEPS,2023,-0.022877,0.002207,-10.367337,0,-0.027236,-0.018519,-0.033864,0.003266,9612
