survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
NHIS,1983,-0.02858,7.21e-4,-39.623832,0,-0.030005,-0.027154,-0.062124,0.001568,37650
NHIS,1984,-0.023181,0.002781,-8.335927,0,-0.028677,-0.017686,-0.034819,0.004177,16078
NHIS,1985,-0.02843,9.47e-4,-30.008652,0,-0.030306,-0.026555,-0.061297,0.002043,33528
NHIS,1987,-0.02861,7.21e-4,-39.670043,0,-0.030033,-0.027187,-0.061064,0.001539,43962
NHIS,1988,-0.026307,7.84e-4,-33.565352,0,-0.027853,-0.02476,-0.056699,0.001689,43662
NHIS,1989,-0.02667,7.33e-4,-36.404005,0,-0.028116,-0.025225,-0.057824,0.001588,42258
NHIS,1990,-0.026501,8.43e-4,-31.450503,0,-0.028163,-0.024838,-0.057512,0.001829,40999
NHIS,1991,-0.025921,7.56e-4,-34.304791,0,-0.027412,-0.02443,-0.055596,0.001621,43635
NHIS,1992,-0.025373,8.6e-4,-29.487006,0,-0.027071,-0.023676,-0.053878,0.001827,24000
NHIS,1993,-0.024266,7.69e-4,-31.568894,0,-0.025783,-0.02275,-0.051473,0.00163,44244
NHIS,1997,-0.029924,8.81e-4,-33.959547,0,-0.031657,-0.02819,-0.061972,0.001825,36081
NHIS,1998,-0.028954,9.19e-4,-31.497478,0,-0.030762,-0.027146,-0.060323,0.001915,32410
NHIS,1999,-0.030151,9.86e-4,-30.585292,0,-0.03209,-0.028212,-0.062681,0.002049,30763
NHIS,2000,-0.031743,9.13e-4,-34.783595,0,-0.033538,-0.029948,-0.064992,0.001868,32342
NHIS,2001,-0.029494,9.24e-4,-31.908855,0,-0.031313,-0.027676,-0.060228,0.001888,33285
NHIS,2002,-0.029113,9.75e-4,-29.849943,0,-0.031031,-0.027194,-0.058927,0.001974,31003
NHIS,2003,-0.030739,9.52e-4,-32.27262,0,-0.032612,-0.028865,-0.061244,0.001898,30815
NHIS,2004,-0.031694,9.78e-4,-32.408322,0,-0.033617,-0.02977,-0.062183,0.001919,31304
NHIS,2005,-0.029575,9.47e-4,-31.220069,0,-0.031438,-0.027711,-0.05849,0.001873,31413
NHIS,2006,-0.030591,0.001165,-26.253369,0,-0.032884,-0.028298,-0.059783,0.002277,24257
NHIS,2007,-0.029785,0.001139,-26.158403,0,-0.032025,-0.027544,-0.058341,0.00223,23378
NHIS,2008,-0.029627,0.001146,-25.861242,0,-0.031882,-0.027373,-0.058045,0.002244,21767
NHIS,2009,-0.031665,0.001222,-25.922294,0,-0.034069,-0.029261,-0.061034,0.002355,27721
NHIS,2010,-0.026316,0.001043,-25.226557,0,-0.028369,-0.024263,-0.051088,0.002025,27141
NHIS,2011,-0.028556,9.66e-4,-29.549225,0,-0.030458,-0.026654,-0.055562,0.00188,32997
NHIS,2012,-0.028236,0.001033,-27.325305,0,-0.03027,-0.026202,-0.054534,0.001996,34507
NHIS,2013,-0.029364,0.001044,-28.122923,0,-0.031419,-0.027309,-0.05674,0.002018,34542
NHIS,2014,-0.029976,0.001048,-28.609022,0,-0.032038,-0.027914,-0.058616,0.002049,36674
NHIS,2015,-0.02949,0.001025,-28.771949,0,-0.031507,-0.027473,-0.05694,0.001979,33661
NHIS,2016,-0.028391,0.001083,-26.210193,0,-0.030518,-0.026264,-0.053931,0.002058,33016
NHIS,2017,-0.029877,0.001154,-25.890742,0,-0.032144,-0.027609,-0.057053,0.002204,26734
NHIS,2018,-0.02863,0.00108,-26.515944,0,-0.030752,-0.026509,-0.054299,0.002048,25408
NHIS,2019,-0.026656,0.001042,-25.585326,0,-0.028702,-0.024609,-0.046695,0.001825,31896
NHIS,2020,-0.028164,0.001023,-27.526576,0,-0.030174,-0.026155,-0.049519,0.001799,31478
NHIS,2021,-0.029101,0.001082,-26.888631,0,-0.031226,-0.026975,-0.051386,0.001911,29383
NHIS,2022,-0.023667,0.001079,-21.93938,0,-0.025786,-0.021548,-0.039031,0.001779,27581
NHIS,2023,-0.024846,0.001019,-24.372342,0,-0.026848,-0.022844,-0.041427,0.0017,29437
NHIS,2024,-0.024598,9.82e-4,-25.04407,0,-0.026527,-0.022669,-0.039683,0.001585,32562
