age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1996,0.420453,0.003902,0.412805,0.4281
18-29,1997,0.42559,0.003864,0.418017,0.433163
18-29,1998,0.409051,0.00389,0.401427,0.416674
18-29,1999,0.407709,0.003919,0.400028,0.41539
18-29,2000,0.412764,0.003908,0.405105,0.420424
18-29,2001,0.416924,0.003289,0.410479,0.42337
18-29,2002,0.398328,0.0033,0.391861,0.404795
18-29,2003,0.400139,0.003285,0.393701,0.406576
18-29,2004,0.409844,0.003376,0.403228,0.41646
18-29,2005,0.403672,0.003356,0.397095,0.410249
18-29,2006,0.402322,0.003313,0.395829,0.408815
18-29,2007,0.400377,0.003332,0.393847,0.406907
18-29,2008,0.414177,0.003342,0.407626,0.420728
18-29,2009,0.408681,0.003318,0.402179,0.415183
18-29,2010,0.392898,0.003228,0.386571,0.399225
18-29,2011,0.399072,0.003298,0.392608,0.405536
18-29,2012,0.404644,0.003352,0.398074,0.411213
18-29,2013,0.417802,0.003368,0.4112,0.424404
18-29,2014,0.423683,0.003845,0.416147,0.431218
18-29,2015,0.422849,0.003405,0.416175,0.429524
18-29,2016,0.422795,0.003558,0.415822,0.429768
18-29,2017,0.420732,0.003572,0.413731,0.427733
18-29,2018,0.414784,0.00364,0.407649,0.421919
18-29,2019,0.384035,0.00359,0.376999,0.39107
18-29,2020,0.407264,0.003953,0.399517,0.41501
18-29,2021,0.387646,0.00381,0.380179,0.395114
18-29,2022,0.374054,0.003962,0.366288,0.38182
18-29,2023,0.36,0.004005,0.352152,0.367849
18-29,2024,0.365575,0.004021,0.357694,0.373456
18-29,2025,0.36188,0.004018,0.354004,0.369756
30-39,1996,0.374878,0.003749,0.36753,0.382225
30-39,1997,0.366745,0.003724,0.359447,0.374044
30-39,1998,0.355931,0.003735,0.348612,0.363251
30-39,1999,0.353164,0.003775,0.345764,0.360563
30-39,2000,0.372529,0.00384,0.365002,0.380055
30-39,2001,0.367514,0.003098,0.361442,0.373585
30-39,2002,0.351531,0.003095,0.345465,0.357597
30-39,2003,0.357225,0.003176,0.351001,0.36345
30-39,2004,0.354081,0.003258,0.347696,0.360466
30-39,2005,0.351341,0.003292,0.344889,0.35779300000000003
30-39,2006,0.35018,0.003302,0.343708,0.356651
30-39,2007,0.345556,0.003325,0.339039,0.352073
30-39,2008,0.351105,0.003353,0.344532,0.357677
30-39,2009,0.339703,0.003327,0.333183,0.346223
30-39,2010,0.326712,0.003251,0.32034,0.333085
30-39,2011,0.330122,0.003317,0.32362,0.336624
30-39,2012,0.334587,0.003391,0.32794,0.341234
30-39,2013,0.337866,0.003372,0.331258,0.344474
30-39,2014,0.330457,0.003736,0.323134,0.337779
30-39,2015,0.338415,0.003365,0.33182,0.345011
30-39,2016,0.342051,0.003505,0.335182,0.34892
30-39,2017,0.34734,0.003486,0.340508,0.354172
30-39,2018,0.340116,0.003546,0.333166,0.347066
30-39,2019,0.328204,0.003485,0.321373,0.335035
30-39,2020,0.334891,0.003818,0.327407,0.342374
30-39,2021,0.313475,0.003626,0.306368,0.320582
30-39,2022,0.303079,0.003774,0.295681,0.310477
30-39,2023,0.287112,0.003765,0.279733,0.294491
30-39,2024,0.279457,0.003756,0.272096,0.286817
30-39,2025,0.282214,0.003799,0.274767,0.289661
40-49,1996,0.304008,0.003738,0.296682,0.311335
40-49,1997,0.291943,0.003671,0.284747,0.299139
40-49,1998,0.296628,0.003659,0.289456,0.303801
40-49,1999,0.293477,0.003627,0.286367,0.300586
40-49,2000,0.299049,0.003622,0.291951,0.306148
