age_group,year,prevalence,se,ci_lower,ci_upper
18-29,2000,0.26506,0.009582,0.246275,0.283845
18-29,2001,0.256606,0.009233,0.238505,0.274706
18-29,2002,0.283446,0.008447,0.266886,0.300006
18-29,2003,0.30516,0.009592,0.286355,0.323965
18-29,2004,0.293777,0.00914,0.275858,0.311695
18-29,2005,0.299095,0.010247,0.279007,0.319183
18-29,2006,0.28801,0.010882,0.266677,0.309343
18-29,2007,0.312024,0.009653,0.293099,0.330948
18-29,2008,0.306161,0.011714,0.283197,0.329125
18-29,2009,0.285007,0.009818,0.26576,0.304253
18-29,2010,0.302999,0.012037,0.279403,0.326596
18-29,2011,0.317632,0.011135,0.295804,0.33946
18-29,2012,0.31772,0.010522,0.297093,0.338347
18-29,2013,0.320913,0.00911,0.303053,0.338773
18-29,2014,0.322185,0.010517,0.301568,0.342802
18-29,2015,0.311452,0.011503,0.288903,0.334002
18-29,2016,0.325158,0.010328,0.304911,0.345405
18-29,2017,0.350401,0.010513,0.32979,0.371011
18-29,2018,0.359299,0.011235,0.337275,0.381324
18-29,2019,0.349404,0.012459,0.324979,0.373829
18-29,2020,0.33345,0.016313,0.30147,0.365429
18-29,2021,0.322796,0.015238,0.292924,0.352668
18-29,2022,0.328582,0.018757,0.291812,0.365353
18-29,2023,0.294616,0.019463,0.256461,0.332772
30-39,2000,0.206999,0.008989,0.189377,0.224622
30-39,2001,0.211366,0.007874,0.195929,0.226803
30-39,2002,0.231229,0.008439,0.214686,0.247773
30-39,2003,0.248101,0.009031,0.230397,0.265806
30-39,2004,0.24477,0.008675,0.227764,0.261777
30-39,2005,0.241369,0.009943,0.221878,0.26086
30-39,2006,0.245103,0.009273,0.226924,0.263283
30-39,2007,0.229022,0.009803,0.209804,0.248239
30-39,2008,0.242697,0.009903,0.223284,0.262111
30-39,2009,0.222128,0.009189,0.204114,0.240142
30-39,2010,0.208997,0.009439,0.190494,0.227501
30-39,2011,0.209726,0.00906,0.191965,0.227487
30-39,2012,0.222862,0.009792,0.203667,0.242058
30-39,2013,0.22259,0.009674,0.203625,0.241554
30-39,2014,0.248578,0.009492,0.22997,0.267187
30-39,2015,0.250717,0.011312,0.22854,0.272893
30-39,2016,0.238257,0.009589,0.219458,0.257055
30-39,2017,0.264045,0.009355,0.245705,0.282385
30-39,2018,0.256929,0.013259,0.230935,0.282922
30-39,2019,0.261041,0.011399,0.238694,0.283387
30-39,2020,0.249196,0.012476,0.224738,0.273655
30-39,2021,0.22763,0.011804,0.20449,0.25077
30-39,2022,0.246917,0.016596,0.214382,0.279452
30-39,2023,0.210655,0.014095,0.183024,0.238286
40-49,2000,0.174134,0.008959,0.156572,0.191697
40-49,2001,0.169674,0.007712,0.154555,0.184792
40-49,2002,0.183083,0.008058,0.167286,0.19888
40-49,2003,0.193142,0.007487,0.178465,0.207819
40-49,2004,0.194222,0.008732,0.177104,0.211341
40-49,2005,0.183683,0.008218,0.167573,0.199793
40-49,2006,0.175084,0.007897,0.159602,0.190566
40-49,2007,0.181637,0.008295,0.165374,0.197899
40-49,2008,0.179165,0.007851,0.163774,0.194556
40-49,2009,0.174175,0.00651,0.161413,0.186937
40-49,2010,0.185332,0.008268,0.169122,0.201541
40-49,2011,0.164286,0.008033,0.148538,0.180034
40-49,2012,0.175998,0.008362,0.159605,0.192391
40-49,2013,0.176829,0.008195,0.160763,0.192894
40-49,2014,0.199959,0.010621,0.179139,0.22078
40-49,2015,0.196414,0.008996,0.178778,0.21405
40-49,2016,0.190086,0.010019,0.170444,0.209728
40-49,2017,0.20148,0.009704,0.182457,0.220503
40-49,2018,0.190448,0.010421,0.170019,0.210876
40-49,2019,0.198795,0.009391,0.180385,0.217205
40-49,2020,0.174177,0.011243,0.152137,0.196218
40-49,2021,0.183548,0.011259,0.161476,0.20562
40-49,2022,0.175898,0.011873,0.152621,0.199174
40-49,2023,0.184324,0.015015,0.154889,0.213759
50-59,2000,0.153406,0.008351,0.137035,0.169778
50-59,2001,0.154524,0.007418,0.139982,0.169065
50-59,2002,0.157193,0.008138,0.14124,0.173147
50-59,2003,0.16425,0.008571,0.147448,0.181051
50-59,2004,0.146577,0.008137,0.130624,0.162529
50-59,2005,0.139167,0.007556,0.124354,0.153979
50-59,2006,0.136828,0.007115,0.122879,0.150776
50-59,2007,0.149182,0.008441,0.132634,0.16573
50-59,2008,0.131612,0.007619,0.116676,0.146548
50-59,2009,0.138214,0.007409,0.123689,0.152739
50-59,2010,0.155567,0.008663,0.138584,0.17255
50-59,2011,0.150527,0.008912,0.133056,0.167997
50-59,2012,0.152946,0.008137,0.136994,0.168897
50-59,2013,0.155783,0.008867,0.138401,0.173166
50-59,2014,0.163525,0.009287,0.14532,0.18173
50-59,2015,0.154423,0.00787,0.138995,0.169851
50-59,2016,0.168189,0.009414,0.149733,0.186645
50-59,2017,0.159415,0.008516,0.142721,0.176109
50-59,2018,0.163497,0.009382,0.145105,0.181889
50-59,2019,0.163624,0.008367,0.147221,0.180026
50-59,2020,0.154339,0.010262,0.134222,0.174455
50-59,2021,0.153883,0.010467,0.133365,0.174402
50-59,2022,0.135538,0.010189,0.115564,0.155513
50-59,2023,0.160224,0.011826,0.137041,0.183407
60-69,2000,0.096167,0.008024,0.080437,0.111896
60-69,2001,0.103186,0.007455,0.088572,0.117801
60-69,2002,0.103256,0.006572,0.090372,0.116141
60-69,2003,0.130631,0.008414,0.114135,0.147126
60-69,2004,0.117102,0.008478,0.100482,0.133721
60-69,2005,0.113923,0.00859,0.097084,0.130763
60-69,2006,0.123832,0.009106,0.105981,0.141683
60-69,2007,0.115672,0.008143,0.099709,0.131636
60-69,2008,0.114269,0.007502,0.099562,0.128976
60-69,2009,0.129992,0.006872,0.11652,0.143464
60-69,2010,0.142099,0.007719,0.126967,0.15723
60-69,2011,0.127135,0.008395,0.110677,0.143592
60-69,2012,0.136818,0.008908,0.119354,0.154282
60-69,2013,0.136058,0.008496,0.119401,0.152714
60-69,2014,0.135796,0.008648,0.118842,0.15275
60-69,2015,0.133354,0.010286,0.113189,0.153519
60-69,2016,0.127703,0.008444,0.111151,0.144256
60-69,2017,0.143758,0.009575,0.124987,0.162529
60-69,2018,0.142406,0.009267,0.124239,0.160572
60-69,2019,0.11643,0.006804,0.103091,0.129768
60-69,2020,0.127367,0.007673,0.112325,0.142408
60-69,2021,0.132211,0.008345,0.115851,0.148571
60-69,2022,0.123816,0.009457,0.105276,0.142355
60-69,2023,0.139456,0.010928,0.118033,0.160879
70-79,2000,0.059215,0.007542,0.04443,0.074001
70-79,2001,0.063556,0.006809,0.050208,0.076903
70-79,2002,0.069463,0.007701,0.054367,0.08456
70-79,2003,0.073839,0.008157,0.057849,0.089829
70-79,2004,0.06646,0.006792,0.053145,0.079774
70-79,2005,0.070254,0.008484,0.053623,0.086885
70-79,2006,0.079793,0.008626,0.062883,0.096703
70-79,2007,0.076305,0.008903,0.058851,0.093758
70-79,2008,0.081238,0.009298,0.06301,0.099466
70-79,2009,0.079436,0.009008,0.061778,0.097095
70-79,2010,0.085883,0.008776,0.068679,0.103088
70-79,2011,0.093894,0.010773,0.072776,0.115013
70-79,2012,0.092121,0.010554,0.071432,0.11281
70-79,2013,0.103713,0.010308,0.083506,0.12392
70-79,2014,0.108935,0.011717,0.085964,0.131906
70-79,2015,0.108885,0.010297,0.0887,0.129071
70-79,2016,0.112796,0.011687,0.089885,0.135707
70-79,2017,0.114384,0.010568,0.093666,0.135102
70-79,2018,0.106596,0.008818,0.089309,0.123883
70-79,2019,0.108964,0.00974,0.08987,0.128059
70-79,2020,0.112218,0.009054,0.09447,0.129967
70-79,2021,0.114189,0.00815,0.098211,0.130167
70-79,2022,0.110539,0.013052,0.084951,0.136126
70-79,2023,0.105547,0.009452,0.087017,0.124078
80-89,2000,0.058593,0.011475,0.036099,0.081088
80-89,2001,0.05037,0.009364,0.032012,0.068728
80-89,2002,0.042052,0.006777,0.028766,0.055337
80-89,2003,0.047707,0.009906,0.028287,0.067127
80-89,2004,0.061792,0.008931,0.044284,0.079301
80-89,2005,0.062955,0.010991,0.041409,0.084501
80-89,2006,0.064876,0.010726,0.043848,0.085903
80-89,2007,0.048303,0.008826,0.031001,0.065604
80-89,2008,0.056691,0.00938,0.038302,0.075079
80-89,2009,0.061852,0.012773,0.036812,0.086893
80-89,2010,0.060105,0.007943,0.044534,0.075676
80-89,2011,0.063081,0.009511,0.044436,0.081727
80-89,2012,0.060494,0.010344,0.040217,0.080772
80-89,2013,0.06269,0.010572,0.041966,0.083415
80-89,2014,0.053949,0.009384,0.035554,0.072345
80-89,2015,0.065804,0.010589,0.045044,0.086563
80-89,2016,0.080316,0.012095,0.056604,0.104027
80-89,2017,0.067056,0.010217,0.047028,0.087084
80-89,2018,0.056675,0.007833,0.041318,0.072032
80-89,2019,0.060097,0.00727,0.045846,0.074349
80-89,2020,0.042522,0.006735,0.029319,0.055725
80-89,2021,0.060494,0.008438,0.043952,0.077037
80-89,2022,0.06615,0.008937,0.048629,0.083671
80-89,2023,0.09791,0.013576,0.071296,0.124524
