age_group,year,prevalence,se,ci_lower,ci_upper
18-29,2001.5,0.166685,0.010632,0.145664,0.187707
18-29,2003.5,0.168211,0.009298,0.149827,0.186595
18-29,2005.5,0.135951,0.014323,0.107632,0.164271
18-29,2007.5,0.149056,0.020483,0.108558,0.189554
18-29,2009.5,0.11494,0.007674,0.099767,0.130113
18-29,2011.5,0.161707,0.01933,0.123487,0.199926
18-29,2013.5,0.088448,0.01083,0.067035,0.109862
18-29,2015.5,0.119714,0.014371,0.091301,0.148127
18-29,2017.5,0.11662,0.019425,0.078213,0.155028
30-39,2001.5,0.140347,0.012685,0.115267,0.165428
30-39,2003.5,0.145931,0.018579,0.109197,0.182664
30-39,2005.5,0.104886,0.013114,0.078958,0.130814
30-39,2007.5,0.167378,0.020244,0.127351,0.207404
30-39,2009.5,0.105656,0.01597,0.07408,0.137231
30-39,2011.5,0.137994,0.015512,0.107323,0.168665
30-39,2013.5,0.120956,0.010652,0.099896,0.142016
30-39,2015.5,0.093608,0.016136,0.061704,0.125512
30-39,2017.5,0.134505,0.019887,0.095185,0.173826
40-49,2001.5,0.159932,0.015041,0.130194,0.189669
40-49,2003.5,0.121892,0.011395,0.099362,0.144422
40-49,2005.5,0.107384,0.012651,0.082372,0.132397
40-49,2007.5,0.083936,0.013205,0.057828,0.110045
40-49,2009.5,0.112487,0.015577,0.081689,0.143286
40-49,2011.5,0.100742,0.013658,0.073737,0.127746
40-49,2013.5,0.117302,0.015481,0.086694,0.147911
40-49,2015.5,0.101424,0.017105,0.067605,0.135244
40-49,2017.5,0.09538,0.01691,0.061947,0.128814
50-59,2001.5,0.160233,0.018229,0.124191,0.196276
50-59,2003.5,0.110851,0.017842,0.075573,0.146128
50-59,2005.5,0.095213,0.015269,0.065023,0.125403
50-59,2007.5,0.119089,0.01159,0.096174,0.142004
50-59,2009.5,0.108518,0.016946,0.075012,0.142023
50-59,2011.5,0.085603,0.013066,0.05977,0.111436
50-59,2013.5,0.089377,0.014066,0.061566,0.117188
50-59,2015.5,0.069031,0.022044,0.025446,0.112616
50-59,2017.5,0.098678,0.015096,0.068831,0.128525
60-69,2001.5,0.136461,0.016139,0.104552,0.168371
60-69,2003.5,0.130576,0.015455,0.100018,0.161133
60-69,2005.5,0.118905,0.024267,0.070924,0.166886
60-69,2007.5,0.082279,0.015996,0.050653,0.113905
60-69,2009.5,0.113234,0.01561,0.082371,0.144098
60-69,2011.5,0.143829,0.024028,0.096322,0.191336
60-69,2013.5,0.066871,0.01237,0.042413,0.091329
60-69,2015.5,0.113943,0.02426,0.065977,0.16191
60-69,2017.5,0.069386,0.015924,0.037902,0.10087
70-79,2001.5,0.099879,0.010895,0.078339,0.12142
70-79,2003.5,0.078541,0.011668,0.055471,0.101612
70-79,2005.5,0.095713,0.015562,0.064943,0.126483
70-79,2007.5,0.07142,0.011194,0.049287,0.093552
70-79,2009.5,0.101114,0.014526,0.072393,0.129835
70-79,2011.5,0.104293,0.02463,0.055595,0.15299
70-79,2013.5,0.081532,0.015197,0.051485,0.111579
70-79,2015.5,0.113646,0.018054,0.07795,0.149342
70-79,2017.5,0.077089,0.019276,0.038977,0.115201
80-89,2001.5,0.084018,0.013283,0.057755,0.110281
80-89,2003.5,0.075488,0.011138,0.053467,0.097509
80-89,2005.5,0.051833,0.011951,0.028205,0.075462
80-89,2007.5,0.068759,0.020532,0.028163,0.109354
80-89,2009.5,0.080603,0.015156,0.050637,0.110568
80-89,2011.5,0.080894,0.01243,0.056317,0.105472
80-89,2013.5,0.09116,0.013226,0.06501,0.117311
80-89,2015.5,0.096257,0.023589,0.049618,0.142896
80-89,2017.5,0.079499,0.020322,0.039318,0.11968
