age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1983,0.464013,0.006192,0.45187,0.476156
18-29,1985,0.450078,0.007426,0.435516,0.464641
18-29,1987,0.437004,0.006533,0.424194,0.449814
18-29,1988,0.43186,0.006796,0.418534,0.445186
18-29,1989,0.440368,0.007271,0.42611,0.454626
18-29,1990,0.441194,0.007846,0.425808,0.45658
18-29,1991,0.420302,0.006886,0.406799,0.433805
18-29,1992,0.41894,0.007967,0.403317,0.434564
18-29,1993,0.407777,0.006869,0.394307,0.421246
18-29,1997,0.4255,0.007624,0.410549,0.44045
18-29,1998,0.43305,0.008101,0.417164,0.448936
18-29,1999,0.440285,0.008611,0.423399,0.457171
18-29,2000,0.436746,0.00783,0.421392,0.4521
18-29,2001,0.430167,0.007556,0.41535,0.444984
18-29,2002,0.427023,0.007955,0.411422,0.442623
18-29,2003,0.416744,0.008063,0.400932,0.432555
18-29,2004,0.426933,0.008578,0.410111,0.443755
18-29,2005,0.421117,0.00825,0.404939,0.437295
18-29,2006,0.417133,0.009083,0.39932,0.434945
18-29,2007,0.418861,0.009932,0.399383,0.438338
18-29,2008,0.421582,0.010623,0.40075,0.442413
18-29,2009,0.440706,0.01018,0.420743,0.460669
18-29,2010,0.399545,0.008378,0.383115,0.415975
18-29,2011,0.417816,0.008088,0.401955,0.433676
18-29,2012,0.420387,0.009695,0.401376,0.439398
18-29,2013,0.427137,0.009391,0.408721,0.445553
18-29,2014,0.43816,0.009938,0.418671,0.457649
18-29,2015,0.431885,0.00984,0.412589,0.451181
18-29,2016,0.418358,0.00965,0.399435,0.437281
18-29,2017,0.419199,0.010543,0.398523,0.439874
18-29,2018,0.415646,0.010484,0.395086,0.436206
18-29,2019,0.360029,0.009945,0.340527,0.379532
18-29,2020,0.376161,0.01035,0.355866,0.396457
18-29,2021,0.382978,0.009702,0.363952,0.402004
18-29,2022,0.326897,0.009306,0.308648,0.345146
18-29,2023,0.330457,0.009145,0.312523,0.348391
18-29,2024,0.318632,0.008744,0.301486,0.335778
30-39,1983,0.433744,0.007043,0.419933,0.447555
30-39,1985,0.425433,0.00757,0.410588,0.440278
30-39,1987,0.423782,0.006012,0.411992,0.435572
30-39,1988,0.413105,0.006445,0.400466,0.425745
