survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
BRFSS,1993,-0.026725,5.83e-4,-45.83685,0,-0.027868,-0.025582,-0.061146,0.001334,101548
BRFSS,1994,-0.025257,6.01e-4,-42.027017,0,-0.026434,-0.024079,-0.058403,0.00139,105170
BRFSS,1995,-0.0251,6.08e-4,-41.285925,0,-0.026291,-0.023908,-0.058273,0.001411,113274
BRFSS,1996,-0.021696,5.26e-4,-41.250739,0,-0.022727,-0.020665,-0.051307,0.001244,123318
BRFSS,1997,-0.022874,5.08e-4,-45.043161,0,-0.02387,-0.021879,-0.053756,0.001193,134578
BRFSS,1998,-0.022192,5.01e-4,-44.259393,0,-0.023175,-0.021209,-0.052477,0.001186,148351
BRFSS,1999,-0.020751,5.09e-4,-40.760284,0,-0.021749,-0.019753,-0.049444,0.001213,158712
BRFSS,2000,-0.021844,4.9e-4,-44.582803,0,-0.022805,-0.020884,-0.052151,0.00117,182254
BRFSS,2001,-0.022166,4.58e-4,-48.383504,0,-0.023064,-0.021268,-0.052856,0.001092,210243
BRFSS,2002,-0.021479,4.47e-4,-48.003124,0,-0.022356,-0.020602,-0.051433,0.001071,244597
BRFSS,2003,-0.020645,4.42e-4,-46.673942,0,-0.021512,-0.019778,-0.049585,0.001062,262303
BRFSS,2004,-0.020135,4.42e-4,-45.600694,0,-0.021001,-0.01927,-0.04851,0.001064,300898
BRFSS,2005,-0.018851,4.16e-4,-45.269234,0,-0.019667,-0.018034,-0.045636,0.001008,351846
BRFSS,2006,-0.018302,4.64e-4,-39.413918,0,-0.019212,-0.017392,-0.044347,0.001125,350139
BRFSS,2007,-0.018274,4.17e-4,-43.862354,0,-0.019091,-0.017458,-0.044367,0.001011,425583
BRFSS,2008,-0.017962,4.06e-4,-44.26341,0,-0.018757,-0.017167,-0.04359,9.85e-4,408885
BRFSS,2009,-0.0185,3.96e-4,-46.70288,0,-0.019276,-0.017723,-0.044771,9.59e-4,426540
BRFSS,2010,-0.018743,3.71e-4,-50.495533,0,-0.019471,-0.018015,-0.045365,8.98e-4,442811
BRFSS,2011,-0.017082,3.32e-4,-51.403644,0,-0.017733,-0.016431,-0.041688,8.11e-4,500301
BRFSS,2012,-0.016738,3.39e-4,-49.347543,0,-0.017403,-0.016073,-0.040868,8.28e-4,469066
BRFSS,2013,-0.016474,3.24e-4,-50.863055,0,-0.017109,-0.015839,-0.040253,7.91e-4,483071
BRFSS,2014,-0.016062,3.3e-4,-48.746471,0,-0.016708,-0.015416,-0.039273,8.06e-4,458088
BRFSS,2015,-0.016198,3.34e-4,-48.557851,0,-0.016852,-0.015544,-0.039587,8.15e-4,428915
BRFSS,2016,-0.015822,3.24e-4,-48.83368,0,-0.016457,-0.015187,-0.038713,7.93e-4,475409
BRFSS,2017,-0.014538,3.57e-4,-40.709725,0,-0.015238,-0.013838,-0.035675,8.76e-4,445051
BRFSS,2018,-0.014474,3.56e-4,-40.703463,0,-0.015171,-0.013777,-0.035519,8.73e-4,420810
BRFSS,2019,-0.013625,3.36e-4,-40.602666,0,-0.014282,-0.012967,-0.033485,8.25e-4,410845
BRFSS,2020,-0.018519,4.01e-4,-46.161388,0,-0.019306,-0.017733,-0.044403,9.62e-4,399275
BRFSS,2021,-0.015497,3.89e-4,-39.846465,0,-0.016259,-0.014735,-0.037885,9.51e-4,417011
BRFSS,2022,-0.013554,3.42e-4,-39.641357,0,-0.014224,-0.012884,-0.033322,8.41e-4,432875
BRFSS,2023,-0.010952,3.53e-4,-31.011914,0,-0.011644,-0.01026,-0.026987,8.7e-4,424575
BRFSS,2024,-0.010768,3.39e-4,-31.761256,0,-0.011432,-0.010102999999999999,-0.026456,8.33e-4,453816
BRFSS,2025,-0.00896,0.001545,-5.798682,0,-0.011989,-0.005931,-0.022041,0.003801,19184
