survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
CPS,1996,-0.040915,4.78e-4,-85.618257,0,-0.041852,-0.039979,-0.087244,0.001019,93785
CPS,1997,-0.040185,4.73e-4,-84.889245,0,-0.041113,-0.039257,-0.08652,0.001019,95179
CPS,1998,-0.039625,4.74e-4,-83.542959,0,-0.040555,-0.038695,-0.085724,0.001026,94976
CPS,1999,-0.03911,4.74e-4,-82.544594,0,-0.040038,-0.038181,-0.083921,0.001017,95791
CPS,2000,-0.038994,4.71e-4,-82.703368,0,-0.039918,-0.03807,-0.084046,0.001016,97217
CPS,2001,-0.039537,4.15e-4,-95.255224,0,-0.04035,-0.038723,-0.085028,8.93e-4,150186
CPS,2002,-0.038159,4.15e-4,-91.994805,0,-0.038972,-0.037346,-0.083434,9.07e-4,149879
CPS,2003,-0.039106,4.17e-4,-93.885986,0,-0.039922,-0.03829,-0.08484,9.04e-4,149844
CPS,2004,-0.038166,4.17e-4,-91.624437,0,-0.038983,-0.03735,-0.083012,9.06e-4,148180
CPS,2005,-0.038126,4.12e-4,-92.496825,0,-0.038934,-0.037318,-0.083363,9.01e-4,146518
CPS,2006,-0.037213,4.07e-4,-91.358185,0,-0.038012,-0.036415,-0.081849,8.96e-4,145752
CPS,2007,-0.037755,4.1e-4,-92.12738,0,-0.038559,-0.036952,-0.082517,8.96e-4,144918
CPS,2008,-0.036409,4.03e-4,-90.265225,0,-0.0372,-0.035619,-0.079972,8.86e-4,145609
CPS,2009,-0.035753,3.98e-4,-89.782566,0,-0.036534,-0.034973,-0.079634,8.87e-4,147163
CPS,2010,-0.034071,3.87e-4,-87.947187,0,-0.034831,-0.033312,-0.076832,8.74e-4,149071
CPS,2011,-0.03516,3.92e-4,-89.755502,0,-0.035928,-0.034392,-0.07853,8.75e-4,146785
CPS,2012,-0.035062,3.95e-4,-88.772053,0,-0.035836,-0.034288,-0.078078,8.8e-4,144803
CPS,2013,-0.034532,3.92e-4,-88.197479,0,-0.035299,-0.033765,-0.077013,8.73e-4,145762
CPS,2014,-0.034932,4.37e-4,-79.917557,0,-0.035789,-0.034075,-0.077787,9.73e-4,144298
CPS,2015,-0.033775,3.87e-4,-87.348313,0,-0.034533,-0.033017,-0.075332,8.62e-4,144279
CPS,2016,-0.033859,4.01e-4,-84.418119,0,-0.034646,-0.033073,-0.075365,8.93e-4,134562
CPS,2017,-0.033132,3.97e-4,-83.499914,0,-0.03391,-0.032355,-0.074226,8.89e-4,135750
CPS,2018,-0.034373,4.02e-4,-85.598394,0,-0.03516,-0.033586,-0.076305,8.91e-4,132144
CPS,2019,-0.02982,3.9e-4,-76.538053,0,-0.030583,-0.029056,-0.067807,8.86e-4,132868
CPS,2020,-0.031113,4.17e-4,-74.618581,0,-0.031931,-0.030296,-0.069405,0.00093000000000000005,117763
CPS,2021,-0.029205,4.01e-4,-72.895675,0,-0.02999,-0.02842,-0.066493,9.12e-4,121845
CPS,2022,-0.029462,4.13e-4,-71.363796,0,-0.030271,-0.028653,-0.06748,9.46e-4,114158
CPS,2023,-0.028878,4.16e-4,-69.429856,0,-0.029693,-0.028063,-0.066303,9.55e-4,110008
CPS,2024,-0.02891,4.15e-4,-69.657665,0,-0.029723,-0.028097,-0.066533,9.55e-4,109367
CPS,2025,-0.028075,4.15e-4,-67.67982,0,-0.028888,-0.027262,-0.064818,9.58e-4,108044
