survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
GSS,1972,-0.03044,0.003867,-7.871699,0,-0.038025,-0.022855,-0.060483,0.007684,1607
GSS,1973,-0.033342,0.00381,-8.750611,0,-0.040816,-0.025868,-0.068885,0.007872,1496
GSS,1974,-0.026662,0.003595,-7.41619,0,-0.033714,-0.01961,-0.056737,0.00765,1474
GSS,1975,-0.02749,0.00361,-7.614718,0,-0.034571,-0.020408,-0.058178,0.00764,1484
GSS,1976,-0.029561,0.003721,-7.944913,0,-0.036859,-0.022263,-0.061484,0.007739,1492
GSS,1977,-0.025972,0.003649,-7.116696,0,-0.03313,-0.018813,-0.05476,0.007695,1520
GSS,1980,-0.02333,0.00374,-6.238071,0,-0.030666,-0.015994,-0.049712,0.007969,1457
GSS,1982,-0.022709,0.003309,-6.862743,0,-0.029199,-0.016219,-0.047903,0.00698,1845
GSS,1984,-0.017645,0.003581,-4.927577,1e-6,-0.024669,-0.010621,-0.036547,0.007417,1456
GSS,1985,-0.022647,0.003458,-6.549762,0,-0.02943,-0.015865,-0.049289,0.007525,1523
GSS,1987,-0.022996,0.003499,-6.571747,0,-0.029859,-0.016133,-0.049442,0.007523,1804
GSS,1988,-0.018926,0.004212,-4.493686,8e-6,-0.027191,-0.010661,-0.039401,0.008768,973
GSS,1989,-0.022858,0.0042,-5.442085,0,-0.0311,-0.014616,-0.049823,0.009155,1026
GSS,1990,-0.023239,0.004428,-5.24798,0,-0.031929,-0.014548,-0.049029,0.009342,914
GSS,1991,-0.023266,0.004394,-5.294515,0,-0.031889,-0.014643,-0.049186,0.00929,987
GSS,1993,-0.011742,0.004181,-2.808423,0.005069,-0.019946,-0.003538,-0.025695,0.009149,1067
GSS,1994,-0.019617,0.003398,-5.773249,0,-0.026281,-0.012953,-0.041986,0.007272,1991
GSS,1996,-0.015493,0.003022,-5.126682,0,-0.021419,-0.009567,-0.03316,0.006468,2414
GSS,1998,-0.022136,0.002737,-8.088364,0,-0.027502,-0.016769,-0.046824,0.005789,2817
GSS,2000,-0.019318,0.002948,-6.552955,0,-0.025099,-0.013537,-0.040563,0.00619,2319
GSS,2002,-0.0139,0.003261,-4.262689,2.1e-5,-0.020295,-0.007504,-0.029229,0.006857,1840
GSS,2004,-0.011365,0.004075,-2.788986,0.005362,-0.019359,-0.003371,-0.024458,0.008769,1351
GSS,2006,-0.019277,0.002719,-7.089047,0,-0.024609,-0.013946,-0.03896,0.005496,3504
GSS,2008,-0.021118,0.004451,-4.744002,2e-6,-0.02985,-0.012385,-0.039207,0.008264,1347
GSS,2010,-0.014248,0.004409,-3.231918,0.001261,-0.022897,-0.005599,-0.027752,0.008587,1276
GSS,2012,-0.015914,0.004319,-3.684361,2.39e-4,-0.024387,-0.0074400000000000004,-0.032265,0.008757,1301
GSS,2014,-0.01028,0.003688,-2.787211,0.005375,-0.017515,-0.003046,-0.019739,0.007082,1703
GSS,2016,-0.009724,0.003645,-2.668062,0.007695,-0.016873,-0.002576,-0.016981,0.006364,1877
GSS,2018,-0.006372,0.004039,-1.577565,0.114868,-0.014295,0.001551,-0.01165,0.007385,1567
GSS,2021,-0.008779,0.003101,-2.830806,0.004668,-0.014859,-0.002699,-0.013758,0.00486,3696
GSS,2022,-0.011923,0.004455,-2.676278,0.007481,-0.020658,-0.003188,-0.018569,0.006939,3333
GSS,2024,-0.013346,0.003804,-3.50841,4.57e-4,-0.020805,-0.005887,-0.02023,0.005766,3166
