survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
MEPS,2000,-0.030762,0.001133,-27.154713,0,-0.032997,-0.028527,-0.071332,0.002627,15288
MEPS,2001,-0.030295,0.00103,-29.419269,0,-0.032319,-0.028271,-0.070156,0.002385,20674
MEPS,2002,-0.032019,0.001032,-31.024824,0,-0.034052,-0.029986,-0.07356,0.002371,24043
MEPS,2003,-0.029526,0.001012,-29.185226,0,-0.031519,-0.027533,-0.068132,0.002334,20664
MEPS,2004,-0.029069,0.001112,-26.149054,0,-0.031259,-0.026879,-0.067634,0.002586,20777
MEPS,2005,-0.028283,0.001416,-19.967213,0,-0.031072,-0.025493,-0.066071,0.003309,20526
MEPS,2006,-0.027856,0.001166,-23.895941,0,-0.030152,-0.02556,-0.065064,0.002723,20634
MEPS,2007,-0.02869,0.001202,-23.874472,0,-0.031052,-0.026328,-0.066625,0.002791,18872
MEPS,2008,-0.028744,0.001268,-22.672501,0,-0.031243,-0.026244,-0.0669,0.002951,20323
MEPS,2009,-0.025583,0.001084,-23.610527,0,-0.027719,-0.023446,-0.06033,0.002555,22903
MEPS,2010,-0.026658,0.001187,-22.450348,0,-0.028999,-0.024316,-0.062412,0.00278,20575
MEPS,2011,-0.026139,0.001163,-22.477607,0,-0.028432,-0.023846,-0.0614,0.002732,22141
MEPS,2012,-0.023639,0.001225,-19.289171,0,-0.026055,-0.021222,-0.056004,0.002903,24807
MEPS,2013,-0.025233,0.001135,-22.235752,0,-0.027471,-0.022995,-0.059103,0.002658,22717
MEPS,2014,-0.026905,0.001249,-21.539777,0,-0.029368,-0.024442,-0.06248,0.002901,20863
MEPS,2015,-0.025072,0.001123,-22.31794,0,-0.027287,-0.022857,-0.058655,0.002628,21292
MEPS,2016,-0.023972,0.001147,-20.902887,0,-0.026233,-0.02171,-0.056166,0.002687,21340
MEPS,2017,-0.027526,0.001115,-24.680236,0,-0.02972,-0.025332,-0.063256,0.002563,20164
MEPS,2018,-0.027304,0.001115,-24.481457,0,-0.029509,-0.025099,-0.062281,0.002544,18998
MEPS,2019,-0.024632,0.002293,-10.742076,0,-0.029158,-0.020107,-0.057053,0.005311,17283
MEPS,2020,-0.026862,0.001332,-20.170275,0,-0.029491,-0.024234,-0.061754,0.003062,13880
MEPS,2021,-0.021775,0.00157,-13.866926,0,-0.024866,-0.018684,-0.051266,0.003697,14940
MEPS,2022,-0.023935,0.001557,-15.370572,0,-0.027001,-0.020868,-0.05576,0.003628,10814
MEPS,2023,-0.016595,0.001548,-10.719203,0,-0.019653,-0.013537,-0.039712,0.003705,9612
