survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
NHIS,1983,-0.033782,7.89e-4,-42.798169,0,-0.035342,-0.032222,-0.0736,0.00172,37650
NHIS,1984,-0.019427,0.00221,-8.790709,0,-0.023794,-0.01506,-0.046302,0.005267,16078
NHIS,1985,-0.035611,8.6e-4,-41.41105,0,-0.037314,-0.033909,-0.075706,0.001828,33528
NHIS,1987,-0.034651,7.31e-4,-47.43327,0,-0.036092,-0.03321,-0.074489,0.00157,43962
NHIS,1988,-0.03278,7.84e-4,-41.796781,0,-0.034327,-0.031233,-0.070709,0.001692,43662
NHIS,1989,-0.032789,6.81e-4,-48.175652,0,-0.034132,-0.031446,-0.070016,0.001453,42258
NHIS,1990,-0.032495,8.43e-4,-38.56619,0,-0.034158,-0.030833,-0.069382,0.001799,40999
NHIS,1991,-0.03202,7.86e-4,-40.750537,0,-0.03357,-0.03047,-0.069376,0.001702,43635
NHIS,1992,-0.030475,8.73e-4,-34.898264,0,-0.032198,-0.028752,-0.06695,0.001918,24000
NHIS,1993,-0.029523,7.88e-4,-37.448951,0,-0.031078,-0.027967,-0.065873,0.001759,44244
NHIS,1997,-0.032789,8.09e-4,-40.526378,0,-0.03438,-0.031197,-0.070265,0.001734,36081
NHIS,1998,-0.034502,8.63e-4,-39.983633,0,-0.036199,-0.032804,-0.072816,0.001821,32410
NHIS,1999,-0.034689,8.48e-4,-40.908487,0,-0.036357,-0.033021,-0.072958,0.001783,30763
NHIS,2000,-0.034618,7.75e-4,-44.695168,0,-0.036141,-0.033094,-0.073554,0.001646,32342
NHIS,2001,-0.034667,8.49e-4,-40.852668,0,-0.036336,-0.032998,-0.073827,0.001807,33285
NHIS,2002,-0.033623,8.98e-4,-37.433533,0,-0.035389,-0.031856,-0.072988,0.00195,31003
NHIS,2003,-0.032113,8.32e-4,-38.578455,0,-0.03375,-0.030476,-0.070089,0.001817,30815
NHIS,2004,-0.033498,8.35e-4,-40.115082,0,-0.035141,-0.031856,-0.073136,0.001823,31304
NHIS,2005,-0.031842,8e-4,-39.780391,0,-0.033417,-0.030268,-0.07013,0.001763,31413
NHIS,2006,-0.031164,9.99e-4,-31.20394,0,-0.03313,-0.029199,-0.06917,0.002217,24257
NHIS,2007,-0.030876,0.001031,-29.960634,0,-0.032905,-0.028848,-0.068845,0.002298,23378
NHIS,2008,-0.030319,9.85e-4,-30.780174,0,-0.032258,-0.028381,-0.067572,0.002195,21767
NHIS,2009,-0.029713,9.67e-4,-30.739886,0,-0.031616,-0.027811,-0.066676,0.002169,27721
NHIS,2010,-0.026861,9.02e-4,-29.772851,0,-0.028636000000000002,-0.025085,-0.060953,0.002047,27141
NHIS,2011,-0.026978,8.3e-4,-32.495401,0,-0.028612,-0.025344,-0.06119,0.001883,32997
NHIS,2012,-0.026377,8.06e-4,-32.720742,0,-0.027964,-0.024791,-0.059933,0.001832,34507
NHIS,2013,-0.027629,9.14e-4,-30.222837,0,-0.029428,-0.02583,-0.062452,0.002066,34542
NHIS,2014,-0.027109,8.65e-4,-31.345976,0,-0.028811,-0.025407,-0.060953,0.001945,36674
NHIS,2015,-0.02621,8.75e-4,-29.967749,0,-0.027932,-0.024489,-0.059648,0.00199,33661
NHIS,2016,-0.02647,8.52e-4,-31.052347,0,-0.028144,-0.024796,-0.059805,0.001926,33016
NHIS,2017,-0.027184,9.55e-4,-28.457894,0,-0.029061,-0.025307,-0.061385,0.002157,26734
NHIS,2018,-0.027091,0.001002,-27.04046,0,-0.02906,-0.025123,-0.061159,0.002262,25408
NHIS,2019,-0.026378,8.18e-4,-32.228101,0,-0.027986,-0.02477,-0.061023,0.001893,31896
NHIS,2020,-0.026792,8.75e-4,-30.628865,0,-0.02851,-0.025074,-0.0614,0.002005,31478
NHIS,2021,-0.027409,8.76e-4,-31.294386,0,-0.02913,-0.025689,-0.062632,0.002001,29383
NHIS,2022,-0.024737,8.54e-4,-28.982471,0,-0.026413,-0.023061,-0.05802,0.002002,27581
NHIS,2023,-0.023134,8.21e-4,-28.176781,0,-0.024746,-0.021521,-0.054635,0.001939,29437
NHIS,2024,-0.022978,8.04e-4,-28.582607,0,-0.024556,-0.021399,-0.054486,0.001906,32562
