age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1993,0.679555,0.005296,0.669176,0.689935
18-29,1994,0.666337,0.005476,0.655603,0.67707
18-29,1995,0.661023,0.005719,0.649814,0.672232
18-29,1996,0.637987,0.00508,0.62803,0.647944
18-29,1997,0.65819,0.004865,0.648654,0.667726
18-29,1998,0.639751,0.004835,0.630274,0.649228
18-29,1999,0.640114,0.004921,0.630469,0.649759
18-29,2000,0.62971,0.004726,0.620447,0.638972
18-29,2001,0.639112,0.004545,0.630205,0.648019
18-29,2002,0.629492,0.004622,0.620433,0.638551
18-29,2003,0.619168,0.004745,0.609867,0.628468
18-29,2004,0.607756,0.004975,0.598006,0.617507
18-29,2005,0.597531,0.004885,0.587957,0.607105
18-29,2006,0.597893,0.005768,0.586588,0.609198
18-29,2007,0.590664,0.00546,0.579962,0.601366
18-29,2008,0.602554,0.005345,0.592079,0.61303
18-29,2009,0.609611,0.00529,0.599244,0.619979
18-29,2010,0.615036,0.005234,0.604779,0.625294
18-29,2011,0.59506,0.004158,0.586912,0.603209
18-29,2012,0.604598,0.004071,0.596618,0.612577
18-29,2013,0.606448,0.003792,0.599015,0.613881
18-29,2014,0.611033,0.003944,0.603303,0.618764
18-29,2015,0.60864,0.003993,0.600815,0.616466
18-29,2016,0.610569,0.003714,0.60329,0.617848
18-29,2017,0.589379,0.004127,0.581291,0.597467
18-29,2018,0.593001,0.004008,0.585145,0.600856
18-29,2019,0.576901,0.004037,0.568989,0.584813
18-29,2020,0.661707,0.004436,0.653013,0.6704
18-29,2021,0.612162,0.004402,0.603533,0.620791
18-29,2022,0.576297,0.004024,0.56841,0.584184
18-29,2023,0.54012,0.004267,0.531757,0.548483
18-29,2024,0.529439,0.004072,0.521457,0.53742
18-29,2025,0.506302,0.017654,0.4717,0.540904
30-39,1993,0.681731,0.004486,0.67294,0.690523
30-39,1994,0.674645,0.004674,0.665484,0.683805
30-39,1995,0.669962,0.005029,0.660105,0.679819
30-39,1996,0.653403,0.004458,0.644665,0.662142
30-39,1997,0.652019,0.004372,0.643451,0.660587
30-39,1998,0.662232,0.004217,0.653967,0.670497
30-39,1999,0.636799,0.004419,0.628138,0.645459
30-39,2000,0.632232,0.00425,0.623903,0.640562
30-39,2001,0.631295,0.004189,0.623084,0.639506
30-39,2002,0.622985,0.004087,0.614975,0.630995
30-39,2003,0.621191,0.004134,0.613089,0.629292
30-39,2004,0.614938,0.004084,0.606933,0.622943
30-39,2005,0.607125,0.003969,0.599347,0.614904
30-39,2006,0.60773,0.004463,0.598983,0.616478
30-39,2007,0.604997,0.004149,0.596865,0.61313
30-39,2008,0.60462,0.00397,0.596839,0.612401
30-39,2009,0.60979,0.004134,0.601687,0.617893
30-39,2010,0.610828,0.003962,0.603063,0.618593
30-39,2011,0.555999,0.003837,0.54848,0.563519
30-39,2012,0.558565,0.004066,0.550597,0.566533
30-39,2013,0.55683,0.00399,0.549011,0.564649
30-39,2014,0.553119,0.004087,0.545109,0.561128
30-39,2015,0.562609,0.004012,0.554745,0.570473
30-39,2016,0.552306,0.003903,0.544656,0.559957
30-39,2017,0.541778,0.004176,0.533593,0.549963
30-39,2018,0.535934,0.004189,0.527723,0.544145
30-39,2019,0.53417,0.004093,0.526148,0.542193
30-39,2020,0.621492,0.004606,0.612464,0.630521
30-39,2021,0.56889,0.0044,0.560265,0.577514
30-39,2022,0.549403,0.004013,0.541537,0.557269
30-39,2023,0.507477,0.004342,0.498967,0.515987
30-39,2024,0.500662,0.0043,0.492234,0.50909
30-39,2025,0.482195,0.017645,0.447611,0.516778
40-49,1993,0.642847,0.005159,0.632735,0.652959
40-49,1994,0.625449,0.005253,0.615154,0.635745
40-49,1995,0.627414,0.00609,0.615478,0.639349
40-49,1996,0.614674,0.004734,0.605394,0.623953
40-49,1997,0.610037,0.004619,0.600984,0.619091
40-49,1998,0.6001,0.004596,0.591091,0.609109
40-49,1999,0.594157,0.004564,0.585211,0.603102
40-49,2000,0.585051,0.004559,0.576116,0.593985
40-49,2001,0.569291,0.004299,0.560865,0.577716
40-49,2002,0.565332,0.003975,0.557541,0.573123
40-49,2003,0.568686,0.004059,0.560731,0.576641
40-49,2004,0.56839,0.003888,0.560769,0.57601
40-49,2005,0.565565,0.003731,0.558252,0.572878
40-49,2006,0.57374,0.00397,0.565958,0.581521
40-49,2007,0.567454,0.003554,0.560489,0.574419
40-49,2008,0.560464,0.003422,0.553757,0.56717
40-49,2009,0.573445,0.003533,0.566521,0.580368
40-49,2010,0.572888,0.003345,0.566332,0.579444
40-49,2011,0.531773,0.003426,0.525057,0.538489
40-49,2012,0.525749,0.003743,0.518413,0.533084
40-49,2013,0.512802,0.003835,0.505284,0.520319
40-49,2014,0.515815,0.003907,0.508157,0.523474
40-49,2015,0.506229,0.00393,0.498527,0.51393200000000006
40-49,2016,0.499815,0.003889,0.492193,0.507437
40-49,2017,0.489145,0.00436,0.480599,0.497691
40-49,2018,0.500771,0.004403,0.492141,0.5094
40-49,2019,0.490775,0.004298,0.48235,0.499199
40-49,2020,0.571491,0.004996,0.561698,0.581283
40-49,2021,0.530503,0.00474,0.521213,0.539793
40-49,2022,0.519029,0.00414,0.510915,0.527142
40-49,2023,0.487155,0.004655,0.478032,0.496278
40-49,2024,0.472917,0.00441,0.464273,0.48156
40-49,2025,0.441127,0.017334,0.407152,0.475102
50-59,1993,0.539541,0.006712,0.526387,0.552696
50-59,1994,0.544318,0.006695,0.531196,0.557439
50-59,1995,0.540946,0.007483,0.52628,0.555612
50-59,1996,0.530586,0.005945,0.518933,0.542239
50-59,1997,0.537441,0.005654,0.526359,0.548523
50-59,1998,0.532375,0.005461,0.521673,0.543078
50-59,1999,0.527039,0.005514,0.51623,0.537847
50-59,2000,0.513836,0.005088,0.503864,0.523808
50-59,2001,0.52604,0.00464,0.516946,0.535133
50-59,2002,0.515764,0.004474,0.506994,0.524533
50-59,2003,0.515326,0.004259,0.50698,0.523673
50-59,2004,0.505695,0.004157,0.497546,0.513843
50-59,2005,0.505574,0.003668,0.498384,0.512763
50-59,2006,0.504983,0.003917,0.497306,0.512659
50-59,2007,0.504164,0.003373,0.497552,0.510775
50-59,2008,0.500573,0.003195,0.494311,0.506835
50-59,2009,0.506626,0.003019,0.500708,0.512543
50-59,2010,0.507276,0.002963,0.501469,0.513083
50-59,2011,0.46971,0.003018,0.463796,0.475625
50-59,2012,0.472376,0.003268,0.465971,0.478781
50-59,2013,0.470376,0.003273,0.463961,0.476791
50-59,2014,0.473314,0.003219,0.467004,0.479623
50-59,2015,0.472169,0.003345,0.465612,0.478725
50-59,2016,0.46349,0.003374,0.456878,0.470102
50-59,2017,0.453179,0.003782,0.445767,0.460591
50-59,2018,0.456862,0.003852,0.449312,0.464412
50-59,2019,0.459098,0.003756,0.451737,0.466459
50-59,2020,0.524121,0.00464,0.515027,0.533215
50-59,2021,0.485665,0.004324,0.47719,0.49414
50-59,2022,0.473088,0.004072,0.465107,0.48107
50-59,2023,0.453144,0.004385,0.444549,0.461739
50-59,2024,0.429775,0.004329,0.42129,0.438259
50-59,2025,0.426514,0.015902,0.395347,0.457682
60-69,1993,0.426889,0.006572,0.414009,0.43977
60-69,1994,0.427604,0.006784,0.414307,0.440901
60-69,1995,0.439629,0.0068780000000000004,0.426149,0.45311
60-69,1996,0.452457,0.006348,0.440014,0.464899
60-69,1997,0.452791,0.006116,0.440804,0.464779
60-69,1998,0.442679,0.006161,0.430603,0.454755
60-69,1999,0.455461,0.006127,0.443453,0.467469
60-69,2000,0.431032,0.005852,0.419564,0.442501
60-69,2001,0.42928,0.005624,0.418257,0.440304
60-69,2002,0.434424,0.005079,0.424468,0.444379
60-69,2003,0.441216,0.004795,0.431818,0.450614
60-69,2004,0.439277,0.004575,0.43031,0.448245
60-69,2005,0.439791,0.004083,0.431788,0.447794
60-69,2006,0.443155,0.004171,0.434981,0.45133
60-69,2007,0.44568,0.003559,0.438705,0.452656
60-69,2008,0.457548,0.003252,0.451175,0.46392099999999997
60-69,2009,0.461845,0.003088,0.455793,0.467898
60-69,2010,0.463168,0.00278,0.45772,0.468616
60-69,2011,0.428273,0.002968,0.422456,0.43409
60-69,2012,0.441479,0.003281,0.435049,0.44791
60-69,2013,0.440302,0.003264,0.433904,0.4467
60-69,2014,0.44548,0.003165,0.439277,0.451683
60-69,2015,0.443051,0.003241,0.436699,0.449402
60-69,2016,0.436045,0.00325,0.429675,0.442415
60-69,2017,0.433038,0.003554,0.426072,0.440003
60-69,2018,0.434756,0.003695,0.427515,0.441998
60-69,2019,0.426217,0.003473,0.419409,0.433025
60-69,2020,0.476433,0.004168,0.468264,0.484602
60-69,2021,0.451066,0.004169,0.442895,0.459236
60-69,2022,0.441924,0.003645,0.43478,0.449068
60-69,2023,0.431104,0.004038,0.42319,0.439018
60-69,2024,0.417546,0.003891,0.409921,0.425172
60-69,2025,0.41552,0.020484,0.375373,0.455667
70-79,1993,0.356098,0.007208,0.341971,0.370225
70-79,1994,0.364821,0.007713,0.349703,0.379939
70-79,1995,0.351389,0.007636,0.336424,0.366355
70-79,1996,0.36923,0.006827,0.355849,0.382611
70-79,1997,0.372613,0.006506,0.359861,0.385365
70-79,1998,0.365489,0.006408,0.352929,0.378049
70-79,1999,0.367568,0.006636,0.354561,0.380575
70-79,2000,0.355202,0.006447,0.342565,0.367838
70-79,2001,0.363623,0.005656,0.352537,0.374708
70-79,2002,0.35145,0.005529,0.340613,0.362287
70-79,2003,0.347948,0.005359,0.337444,0.358452
70-79,2004,0.354717,0.005157,0.344609,0.364825
70-79,2005,0.361988,0.00454,0.353091,0.370886
70-79,2006,0.369809,0.004808,0.360385,0.379232
70-79,2007,0.369362,0.003981,0.36156,0.377164
70-79,2008,0.376369,0.003643,0.369228,0.383509
70-79,2009,0.382589,0.003552,0.375627,0.389551
70-79,2010,0.38943,0.003138,0.38328,0.39558
70-79,2011,0.377895,0.003433,0.371167,0.384623
70-79,2012,0.393049,0.003821,0.38556,0.400537
70-79,2013,0.402676,0.003773,0.39528,0.410071
70-79,2014,0.409147,0.003778,0.401743,0.416551
70-79,2015,0.406158,0.003868,0.398576,0.413739
70-79,2016,0.415909,0.003994,0.40808,0.423737
70-79,2017,0.412117,0.004485,0.403327,0.420907
70-79,2018,0.414097,0.004541,0.405196,0.422998
70-79,2019,0.414355,0.003895,0.406721,0.421988
70-79,2020,0.436396,0.004907,0.426779,0.446014
70-79,2021,0.419833,0.004728,0.410566,0.429099
70-79,2022,0.404703,0.00413,0.396608,0.412798
70-79,2023,0.398099,0.004174,0.389918,0.40628
70-79,2024,0.400089,0.004109,0.392036,0.408142
70-79,2025,0.414332,0.017241,0.380541,0.448124
80-89,1993,0.323996,0.011058,0.302324,0.345668
80-89,1994,0.301515,0.011675,0.278633,0.324397
80-89,1995,0.29855,0.010757,0.277467,0.319634
80-89,1996,0.32195,0.010003,0.302345,0.341555
80-89,1997,0.32387,0.009744,0.304772,0.342968
80-89,1998,0.33722,0.009517,0.318567,0.355874
80-89,1999,0.358383,0.010663,0.337484,0.379282
80-89,2000,0.318309,0.009722,0.299255,0.337363
80-89,2001,0.309632,0.008373,0.293222,0.326041
80-89,2002,0.320052,0.008123,0.304131,0.335974
80-89,2003,0.313455,0.007781,0.298206,0.328705
80-89,2004,0.293229,0.006807,0.279887,0.30657
80-89,2005,0.307148,0.006496,0.294416,0.319879
80-89,2006,0.320115,0.005901,0.30855,0.33168
80-89,2007,0.310251,0.004785,0.300872,0.31963
80-89,2008,0.325216,0.004675,0.316054,0.334378
80-89,2009,0.324658,0.004367,0.316098,0.333217
80-89,2010,0.331637,0.003902,0.32399,0.339284
80-89,2011,0.330606,0.004279,0.322218,0.338993
80-89,2012,0.33796,0.004878,0.3284,0.34752
80-89,2013,0.338179,0.004844,0.328685,0.347672
80-89,2014,0.350045,0.004933,0.340376,0.359714
80-89,2015,0.353241,0.005107,0.343232,0.363251
80-89,2016,0.361221,0.005399,0.350639,0.371802
80-89,2017,0.360637,0.006165,0.348554,0.37272
80-89,2018,0.35929,0.006498,0.346553,0.372027
80-89,2019,0.359338,0.005592,0.348379,0.370298
80-89,2020,0.379537,0.007023,0.365773,0.393301
80-89,2021,0.367939,0.007313,0.353606,0.382271
80-89,2022,0.369515,0.006282,0.357203,0.381827
80-89,2023,0.367475,0.005938,0.355837,0.379113
80-89,2024,0.355156,0.005595,0.34419,0.366121
80-89,2025,0.349284,0.026679,0.296994,0.401574
