age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1996,0.755199,0.003388,0.748558,0.76184
18-29,1997,0.754041,0.003367,0.747441,0.760641
18-29,1998,0.742374,0.003462,0.735589,0.749159
18-29,1999,0.749553,0.003445,0.742802,0.756305
18-29,2000,0.747469,0.003452,0.740702,0.754235
18-29,2001,0.750237,0.00288,0.744591,0.755882
18-29,2002,0.737833,0.002948,0.732055,0.743611
18-29,2003,0.750767,0.002885,0.745112,0.756421
18-29,2004,0.751166,0.002945,0.745394,0.756938
18-29,2005,0.747831,0.002926,0.742096,0.753566
18-29,2006,0.743244,0.002935,0.737492,0.748996
18-29,2007,0.748711,0.002926,0.742976,0.754446
18-29,2008,0.750658,0.002898,0.744978,0.756339
18-29,2009,0.737532,0.002933,0.731784,0.74328
18-29,2010,0.727898,0.002912,0.72219,0.733605
18-29,2011,0.739922,0.002917,0.734204,0.74564
18-29,2012,0.745876,0.002946,0.740103,0.75165
18-29,2013,0.746283,0.002939,0.740523,0.752043
18-29,2014,0.748533,0.003369,0.741929,0.755136
18-29,2015,0.750422,0.002939,0.744661,0.756183
18-29,2016,0.75641099999999994,0.003059,0.750416,0.762406
18-29,2017,0.747748,0.003117,0.741638,0.753858
18-29,2018,0.759845,0.003136,0.753699,0.765991
18-29,2019,0.724489,0.00328,0.71806,0.730917
18-29,2020,0.746343,0.003479,0.739523,0.753162
18-29,2021,0.725344,0.003486,0.718512,0.732176
18-29,2022,0.719266,0.003655,0.712102,0.726429
18-29,2023,0.711454,0.003765,0.704076,0.71883300000000006
18-29,2024,0.714122,0.003767,0.706738,0.721506
18-29,2025,0.708914,0.003792,0.701482,0.716345
30-39,1996,0.712188,0.003533,0.705264,0.719113
30-39,1997,0.708901,0.00353,0.701982,0.715821
30-39,1998,0.711148,0.00358,0.704131,0.718165
30-39,1999,0.723963,0.003574,0.716959,0.730968
30-39,2000,0.721725,0.00357,0.714728,0.728722
30-39,2001,0.721165,0.002893,0.715496,0.726835
30-39,2002,0.708454,0.002957,0.702659,0.714249
30-39,2003,0.708505,0.00303,0.702566,0.714443
30-39,2004,0.706487,0.003121,0.70037,0.712603
30-39,2005,0.7008,0.003184,0.694559,0.707041
30-39,2006,0.70508,0.003181,0.698845,0.711314
30-39,2007,0.708695,0.003212,0.7024,0.71499
30-39,2008,0.705352,0.003222,0.699036,0.711667
30-39,2009,0.694018,0.003253,0.687642,0.700394
30-39,2010,0.674809,0.003265,0.66841,0.681209
30-39,2011,0.687036,0.0033,0.680569,0.693504
30-39,2012,0.694663,0.003306,0.688183,0.701142
30-39,2013,0.689551,0.003289,0.683104,0.695998
30-39,2014,0.695059,0.00368,0.687847,0.702271
30-39,2015,0.693938,0.003278,0.687514,0.700362
30-39,2016,0.697992,0.00338,0.691367,0.704618
30-39,2017,0.692033,0.003379,0.68541,0.698657
30-39,2018,0.703058,0.003406,0.696382,0.709735
30-39,2019,0.685045,0.003472,0.67824,0.69185
30-39,2020,0.706479,0.003743,0.699142,0.713815
30-39,2021,0.683454,0.00366,0.676281,0.690628
30-39,2022,0.67454,0.003857,0.666981,0.682099
30-39,2023,0.668041,0.003948,0.660304,0.675779
30-39,2024,0.66329,0.003941,0.655567,0.671014
30-39,2025,0.658365,0.004046,0.650435,0.666295
40-49,1996,0.644832,0.00392,0.637149,0.652515
40-49,1997,0.620855,0.00397,0.613074,0.628637
40-49,1998,0.628828,0.0039,0.621183,0.636472
40-49,1999,0.646222,0.003813,0.638749,0.653695
40-49,2000,0.643568,0.00381,0.6361,0.651035
