age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1972,0.4059,0.026669000000000002,0.353629,0.458171
18-29,1973,0.428572,0.027149,0.375359,0.481785
18-29,1974,0.433146,0.027168,0.379898,0.486395
18-29,1975,0.416667,0.026273,0.365172,0.468162
18-29,1976,0.449278,0.027387,0.3956,0.502956
18-29,1977,0.407682,0.027989,0.352824,0.46254
18-29,1980,0.423651,0.02893,0.366949,0.480353
18-29,1982,0.399006,0.023983,0.352,0.446013
18-29,1984,0.362863,0.026898,0.310144,0.415582
18-29,1985,0.413073,0.028362,0.357483,0.468663
18-29,1987,0.427012,0.026883,0.374321,0.479702
18-29,1988,0.345382,0.034044,0.278655,0.412109
18-29,1989,0.413867,0.036475,0.342377,0.485358
18-29,1990,0.418182,0.03906,0.341625,0.494739
18-29,1991,0.394143,0.036974,0.321674,0.466613
18-29,1993,0.377778,0.036651,0.305942,0.449613
18-29,1994,0.400794,0.028625,0.344688,0.4569
18-29,1996,0.367916,0.023745,0.321376,0.414455
18-29,1998,0.395756,0.02302,0.350637,0.440876
18-29,2000,0.367893,0.025127,0.318643,0.417143
18-29,2002,0.370418,0.027303,0.316904,0.423932
18-29,2004,0.368668,0.034221,0.301596,0.435741
18-29,2006,0.38548,0.02373,0.33897,0.431991
18-29,2008,0.345738,0.035077,0.276987,0.414488
18-29,2010,0.321352,0.03724,0.248363,0.394342
18-29,2012,0.367456,0.038599,0.291803,0.44311
18-29,2014,0.304162,0.032132,0.241183,0.367142
18-29,2016,0.266698,0.03044,0.207035,0.326361
18-29,2018,0.285251,0.030632,0.225211,0.34529
18-29,2021,0.254632,0.025957,0.203756,0.305508
18-29,2022,0.274336,0.029499,0.216517,0.332154
18-29,2024,0.261102,0.029723,0.202845,0.319358
30-39,1972,0.397138,0.030105,0.338132,0.456144
30-39,1973,0.448041,0.029987,0.389266,0.506816
30-39,1974,0.395585,0.029973,0.336837,0.454332
30-39,1975,0.420001,0.031567,0.35813,0.481873
30-39,1976,0.421459,0.029929,0.362799,0.48012
30-39,1977,0.41982,0.02929,0.362411,0.477229
30-39,1980,0.402044,0.029041,0.345125,0.458964
30-39,1982,0.380499,0.026616,0.328331,0.432667
30-39,1984,0.308847,0.026552,0.256806,0.360889
30-39,1985,0.402844,0.0281,0.347768,0.457921
30-39,1987,0.362593,0.024092,0.315373,0.409813
30-39,1988,0.407217,0.034721,0.339163,0.47527
30-39,1989,0.418225,0.034636,0.350337,0.486112
30-39,1990,0.340051,0.033351,0.274683,0.405419
30-39,1991,0.40553,0.033789,0.339304,0.471756
30-39,1993,0.335588,0.031682,0.27349,0.397685
30-39,1994,0.366014,0.022724,0.321475,0.410553
30-39,1996,0.355731,0.021246,0.314089,0.397373
30-39,1998,0.366337,0.019632,0.327857,0.404816
30-39,2000,0.38334,0.023295,0.337682,0.428998
30-39,2002,0.320475,0.02453,0.272397,0.368554
30-39,2004,0.301075,0.029644,0.242973,0.359177
30-39,2006,0.301172,0.019896,0.262176,0.340169
30-39,2008,0.319877,0.036657,0.248028,0.391725
30-39,2010,0.317284,0.033596,0.251435,0.383132
30-39,2012,0.30076,0.033062,0.235959,0.365561
30-39,2014,0.304591,0.028401,0.248924,0.360258
