age_group,year,prevalence,se,ci_lower,ci_upper
18-29,2000,0.688442,0.008956,0.670886,0.705999
18-29,2001,0.684974,0.008625,0.668066,0.701883
18-29,2002,0.709972,0.007471,0.695327,0.724618
18-29,2003,0.714302,0.008551,0.697539,0.731065
18-29,2004,0.694971,0.009235,0.676867,0.713076
18-29,2005,0.690801,0.01005,0.6711,0.710503
18-29,2006,0.694909,0.009965,0.675374,0.714444
18-29,2007,0.71197,0.009744,0.692868,0.731072
18-29,2008,0.719481,0.008838,0.702155,0.736806
18-29,2009,0.684475,0.009857,0.665151,0.703798
18-29,2010,0.706801,0.010447,0.68632,0.727281
18-29,2011,0.717574,0.009568,0.698818,0.73633
18-29,2012,0.701422,0.009996,0.681825,0.721019
18-29,2013,0.726984,0.009268,0.708816,0.745153
18-29,2014,0.732428,0.009491,0.713823,0.751033
18-29,2015,0.722424,0.009448,0.703902,0.740946
18-29,2016,0.720675,0.01019,0.7007,0.740651
18-29,2017,0.738346,0.009456,0.719808,0.756885
18-29,2018,0.743026,0.009205,0.724979,0.761072
18-29,2019,0.726935,0.009087,0.709122,0.744749
18-29,2020,0.738064,0.013481,0.711637,0.764492
18-29,2021,0.710418,0.013984,0.68300399999999994,0.737832
18-29,2022,0.708984,0.01637,0.676892,0.741076
18-29,2023,0.658583,0.017386,0.6245,0.692665
30-39,2000,0.624771,0.010504,0.60418,0.645363
30-39,2001,0.645824,0.009512,0.627177,0.664471
30-39,2002,0.642912,0.008726,0.625806,0.660019
30-39,2003,0.64462,0.0098,0.625408,0.663832
30-39,2004,0.638442,0.010646,0.617573,0.659312
30-39,2005,0.640713,0.01065,0.619835,0.661591
30-39,2006,0.641671,0.010026,0.622015,0.661326
30-39,2007,0.629836,0.009841,0.610543,0.649128
30-39,2008,0.625373,0.010823,0.604156,0.64659
30-39,2009,0.629077,0.010039,0.609397,0.648757
30-39,2010,0.622151,0.011571,0.599467,0.644835
30-39,2011,0.605964,0.009397,0.587542,0.624386
30-39,2012,0.604122,0.010016,0.584487,0.623757
30-39,2013,0.622185,0.010624,0.601359,0.643011
30-39,2014,0.640524,0.012034,0.616933,0.664116
30-39,2015,0.643237,0.01158,0.620536,0.665938
30-39,2016,0.643662,0.01014,0.623783,0.663541
30-39,2017,0.668842,0.010193,0.64886,0.688824
30-39,2018,0.680296,0.009502,0.661667,0.698924
30-39,2019,0.690857,0.010492,0.670289,0.711426
30-39,2020,0.678878,0.012752,0.653878,0.703878
30-39,2021,0.644448,0.014964,0.615113,0.673783
30-39,2022,0.671915,0.018931,0.634803,0.709026
30-39,2023,0.648476,0.0172,0.614758,0.682194
40-49,2000,0.559474,0.012296,0.53537,0.583579
40-49,2001,0.568717,0.010314,0.548497,0.588937
