age_group,year,prevalence,se,ci_lower,ci_upper
18-29,2001.5,0.517748,0.023704,0.470882,0.564615
18-29,2003.5,0.562572,0.014932,0.533049,0.592096
18-29,2005.5,0.527438,0.030248,0.467633,0.587243
18-29,2007.5,0.496501,0.030513,0.436171,0.55683
18-29,2009.5,0.458306,0.022975,0.41288,0.503732
18-29,2011.5,0.528744,0.034765,0.460008,0.597481
18-29,2013.5,0.443915,0.022959,0.398522,0.489308
18-29,2015.5,0.453091,0.019973,0.413602,0.492581
18-29,2017.5,0.43954,0.023542,0.392994,0.486086
30-39,2001.5,0.555567,0.016796,0.522359,0.588775
30-39,2003.5,0.492722,0.019263,0.454636,0.530808
30-39,2005.5,0.495103,0.026154,0.443393,0.546814
30-39,2007.5,0.50329,0.02754,0.448838,0.557741
30-39,2009.5,0.449936,0.024499,0.401497,0.498375
30-39,2011.5,0.484621,0.027831,0.429594,0.539649
30-39,2013.5,0.432247,0.021488,0.389762,0.474733
30-39,2015.5,0.408006,0.020306,0.367857,0.448155
30-39,2017.5,0.456643,0.025815,0.405603,0.507683
40-49,2001.5,0.561958,0.028333,0.505939,0.617978
40-49,2003.5,0.49577,0.01971,0.4568,0.53474
40-49,2005.5,0.44187,0.024683,0.393067,0.490673
40-49,2007.5,0.429342,0.019984,0.389831,0.468854
40-49,2009.5,0.436964,0.014632,0.408033,0.465895
40-49,2011.5,0.413291,0.028085,0.357761,0.468821
40-49,2013.5,0.383997,0.029722,0.325231,0.442763
40-49,2015.5,0.431635,0.037617,0.35726,0.50601
40-49,2017.5,0.351845,0.030136,0.292262,0.411429
50-59,2001.5,0.506812,0.021078,0.465138,0.548486
50-59,2003.5,0.426144,0.036814,0.353356,0.498932
50-59,2005.5,0.451285,0.027705,0.396507,0.506063
50-59,2007.5,0.418664,0.034673,0.350109,0.487219
50-59,2009.5,0.441408,0.019115,0.403614,0.479202
50-59,2011.5,0.415096,0.034376,0.347128,0.483065
50-59,2013.5,0.3878,0.034686,0.319219,0.456381
50-59,2015.5,0.388597,0.036099,0.317223,0.459971
50-59,2017.5,0.396995,0.040135,0.31764,0.47635
60-69,2001.5,0.44269,0.024744,0.393766,0.491614
60-69,2003.5,0.418292,0.033461,0.352134,0.48445
60-69,2005.5,0.41878,0.03016,0.359148,0.478413
60-69,2007.5,0.41426,0.038476,0.338185,0.490335
60-69,2009.5,0.444321,0.030975,0.383078,0.505563
60-69,2011.5,0.470609,0.027313,0.416606,0.524612
60-69,2013.5,0.376092,0.036127,0.304663,0.447521
60-69,2015.5,0.39115,0.034538,0.322863,0.459437
60-69,2017.5,0.400182,0.038514,0.324034,0.47633
70-79,2001.5,0.361972,0.024897,0.312746,0.411197
70-79,2003.5,0.347545,0.036923,0.274541,0.42055
70-79,2005.5,0.426511,0.024583,0.377905,0.475117
70-79,2007.5,0.369224,0.028612,0.312654,0.425794
70-79,2009.5,0.407108,0.029762,0.348264,0.465952
70-79,2011.5,0.378112,0.025586,0.327524,0.4287
70-79,2013.5,0.38062,0.015603,0.34977,0.411471
70-79,2015.5,0.411951,0.045185,0.322612,0.501289
70-79,2017.5,0.386482,0.04123,0.304963,0.468
80-89,2001.5,0.336763,0.0259,0.285554,0.387972
80-89,2003.5,0.337103,0.022248,0.293114,0.381091
80-89,2005.5,0.339253,0.030337,0.279272,0.399234
80-89,2007.5,0.342334,0.030719,0.281597,0.403071
80-89,2009.5,0.35651,0.023435,0.310175,0.402845
80-89,2011.5,0.353508,0.041178,0.272092,0.434925
80-89,2013.5,0.362206,0.031626,0.299676,0.424736
80-89,2015.5,0.397864,0.034785,0.329088,0.46664
80-89,2017.5,0.408324,0.031978,0.345098,0.471549
