age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1983,0.747293,0.005233,0.737032,0.757555
18-29,1985,0.765763,0.006045,0.753909,0.777616
18-29,1987,0.749197,0.006096,0.737242,0.761151
18-29,1988,0.750304,0.005565,0.73939,0.761217
18-29,1989,0.76166,0.006004,0.749887,0.773434
18-29,1990,0.766507,0.006065,0.754614,0.7784
18-29,1991,0.752854,0.005535,0.742,0.763707
18-29,1992,0.737774,0.006793,0.724453,0.751096
18-29,1993,0.720315,0.006254,0.70805,0.73258
18-29,1997,0.761158,0.006314,0.748776,0.773541
18-29,1998,0.778852,0.006512,0.766082,0.791622
18-29,1999,0.786813,0.006833,0.773414,0.800212
18-29,2000,0.774864,0.006197,0.762712,0.787017
18-29,2001,0.781026,0.006449,0.76838,0.793672
18-29,2002,0.759972,0.006804,0.746629,0.773315
18-29,2003,0.756041,0.00712,0.74208,0.770002
18-29,2004,0.759849,0.006743,0.746626,0.773071
18-29,2005,0.753304,0.006877,0.739818,0.766791
18-29,2006,0.747139,0.008108,0.731238,0.763039
18-29,2007,0.755016,0.008298,0.738743,0.77129
18-29,2008,0.754592,0.008635,0.73766,0.771525
18-29,2009,0.756908,0.008245,0.74074,0.773076
18-29,2010,0.736183,0.008247,0.720011,0.752356
18-29,2011,0.745571,0.007456,0.730949,0.760193
18-29,2012,0.750713,0.007142,0.736708,0.764719
18-29,2013,0.757428,0.00778,0.742172,0.772685
18-29,2014,0.756156,0.007388,0.741667,0.770645
18-29,2015,0.742521,0.008426,0.725997,0.759046
18-29,2016,0.767159,0.00819,0.751098,0.78322
18-29,2017,0.746304,0.009299,0.728068,0.764539
18-29,2018,0.751302,0.009611,0.732454,0.770149
18-29,2019,0.726441,0.009067,0.708661,0.744221
18-29,2020,0.749795,0.009162,0.731828,0.767763
18-29,2021,0.748494,0.008665,0.731501,0.765486
18-29,2022,0.719929,0.008821,0.702631,0.737227
18-29,2023,0.697137,0.009036,0.679417,0.714857
18-29,2024,0.686212,0.008624,0.6693,0.703125
30-39,1983,0.716278,0.005814,0.704878,0.727679
30-39,1985,0.733666,0.005948,0.722003,0.745329
30-39,1987,0.737029,0.004797,0.727621,0.746436
30-39,1988,0.722985,0.006366,0.710502,0.735468
30-39,1989,0.737586,0.00614,0.725544,0.749627
30-39,1990,0.734286,0.005252,0.723987,0.744585
30-39,1991,0.719968,0.00522,0.709731,0.730205
30-39,1992,0.705244,0.007169,0.691185,0.719302
30-39,1993,0.704791,0.005486,0.694033,0.715549
30-39,1997,0.740487,0.005803,0.729107,0.751867
30-39,1998,0.737504,0.005873,0.725987,0.74902
30-39,1999,0.745551,0.006045,0.733696,0.757406
30-39,2000,0.745653,0.006436,0.733031,0.758275
30-39,2001,0.736652,0.006507,0.723892,0.749412
30-39,2002,0.738854,0.006154,0.726786,0.750923
30-39,2003,0.732704,0.006696,0.719573,0.745834
30-39,2004,0.724276,0.006211,0.712097,0.736455
30-39,2005,0.711544,0.00696,0.697895,0.725194
30-39,2006,0.71966,0.008855,0.702296,0.737024
30-39,2007,0.701881,0.007989,0.686215,0.717548
30-39,2008,0.695536,0.009675,0.676564,0.714508
30-39,2009,0.683017,0.009002,0.665364,0.700671
30-39,2010,0.691358,0.008071,0.675531,0.707185
30-39,2011,0.681947,0.007369,0.667496,0.696398
30-39,2012,0.682148,0.007629,0.667188,0.697108
30-39,2013,0.692791,0.008284,0.676545,0.709037
30-39,2014,0.70458,0.008165,0.688568,0.720592
30-39,2015,0.694611,0.007982,0.678958,0.710265
30-39,2016,0.683801,0.008783,0.666577,0.701026
30-39,2017,0.723764,0.008043,0.707992,0.739536
30-39,2018,0.698214,0.008673,0.681205,0.715222
30-39,2019,0.661955,0.008162,0.64595,0.677961
30-39,2020,0.667434,0.008931,0.649919,0.684948
30-39,2021,0.683045,0.007919,0.667515,0.698574
30-39,2022,0.641179,0.008902,0.623722,0.658635
30-39,2023,0.637919,0.008603,0.621049,0.65479
30-39,2024,0.627606,0.008261,0.611406,0.643807
40-49,1983,0.615705,0.007155,0.601674,0.629736
40-49,1985,0.648361,0.008537,0.631621,0.665102
40-49,1987,0.646326,0.006888,0.632819,0.659833
40-49,1988,0.668715,0.007253,0.654493,0.682937
40-49,1989,0.666555,0.00667,0.653476,0.679635
40-49,1990,0.666109,0.007417,0.651565,0.680654
40-49,1991,0.66498,0.006462,0.652307,0.677653
40-49,1992,0.671047,0.00824,0.654887,0.687206
40-49,1993,0.643547,0.006628,0.63055,0.656545
40-49,1997,0.662758,0.006911,0.649206,0.67631
40-49,1998,0.682368,0.006821,0.668991,0.695745
40-49,1999,0.670096,0.007345,0.655692,0.684499
40-49,2000,0.660062,0.007157,0.646027,0.674096
40-49,2001,0.665224,0.006732,0.652022,0.678426
40-49,2002,0.641459,0.007799,0.626165,0.656754
40-49,2003,0.649004,0.006934,0.635406,0.662601
40-49,2004,0.643933,0.007371,0.629478,0.65838699999999994
40-49,2005,0.647228,0.007075,0.633355,0.661102
40-49,2006,0.634071,0.009454,0.615531,0.65261
40-49,2007,0.619622,0.00977,0.600464,0.638781
40-49,2008,0.636289,0.009091,0.618462,0.654117
40-49,2009,0.61564,0.009586,0.596841,0.634439
40-49,2010,0.624615,0.008844,0.607272,0.641958
40-49,2011,0.618298,0.007861,0.602883,0.633712
40-49,2012,0.606565,0.007967,0.590943,0.622188
40-49,2013,0.618,0.008677,0.600984,0.635015
40-49,2014,0.634146,0.008473,0.61753,0.650762
40-49,2015,0.615227,0.008291,0.598968,0.631485
40-49,2016,0.614573,0.009811,0.595333,0.633812
40-49,2017,0.615061,0.009727,0.595986,0.634135
40-49,2018,0.628317,0.00994,0.608824,0.64781
40-49,2019,0.582927,0.009499,0.5643,0.601554
40-49,2020,0.601027,0.009762,0.581884,0.62017
40-49,2021,0.600502,0.009418,0.582034,0.618971
40-49,2022,0.570885,0.009243,0.55276,0.589011
40-49,2023,0.57102,0.009401,0.552584,0.589456
40-49,2024,0.557281,0.009025,0.539583,0.57498
50-59,1983,0.517356,0.007695,0.502266,0.532446
50-59,1984,0.465564,0.011068,0.44386,0.487269
50-59,1985,0.528997,0.011627,0.506197,0.551797
50-59,1987,0.529317,0.008687,0.512283,0.546352
50-59,1988,0.542014,0.0077,0.526915,0.557113
50-59,1989,0.549864,0.009266,0.531693,0.568035
50-59,1990,0.548499,0.00897,0.530909,0.566088
50-59,1991,0.542627,0.008279,0.526391,0.558863
50-59,1992,0.557757,0.010799,0.53658,0.578934
50-59,1993,0.542314,0.008136,0.52636,0.558269
50-59,1997,0.569432,0.008654,0.552462,0.586403
50-59,1998,0.576952,0.007755,0.561745,0.59216
50-59,1999,0.582713,0.008771,0.565512,0.599914
50-59,2000,0.577655,0.008583,0.560824,0.594486
50-59,2001,0.563192,0.008482,0.54656,0.579824
50-59,2002,0.556967,0.008998,0.539322,0.574611
50-59,2003,0.55094,0.008552,0.534168,0.567711
50-59,2004,0.551442,0.007633,0.536473,0.56641
50-59,2005,0.55941,0.007862,0.543992,0.574827
50-59,2006,0.545471,0.009734,0.526384,0.564559
50-59,2007,0.539391,0.010137,0.519513,0.55927
50-59,2008,0.541386,0.009925,0.521922,0.56085
50-59,2009,0.551567,0.009348,0.533235,0.569898
50-59,2010,0.534256,0.008921,0.516762,0.55175
50-59,2011,0.538247,0.008305,0.521962,0.554533
50-59,2012,0.548022,0.008136,0.532068,0.563977
50-59,2013,0.521236,0.008924,0.503736,0.538736
50-59,2014,0.534341,0.009225,0.516251,0.552431
50-59,2015,0.53907,0.008781,0.521851,0.55629
50-59,2016,0.546467,0.009383,0.528066,0.564869
50-59,2017,0.536714,0.010068,0.51697,0.556458
50-59,2018,0.555353,0.009243,0.537227,0.573479
50-59,2019,0.522088,0.008944,0.504548,0.539627
50-59,2020,0.529977,0.008649,0.513016,0.546938
50-59,2021,0.519976,0.008841,0.502639,0.537313
50-59,2022,0.496158,0.009411,0.477702,0.514614
50-59,2023,0.507318,0.009033,0.489604,0.525033
50-59,2024,0.511014,0.008937,0.493488,0.52854
60-69,1983,0.405752,0.0076,0.390848,0.420655
60-69,1984,0.399966,0.007557,0.385147,0.414784
60-69,1985,0.421123,0.009579,0.402338,0.439908
60-69,1987,0.419264,0.008425,0.402743,0.435785
60-69,1988,0.440619,0.008143,0.424651,0.456587
60-69,1989,0.442515,0.008872,0.425116,0.459914
60-69,1990,0.454849,0.008965,0.437269,0.472429
60-69,1991,0.447303,0.008965,0.429722,0.464883
60-69,1992,0.423497,0.011512,0.400922,0.446072
60-69,1993,0.450403,0.009384,0.432001,0.468804
60-69,1997,0.477293,0.009014,0.459616,0.49497
60-69,1998,0.471796,0.009806,0.452565,0.491027
60-69,1999,0.480243,0.010171,0.460297,0.500189
60-69,2000,0.477544,0.010123,0.457693,0.497395
60-69,2001,0.472259,0.010182,0.452292,0.492225
60-69,2002,0.459785,0.010493,0.439207,0.480363
60-69,2003,0.485139,0.010022,0.465486,0.504791
60-69,2004,0.465494,0.009993,0.445898,0.48509
60-69,2005,0.464328,0.010057,0.444605,0.484051
60-69,2006,0.467939,0.011638,0.445116,0.490762
60-69,2007,0.481266,0.010754,0.460176,0.502355
60-69,2008,0.481819,0.01074,0.460758,0.50288
60-69,2009,0.479243,0.010436,0.458778,0.499707
60-69,2010,0.499446,0.010759,0.478347,0.520545
60-69,2011,0.502289,0.009661,0.483343,0.521235
60-69,2012,0.49673,0.009077,0.47893,0.514529
60-69,2013,0.504336,0.009183,0.486328,0.522344
60-69,2014,0.50518,0.009366,0.486813,0.523547
60-69,2015,0.497032,0.010054,0.477316,0.516748
60-69,2016,0.506513,0.009511,0.487862,0.525165
60-69,2017,0.490354,0.010118,0.470512,0.510196
60-69,2018,0.496217,0.009328,0.477925,0.51451
60-69,2019,0.481147,0.008274,0.46492,0.497373
60-69,2020,0.484108,0.008571,0.467301,0.500916
60-69,2021,0.489977,0.008612,0.473089,0.506865
60-69,2022,0.457857,0.008305,0.44157,0.474144
60-69,2023,0.463892,0.008189,0.447833,0.479951
60-69,2024,0.453207,0.008046,0.437428,0.468986
70-79,1983,0.367068,0.011195,0.345114,0.389023
70-79,1984,0.358585,0.0084,0.342113,0.375057
70-79,1985,0.360787,0.010658,0.339888,0.381687
70-79,1987,0.358345,0.009086,0.340528,0.376162
70-79,1988,0.372303,0.008945,0.354762,0.389845
70-79,1989,0.397309,0.009228,0.379212,0.415405
70-79,1990,0.401951,0.009643,0.383041,0.420861
70-79,1991,0.396486,0.009892,0.377087,0.415884
70-79,1992,0.397937,0.011298,0.375782,0.420092
70-79,1993,0.379828,0.010619,0.359004,0.400652
70-79,1997,0.393797,0.008809,0.376523,0.411072
70-79,1998,0.393281,0.009929,0.37381,0.412752
70-79,1999,0.398849,0.010121,0.379002,0.418695
70-79,2000,0.380239,0.009693,0.361231,0.399248
70-79,2001,0.405106,0.010672,0.384178,0.426034
70-79,2002,0.384785,0.011811,0.361624,0.407946
70-79,2003,0.394013,0.011936,0.370606,0.41742
