survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
BRFSS,1993,-0.038689,7.93e-4,-48.789561,0,-0.040243,-0.037135,-0.041883,8.58e-4,101548
BRFSS,1994,-0.036951,7.99e-4,-46.269838,0,-0.038517,-0.035386,-0.040999,8.86e-4,105170
BRFSS,1995,-0.036036,8.37e-4,-43.055686,0,-0.037676,-0.034395,-0.040664,9.44e-4,113274
BRFSS,1996,-0.033472,7.21e-4,-46.445474,0,-0.034884,-0.032059,-0.039466,8.5e-4,123318
BRFSS,1997,-0.03342,6.96e-4,-48.033502,0,-0.034784,-0.032057,-0.039189,8.16e-4,134578
BRFSS,1998,-0.033693,6.62e-4,-50.888982,0,-0.03499,-0.032395,-0.040354,7.93e-4,148351
BRFSS,1999,-0.031486,6.83e-4,-46.112053,0,-0.032825,-0.030148,-0.038148,8.27e-4,158712
BRFSS,2000,-0.031052,6.7e-4,-46.318713,0,-0.032366,-0.029738,-0.038907,8.4e-4,182254
BRFSS,2001,-0.031406,5.91e-4,-53.158108,0,-0.032564,-0.030248,-0.0397,7.47e-4,210243
BRFSS,2002,-0.031688,5.96e-4,-53.192466,0,-0.032855,-0.03052,-0.040542,7.62e-4,244597
BRFSS,2003,-0.030483,5.81e-4,-52.43634,0,-0.031622,-0.029343,-0.03953,7.54e-4,262303
BRFSS,2004,-0.028803,6.1e-4,-47.20708,0,-0.029999,-0.027607,-0.037957,8.04e-4,300898
BRFSS,2005,-0.02712,5.57e-4,-48.668414,0,-0.028212,-0.026027,-0.036358,7.47e-4,351846
BRFSS,2006,-0.02727,6.2e-4,-43.974873,0,-0.028485,-0.026054,-0.036079,8.2e-4,350139
BRFSS,2007,-0.026224,5.87e-4,-44.657417,0,-0.027375,-0.025073,-0.035236,7.89e-4,425583
BRFSS,2008,-0.026833,4.99e-4,-53.792113,0,-0.027811,-0.025856,-0.0354,6.58e-4,408885
BRFSS,2009,-0.025755,5.29e-4,-48.69014,0,-0.026792,-0.024718,-0.033747,6.93e-4,426540
BRFSS,2010,-0.027003,4.58e-4,-58.896796,0,-0.027901,-0.026104,-0.035564,6.04e-4,442811
BRFSS,2011,-0.024691,4.11e-4,-60.114737,0,-0.025496,-0.023886,-0.035471,5.9e-4,500301
BRFSS,2012,-0.023583,4.32e-4,-54.53075,0,-0.024431,-0.022734999999999998,-0.03398,6.23e-4,469066
BRFSS,2013,-0.022959,4.08e-4,-56.324611,0,-0.023758,-0.02216,-0.03319,5.89e-4,483071
BRFSS,2014,-0.022877,4.12e-4,-55.531442,0,-0.023685,-0.02207,-0.032876,5.92e-4,458088
BRFSS,2015,-0.022876,4.22e-4,-54.155612,0,-0.023704,-0.022048,-0.032529,6.01e-4,428915
BRFSS,2016,-0.023047,4.08e-4,-56.430562,0,-0.023848,-0.022247,-0.033034,5.85e-4,475409
BRFSS,2017,-0.020685,4.42e-4,-46.799856,0,-0.021551,-0.019819,-0.030692,6.56e-4,445051
BRFSS,2018,-0.020865,4.41e-4,-47.300218,0,-0.021729,-0.02,-0.030712,0.00064899999999999995,420810
BRFSS,2019,-0.020258,4.18e-4,-48.423706,0,-0.021078,-0.019438,-0.030354,6.27e-4,410845
BRFSS,2020,-0.02485,5.35e-4,-46.44078,0,-0.025898,-0.023801,-0.03031,6.53e-4,399275
BRFSS,2021,-0.022712,5.11e-4,-44.443561,0,-0.023713,-0.02171,-0.030459,6.85e-4,417011
BRFSS,2022,-0.0185,4.62e-4,-40.056072,0,-0.019405,-0.017595,-0.026715,6.67e-4,432875
BRFSS,2023,-0.016793,4.53e-4,-37.071040000000004,0,-0.017681,-0.015905,-0.025653,6.92e-4,424575
BRFSS,2024,-0.016074,4.26e-4,-37.735829,0,-0.016909,-0.01524,-0.025026,6.63e-4,453816
BRFSS,2025,-0.0152,0.002044,-7.436217,0,-0.019207,-0.011194,-0.023212,0.003121,19184
