survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
CPS,1996,-0.052292,6.29e-4,-83.092385,0,-0.053525,-0.051058,-0.05836,7.02e-4,93785
CPS,1997,-0.049248,6.1e-4,-80.785505,0,-0.050443,-0.048054,-0.05595,6.93e-4,95179
CPS,1998,-0.049263,6.27e-4,-78.602082,0,-0.050492,-0.048035,-0.054988,7e-4,94976
CPS,1999,-0.049017,6.23e-4,-78.685714,0,-0.050237,-0.047796,-0.05409,6.87e-4,95791
CPS,2000,-0.049149,6.25e-4,-78.620545,0,-0.050374,-0.047924,-0.05395,6.86e-4,97217
CPS,2001,-0.049972,5.52e-4,-90.551536,0,-0.051054,-0.048891,-0.054815,6.05e-4,150186
CPS,2002,-0.049656,5.59e-4,-88.762005,0,-0.050753,-0.04856,-0.05565,6.27e-4,149879
CPS,2003,-0.050126,5.7e-4,-87.900095,0,-0.051244,-0.049008,-0.055358,6.3e-4,149844
CPS,2004,-0.046522,5.6e-4,-83.034998,0,-0.04762,-0.045423,-0.052316,6.3e-4,148180
CPS,2005,-0.046215,5.5e-4,-84.041082,0,-0.047293,-0.045137,-0.052018,6.19e-4,146518
CPS,2006,-0.0473,5.49e-4,-86.227298,0,-0.048375,-0.046225,-0.053523,6.21e-4,145752
CPS,2007,-0.046589,5.59e-4,-83.364228,0,-0.047685,-0.045494,-0.052665,6.32e-4,144918
CPS,2008,-0.045746,5.54e-4,-82.608103,0,-0.046831,-0.04466,-0.051639,6.25e-4,145609
CPS,2009,-0.044591,5.35e-4,-83.375772,0,-0.04564,-0.043543,-0.052542,6.3e-4,147163
CPS,2010,-0.043171,5.21e-4,-82.887436,0,-0.044192,-0.042151,-0.050526,6.1e-4,149071
CPS,2011,-0.043183,5.23e-4,-82.597552,0,-0.044207,-0.042158,-0.050817,6.15e-4,146785
CPS,2012,-0.042386,5.28e-4,-80.235349,0,-0.043422,-0.041351,-0.050192,6.26e-4,144803
CPS,2013,-0.042346,5.25e-4,-80.582383,0,-0.043376,-0.041316,-0.049661,6.16e-4,145762
CPS,2014,-0.042952,5.92e-4,-72.542784,0,-0.044113,-0.041792,-0.050232,6.92e-4,144298
CPS,2015,-0.042059,5.26e-4,-79.971308,0,-0.043089,-0.041028,-0.048036,6.01e-4,144279
CPS,2016,-0.041629,5.42e-4,-76.83691,0,-0.042691,-0.040567,-0.047326,6.16e-4,134562
CPS,2017,-0.041863,5.44e-4,-76.908169,0,-0.04293,-0.040796,-0.047219,6.14e-4,135750
CPS,2018,-0.041575,5.57e-4,-74.620415,0,-0.042667,-0.040483,-0.046149,6.18e-4,132144
CPS,2019,-0.037628,5.62e-4,-66.962454,0,-0.038729,-0.036526,-0.042592,6.36e-4,132868
CPS,2020,-0.038371,6.23e-4,-61.544291,0,-0.039593,-0.037149,-0.040658,6.61e-4,117763
CPS,2021,-0.035596,5.76e-4,-61.789402,0,-0.036725,-0.034467,-0.039496,6.39e-4,121845
CPS,2022,-0.035414,5.96e-4,-59.399693,0,-0.036583,-0.034245,-0.040399,6.8e-4,114158
CPS,2023,-0.036508,6.1e-4,-59.89828,0,-0.037703,-0.035314,-0.04037,6.74e-4,110008
CPS,2024,-0.036344,6.05e-4,-60.078987,0,-0.037529,-0.035158,-0.041185,6.86e-4,109367
CPS,2025,-0.036149,6.07e-4,-59.548236,0,-0.037339,-0.034959,-0.040979,6.88e-4,108044
