survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
GSS,1972,-0.046011,0.004045,-11.373982,0,-0.053946,-0.038076,-0.076269,0.006706,1607
GSS,1973,-0.031947,0.00391,-8.170569,0,-0.039617,-0.024277,-0.060648,0.007423,1496
GSS,1974,-0.043404,0.003908,-11.107534,0,-0.051069,-0.035739,-0.075459,0.006794,1474
GSS,1975,-0.032584,0.003784,-8.611151,0,-0.040007,-0.025162,-0.060659,0.007044,1484
GSS,1976,-0.040439,0.003858,-10.480557,0,-0.048008,-0.03287,-0.069733,0.006654,1492
GSS,1977,-0.041017,0.004252,-9.646169,0,-0.049357,-0.032676,-0.073182,0.007587,1520
GSS,1980,-0.03542,0.00369,-9.597662,0,-0.042659,-0.028181,-0.061943,0.006454,1457
GSS,1982,-0.032056,0.003348,-9.575458,0,-0.038621,-0.02549,-0.057936,0.00605,1845
GSS,1984,-0.035876,0.00396,-9.059454,0,-0.043645,-0.028108,-0.054906,0.006061,1456
GSS,1985,-0.038466,0.003976,-9.674257,0,-0.046266,-0.030667,-0.063705,0.006585,1523
GSS,1987,-0.044533,0.003872,-11.500044,0,-0.052127,-0.036938,-0.070724,0.00615,1804
GSS,1988,-0.035683,0.005029,-7.095925,0,-0.045552,-0.025815,-0.058475,0.008241,973
GSS,1989,-0.04012,0.00512,-7.83543,0,-0.050168,-0.030073,-0.058678,0.007489,1026
GSS,1990,-0.033106,0.005139,-6.442566,0,-0.043191,-0.023021,-0.053196,0.008257,914
GSS,1991,-0.034345,0.00479,-7.170685,0,-0.043744,-0.024946,-0.055472,0.007736,987
GSS,1993,-0.033398,0.00489,-6.830364,0,-0.042993,-0.023804,-0.050463,0.007388,1067
GSS,1994,-0.030339,0.003581,-8.471917,0,-0.037362,-0.023316,-0.048926,0.005775,1991
GSS,1996,-0.022744,0.003469,-6.556055,0,-0.029547,-0.015941,-0.034673,0.005289,2414
GSS,1998,-0.028702,0.002974,-9.650264,0,-0.034534,-0.02287,-0.044528,0.004614,2817
GSS,2000,-0.031477,0.003312,-9.503854,0,-0.037971,-0.024982,-0.048449,0.005098,2319
GSS,2002,-0.018571,0.003537,-5.249783,0,-0.025508,-0.011633,-0.03142,0.005985,1840
GSS,2004,-0.022409,0.005119,-4.377408,1.3e-5,-0.032452,-0.012367,-0.034949,0.007984,1351
GSS,2006,-0.026379,0.00281,-9.38873,0,-0.031888,-0.02087,-0.047468,0.005056,3504
GSS,2008,-0.020246,0.004339,-4.666176,3e-6,-0.028757,-0.011734,-0.037579,0.008053,1347
GSS,2010,-0.016605,0.004228,-3.927085,9.1e-5,-0.0249,-0.00831,-0.032415,0.008254,1276
GSS,2012,-0.019932,0.004449,-4.480589,8e-6,-0.028659,-0.011205,-0.036427,0.00813,1301
GSS,2014,-0.015078,0.003488,-4.322551,1.6e-5,-0.021919,-0.008236,-0.029543,0.006835,1703
GSS,2016,-0.010498,0.00336,-3.124092,0.001811,-0.017089,-0.003908,-0.021304,0.006819,1877
GSS,2018,-0.009292,0.003428,-2.710424,0.006793,-0.016016,-0.002567,-0.017435,0.006433,1567
GSS,2021,-0.002758,0.002871,-0.960667,0.336783,-0.008387,0.002871,-0.005148,0.005359,3696
GSS,2022,-0.011577,0.003291,-3.517449,4.42e-4,-0.018031,-0.005124,-0.022918,0.006516,3333
GSS,2024,-0.006272,0.002963,-2.117076,0.034331,-0.01208,-4.63e-4,-0.012577,0.005941,3166
