survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
MEPS,2000,-0.039849,0.001452,-27.448281,0,-0.042713,-0.036985,-0.04656,0.001696,15288
MEPS,2001,-0.035933,0.001347,-26.681809,0,-0.03858,-0.033286,-0.04128,0.001547,20674
MEPS,2002,-0.037938,0.001225,-30.981141,0,-0.04035,-0.035526,-0.044111,0.001424,24043
MEPS,2003,-0.036802,0.00213,-17.277407,0,-0.040998,-0.032606,-0.040813,0.002362,20664
MEPS,2004,-0.035489,0.001432,-24.784751,0,-0.038309,-0.032668,-0.041646,0.00168,20777
MEPS,2005,-0.032908,0.002023,-16.27025,0,-0.036891,-0.028924,-0.038288,0.002353,20526
MEPS,2006,-0.036636,0.001444,-25.36675,0,-0.039481,-0.033792,-0.041579,0.001639,20634
MEPS,2007,-0.037273,0.001403,-26.564768,0,-0.040031,-0.034516,-0.040951,0.001542,18872
MEPS,2008,-0.03333,0.001448,-23.021827,0,-0.036184,-0.030475,-0.038092,0.001655,20323
MEPS,2009,-0.031466,0.001447,-21.748179,0,-0.034319,-0.028613,-0.036254,0.001667,22903
MEPS,2010,-0.033631,0.001446,-23.255401,0,-0.036482,-0.030779,-0.038614,0.00166,20575
MEPS,2011,-0.029295,0.001502,-19.50531,0,-0.032256,-0.026334,-0.034093,0.001748,22141
MEPS,2012,-0.027426,0.001394,-19.670741,0,-0.030175,-0.024677,-0.032045,0.001629,24807
MEPS,2013,-0.031452,0.001585,-19.845184,0,-0.034578,-0.028327,-0.036372,0.001833,22717
MEPS,2014,-0.032269,0.001517,-21.268423,0,-0.035261,-0.029278,-0.035942,0.00169,20863
MEPS,2015,-0.029293,0.001393,-21.034941,0,-0.032039,-0.026547,-0.032263,0.001534,21292
MEPS,2016,-0.026587,0.001609,-16.522138,0,-0.029760000000000002,-0.023414,-0.029622,0.001793,21340
MEPS,2017,-0.030527,0.001521,-20.0667,0,-0.03352,-0.027535,-0.031733,0.001581,20164
MEPS,2018,-0.034234,0.001705,-20.083063,0,-0.037605,-0.030864,-0.035159,0.001751,18998
MEPS,2019,-0.024764,0.004654,-5.321016,0,-0.03395,-0.015579,-0.025836,0.004856,17283
MEPS,2020,-0.029796,0.002073,-14.372144,0,-0.033888,-0.025705,-0.030507,0.002123,13880
MEPS,2021,-0.024645,0.002633,-9.359377,0,-0.029828,-0.019462,-0.025309,0.002704,14940
MEPS,2022,-0.027436,0.002274,-12.067571,0,-0.031914,-0.022959,-0.028625,0.002372,10814
MEPS,2023,-0.021043,0.002421,-8.693455,0,-0.025825,-0.016262,-0.021176,0.002436,9612
