survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
NHIS,1983,-0.046225,0.001041,-44.38743,0,-0.048283,-0.044167,-0.049959,0.001126,37650
NHIS,1984,-0.023028,0.002404,-9.579673,0,-0.027778,-0.018278,-0.046849,0.00489,16078
NHIS,1985,-0.045921,0.001125,-40.806294,0,-0.048149,-0.043694,-0.04674,0.001145,33528
NHIS,1987,-0.045096,0.00093000000000000005,-48.474498,0,-0.046932,-0.043261,-0.045276,9.34e-4,43962
NHIS,1988,-0.044602,0.001001,-44.554168,0,-0.046577,-0.042627,-0.043466,9.76e-4,43662
NHIS,1989,-0.042199,0.001011,-41.755849,0,-0.044193,-0.040205,-0.041092,9.84e-4,42258
NHIS,1990,-0.042123,9.44e-4,-44.628868,0,-0.043985,-0.040261,-0.039202,8.78e-4,40999
NHIS,1991,-0.040839,9.57e-4,-42.687119,0,-0.042726,-0.038951,-0.040642,9.52e-4,43635
NHIS,1992,-0.038432,0.001276,-30.116839,0,-0.04095,-0.035915,-0.040157,0.001333,24000
NHIS,1993,-0.039667,8.53e-4,-46.504946,0,-0.04135,-0.037985,-0.04259,9.16e-4,44244
NHIS,1997,-0.04226,0.001074,-39.362757,0,-0.044372,-0.040149,-0.040181,0.001021,36081
NHIS,1998,-0.042984,0.001035,-41.517704,0,-0.04502,-0.040948,-0.040763,9.82e-4,32410
NHIS,1999,-0.042625,0.00116,-36.731488,0,-0.044907999999999997,-0.040343,-0.039532,0.001076,30763
NHIS,2000,-0.042121,0.001078,-39.086738,0,-0.044241,-0.040002,-0.040443,0.001035,32342
NHIS,2001,-0.042344,0.001141,-37.122745,0,-0.044588,-0.0401,-0.041394,0.001115,33285
NHIS,2002,-0.042846,0.0012,-35.695968,0,-0.045207,-0.040485,-0.042743,0.001197,31003
NHIS,2003,-0.040202,0.001137,-35.370763,0,-0.042438,-0.037967,-0.040654,0.001149,30815
NHIS,2004,-0.04051,0.001045,-38.78025,0,-0.042564,-0.038455,-0.040988,0.001057,31304
NHIS,2005,-0.04119,0.001114,-36.977334,0,-0.043381,-0.038999,-0.041709,0.001128,31413
NHIS,2006,-0.038386,0.001347,-28.491839,0,-0.041038,-0.035735,-0.039219,0.001376,24257
NHIS,2007,-0.038986,0.001418,-27.488555,0,-0.041777,-0.036195,-0.042341,0.00154,23378
NHIS,2008,-0.037335,0.001388,-26.899328,0,-0.040066,-0.034603,-0.040306,0.001498,21767
NHIS,2009,-0.035977,0.00128,-28.114862,0,-0.038496,-0.033459,-0.038657,0.001375,27721
NHIS,2010,-0.03484,0.001091,-31.941326,0,-0.036986,-0.032693,-0.036948,0.001157,27141
NHIS,2011,-0.033786,0.001159,-29.154715,0,-0.036067,-0.031505,-0.037341,0.001281,32997
NHIS,2012,-0.031236,0.001165,-26.805207,0,-0.033529,-0.028943,-0.03391,0.001265,34507
NHIS,2013,-0.03491,0.001152,-30.291606,0,-0.037178,-0.032642,-0.038635,0.001275,34542
NHIS,2014,-0.032395,0.001131,-28.647372,0,-0.03462,-0.030169,-0.034318,0.001198,36674
NHIS,2015,-0.032148,0.001174,-27.37738,0,-0.034459,-0.029837,-0.034738,0.001269,33661
NHIS,2016,-0.030992,0.001247,-24.848549,0,-0.033441,-0.028542,-0.033627,0.001353,33016
NHIS,2017,-0.034692,0.00133,-26.080465,0,-0.037306,-0.032078,-0.036868,0.001414,26734
NHIS,2018,-0.034902,0.001327,-26.291824,0,-0.03751,-0.032293,-0.036936,0.001405,25408
NHIS,2019,-0.030921,0.001149,-26.91386,0,-0.033177,-0.028664,-0.038373,0.001426,31896
NHIS,2020,-0.032989,0.001221,-27.008493,0,-0.035388,-0.03059,-0.037669,0.001395,31478
NHIS,2021,-0.033147,0.001183,-28.020492,0,-0.03547,-0.030824,-0.037182,0.001327,29383
NHIS,2022,-0.030569,0.001221,-25.037204,0,-0.032967,-0.028171,-0.036495,0.001458,27581
NHIS,2023,-0.028769,0.001086,-26.489875,0,-0.030902,-0.026636,-0.035609,0.001344,29437
NHIS,2024,-0.029046,0.001127,-25.777171,0,-0.031259,-0.026833,-0.035348,0.001371,32562
