age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1993,0.936813,0.00281,0.931305,0.942321
18-29,1994,0.93301,0.002858,0.927409,0.938611
18-29,1995,0.926536,0.0031580000000000002,0.920347,0.932725
18-29,1996,0.920655,0.002962,0.914849,0.926461
18-29,1997,0.925655,0.002871,0.920027,0.931283
18-29,1998,0.924927,0.002696,0.919643,0.930212
18-29,1999,0.923088,0.002861,0.917481,0.928696
18-29,2000,0.917453,0.002938,0.911694,0.923212
18-29,2001,0.922265,0.002537,0.917294,0.927237
18-29,2002,0.918431,0.002748,0.913044,0.923818
18-29,2003,0.915813,0.002876,0.910176,0.921451
18-29,2004,0.909636,0.003366,0.903038,0.916234
18-29,2005,0.903253,0.00318,0.89702,0.909487
18-29,2006,0.903699,0.003649,0.896548,0.910851
18-29,2007,0.900468,0.003776,0.893068,0.907868
18-29,2008,0.90936,0.003028,0.903425,0.915295
18-29,2009,0.903784,0.003399,0.897122,0.910446
18-29,2010,0.913138,0.002974,0.90731,0.918966
18-29,2011,0.903864,0.002505,0.898955,0.908772
18-29,2012,0.90713,0.00256,0.902113,0.912147
18-29,2013,0.902273,0.002395,0.897578,0.906967
18-29,2014,0.910654,0.002306,0.906133,0.915174
18-29,2015,0.907155,0.002465,0.902323,0.911986
18-29,2016,0.910572,0.002184,0.906291,0.914853
18-29,2017,0.895669,0.002559,0.890653,0.900684
18-29,2018,0.896308,0.002426,0.891552,0.901064
18-29,2019,0.893102,0.002599,0.888008,0.898197
18-29,2020,0.92452,0.002494,0.919631,0.929409
18-29,2021,0.909772,0.002473,0.904926,0.914619
18-29,2022,0.883664,0.002803,0.878171,0.889157
18-29,2023,0.872042,0.00293,0.866299,0.877784
18-29,2024,0.869271,0.002783,0.863816,0.874726
18-29,2025,0.862645,0.013323,0.836532,0.888757
30-39,1993,0.927848,0.002491,0.922965,0.932731
30-39,1994,0.926214,0.002629,0.921061,0.931368
30-39,1995,0.926917,0.002716,0.921595,0.93224
30-39,1996,0.919404,0.002727,0.914059,0.924749
30-39,1997,0.91377,0.002716,0.908446,0.919093
30-39,1998,0.917826,0.002583,0.912763,0.922889
30-39,1999,0.908594,0.002876,0.902957,0.914232
30-39,2000,0.905179,0.002857,0.899579,0.910778
30-39,2001,0.905006,0.002909,0.899305,0.910706
30-39,2002,0.903722,0.002662,0.898506,0.908939
30-39,2003,0.903106,0.002545,0.898119,0.908093
30-39,2004,0.900603,0.002665,0.89538,0.905827
30-39,2005,0.891284,0.002816,0.885764,0.896804
30-39,2006,0.894804,0.003037,0.888852,0.900757
30-39,2007,0.891656,0.003046,0.885686,0.897626
30-39,2008,0.896398,0.002512,0.891476,0.901321
30-39,2009,0.901985,0.002499,0.897086,0.906884
30-39,2010,0.896249,0.002475,0.891398,0.901101
30-39,2011,0.873804,0.002725,0.868463,0.879144
30-39,2012,0.869861,0.002964,0.864052,0.87567
30-39,2013,0.875645,0.002678,0.870396,0.880893
30-39,2014,0.86776,0.002997,0.861887,0.873634
30-39,2015,0.880675,0.002709,0.875364,0.885985
30-39,2016,0.871349,0.00269,0.866077,0.876621
30-39,2017,0.866908,0.002938,0.861149,0.872666
30-39,2018,0.868401,0.002874,0.862768,0.874035
30-39,2019,0.86284,0.002868,0.85722,0.868461
30-39,2020,0.909225,0.002505,0.904315,0.914136
30-39,2021,0.890581,0.002823,0.885048,0.896113
30-39,2022,0.871893,0.002869,0.86627,0.877516
30-39,2023,0.854474,0.003252,0.8481,0.860848
30-39,2024,0.849965,0.00315,0.843792,0.856139
30-39,2025,0.854157,0.012104,0.830434,0.877881
40-49,1993,0.895507,0.003308,0.889023,0.901991
40-49,1994,0.887908,0.003534,0.880983,0.894834
40-49,1995,0.886435,0.005204,0.876235,0.896634
40-49,1996,0.884646,0.003206,0.878363,0.890929
40-49,1997,0.883727,0.003121,0.877609,0.889844
40-49,1998,0.877853,0.003207,0.871566,0.884139
40-49,1999,0.877838,0.003097,0.871768,0.883908
40-49,2000,0.869519,0.003661,0.862344,0.876694
40-49,2001,0.861081,0.003225,0.854761,0.867402
40-49,2002,0.857698,0.003058,0.851706,0.863691
40-49,2003,0.85829,0.003018,0.852374,0.864205
40-49,2004,0.850064,0.00301,0.844165,0.855964
40-49,2005,0.857113,0.002892,0.851445,0.86278
40-49,2006,0.861875,0.002949,0.856095,0.867655
40-49,2007,0.857809,0.00267,0.852575,0.863043
40-49,2008,0.856051,0.002527,0.851099,0.861003
40-49,2009,0.858221,0.002518,0.853286,0.863156
40-49,2010,0.86405,0.002271,0.859598,0.868501
40-49,2011,0.833661,0.002672,0.828423,0.838899
40-49,2012,0.825986,0.00295,0.820204,0.831768
40-49,2013,0.826508,0.003003,0.820622,0.832393
40-49,2014,0.826175,0.003103,0.820094,0.832256
40-49,2015,0.829333,0.003027,0.8234,0.835266
40-49,2016,0.826061,0.00298,0.82022,0.831901
40-49,2017,0.819473,0.003489,0.812635,0.82631
40-49,2018,0.830791,0.003285,0.824352,0.83723
40-49,2019,0.821953,0.003364,0.81536,0.828546
40-49,2020,0.86999,0.003305,0.863512,0.876467
40-49,2021,0.851197,0.003496,0.844346,0.858048
40-49,2022,0.836643,0.003175,0.83042,0.842865
40-49,2023,0.826615,0.003799,0.819168,0.834062
40-49,2024,0.818849,0.003544,0.811904,0.825795
40-49,2025,0.812647,0.014606,0.784021,0.841274
50-59,1993,0.837679,0.004885,0.828104,0.847254
50-59,1994,0.826001,0.005111,0.815984,0.836018
50-59,1995,0.833183,0.005094,0.823198,0.843167
50-59,1996,0.818777,0.004655,0.809653,0.827901
50-59,1997,0.825511,0.004291,0.817101,0.833921
50-59,1998,0.811756,0.004471,0.802994,0.820518
50-59,1999,0.816086,0.004363,0.807534,0.824638
50-59,2000,0.811441,0.00416,0.803287,0.819594
50-59,2001,0.805975,0.003842,0.798445,0.813504
50-59,2002,0.80664,0.003702,0.799385,0.813895
50-59,2003,0.802418,0.003557,0.795446,0.809389
50-59,2004,0.802081,0.003527,0.795168,0.808994
50-59,2005,0.797203,0.003106,0.791115,0.803291
50-59,2006,0.803823,0.003257,0.79744,0.810207
50-59,2007,0.803015,0.00279,0.797546,0.808483
50-59,2008,0.801346,0.002722,0.796011,0.806681
50-59,2009,0.806837,0.002417,0.802099,0.811574
50-59,2010,0.802899,0.002334,0.798325,0.807473
50-59,2011,0.777174,0.002609,0.77206,0.782288
50-59,2012,0.777644,0.002829,0.7721,0.783189
50-59,2013,0.77318,0.00287,0.767555,0.778806
50-59,2014,0.77623,0.002797,0.770748,0.781712
50-59,2015,0.77678,0.002909,0.771078,0.782482
50-59,2016,0.775806,0.002896,0.770129,0.781483
50-59,2017,0.765694,0.00329,0.759245,0.772143
50-59,2018,0.767461,0.0036,0.760405,0.774517
50-59,2019,0.769462,0.003165,0.763259,0.775666
50-59,2020,0.819308,0.003778,0.811904,0.826712
