age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1996,0.956617,0.001605,0.953471,0.959762
18-29,1997,0.95523,0.001619,0.952056,0.958404
18-29,1998,0.953873,0.001673,0.950595,0.957151
18-29,1999,0.957266,0.001613,0.954105,0.960427
18-29,2000,0.954701,0.001641,0.951484,0.957917
18-29,2001,0.955901,0.001367,0.953222,0.95858
18-29,2002,0.956303,0.001352,0.953654,0.958952
18-29,2003,0.956748,0.001344,0.954115,0.959381
18-29,2004,0.952931,0.001465,0.950059,0.955803
18-29,2005,0.953735,0.001388,0.951014,0.956456
18-29,2006,0.955269,0.001397,0.952531,0.958007
18-29,2007,0.951953,0.001473,0.949065,0.95484
18-29,2008,0.953617,0.001439,0.950798,0.956437
18-29,2009,0.950102,0.001462,0.947235,0.952968
18-29,2010,0.953267,0.001373,0.950577,0.955958
18-29,2011,0.952423,0.001422,0.949636,0.95521
18-29,2012,0.951225,0.001468,0.948348,0.954103
18-29,2013,0.952977,0.001448,0.950139,0.955815
18-29,2014,0.952728,0.001664,0.949466,0.95599
18-29,2015,0.955817,0.001401,0.95307,0.958564
18-29,2016,0.958078,0.001429,0.955277,0.96088
18-29,2017,0.957862,0.001455,0.955011,0.960714
18-29,2018,0.958272,0.001491,0.95535,0.961193
18-29,2019,0.942366,0.001735,0.938965,0.945766
18-29,2020,0.948009,0.001801,0.944479,0.951539
18-29,2021,0.944616,0.00178,0.941127,0.948105
18-29,2022,0.940127,0.001957,0.936292,0.943962
18-29,2023,0.944463,0.001896,0.940748,0.948179
18-29,2024,0.942298,0.001965,0.938446,0.94615
18-29,2025,0.941802,0.001965,0.93795,0.945654
30-39,1996,0.926244,0.002067,0.922193,0.930295
30-39,1997,0.924502,0.002079,0.920428,0.928576
30-39,1998,0.925776,0.002139,0.921584,0.929968
30-39,1999,0.92834,0.002134,0.924159,0.932522
30-39,2000,0.933467,0.002001,0.929546,0.937389
30-39,2001,0.933305,0.001654,0.930064,0.936546
30-39,2002,0.928586,0.001688,0.925277,0.931895
30-39,2003,0.932621,0.001699,0.929292,0.93595
30-39,2004,0.927317,0.001809,0.923772,0.930862
30-39,2005,0.926541,0.001835,0.922946,0.930137
30-39,2006,0.930958,0.001803,0.927424,0.934492
30-39,2007,0.932104,0.00182,0.928537,0.93567
30-39,2008,0.93107,0.001837,0.927469,0.934671
30-39,2009,0.924254,0.0019,0.92053,0.927978
30-39,2010,0.923827,0.001882,0.920139,0.927515
30-39,2011,0.924432,0.001883,0.920742,0.928123
30-39,2012,0.923389,0.001964,0.919539,0.927238
30-39,2013,0.925577,0.001877,0.921898,0.929256
30-39,2014,0.929821,0.002068,0.925768,0.933873
30-39,2015,0.927939,0.001867,0.924279,0.931599
30-39,2016,0.93153,0.001874,0.927857,0.935204
30-39,2017,0.930871,0.001846,0.927253,0.934489
30-39,2018,0.932458,0.001899,0.928736,0.936179
30-39,2019,0.928594,0.001957,0.924758,0.93243
30-39,2020,0.935323,0.002084,0.931237,0.939408
30-39,2021,0.926606,0.002075,0.922539,0.930673
30-39,2022,0.923899,0.002244,0.9195,0.928297
30-39,2023,0.92668,0.002247,0.922276,0.931084
30-39,2024,0.922527,0.002253,0.918111,0.926942
30-39,2025,0.926642,0.002268,0.922197,0.931086
40-49,1996,0.890721,0.002614,0.885598,0.895844
40-49,1997,0.875503,0.002757,0.870098,0.880907
40-49,1998,0.886444,0.002571,0.881406,0.891482
40-49,1999,0.889724,0.002496,0.884832,0.894616
40-49,2000,0.89012,0.002496,0.885228,0.895013
40-49,2001,0.89391,0.002009,0.889973,0.897848
40-49,2002,0.885026,0.002084,0.880942,0.889109
40-49,2003,0.887845,0.002056,0.883815,0.891875
40-49,2004,0.886749,0.002122,0.882589,0.890909
40-49,2005,0.887138,0.00213,0.882964,0.891312
40-49,2006,0.886422,0.002149,0.882209,0.890634
40-49,2007,0.886704,0.002197,0.882397,0.89101
40-49,2008,0.883577,0.002194,0.879277,0.887876
40-49,2009,0.876665,0.002281,0.872195,0.881136
40-49,2010,0.879358,0.002238,0.874972,0.883744
40-49,2011,0.880141,0.002266,0.8757,0.884582
40-49,2012,0.878834,0.002342,0.874244,0.883423
40-49,2013,0.884541,0.002261,0.88011,0.888973
40-49,2014,0.886072,0.002537,0.8811,0.891045
40-49,2015,0.887529,0.002311,0.883,0.892059
40-49,2016,0.882816,0.002457,0.878,0.887633
40-49,2017,0.89266,0.002367,0.888022,0.897299
40-49,2018,0.893617,0.002401,0.888912,0.898323
40-49,2019,0.892262,0.00246,0.887441,0.897083
40-49,2020,0.902874,0.002605,0.897769,0.907979
40-49,2021,0.895946,0.002537,0.890974,0.900918
40-49,2022,0.896044,0.002578,0.890991,0.901097
40-49,2023,0.904788,0.002554,0.899783,0.909793
40-49,2024,0.901689,0.002563,0.896667,0.906712
40-49,2025,0.898208,0.002687,0.892942,0.903474
50-59,1996,0.813413,0.003968,0.805636,0.821189
50-59,1997,0.820859,0.003813,0.813385,0.828332
50-59,1998,0.827934,0.003648,0.820783,0.835084
50-59,1999,0.824363,0.003591,0.817325,0.831401
50-59,2000,0.824818,0.003514,0.817931,0.831705
50-59,2001,0.823332,0.003055,0.817343,0.82932
50-59,2002,0.823863,0.003029,0.817927,0.829799
50-59,2003,0.830872,0.002899,0.825191,0.836554
50-59,2004,0.827216,0.002899,0.821535,0.832897
50-59,2005,0.824328,0.002916,0.818613,0.830044
50-59,2006,0.818975,0.002913,0.813266,0.824684
50-59,2007,0.823155,0.002859,0.817551,0.82876
50-59,2008,0.827348,0.002807,0.821846,0.83285
50-59,2009,0.818496,0.002837,0.812936,0.824056
50-59,2010,0.813718,0.002811,0.808209,0.819226
