age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1972,0.897254,0.015899,0.86609100000000006,0.928416
18-29,1973,0.84027,0.02067,0.799758,0.880782
18-29,1974,0.887359,0.016655,0.854716,0.920003
18-29,1975,0.839912,0.019794,0.801116,0.878708
18-29,1976,0.881345,0.017915,0.846232,0.916459
18-29,1977,0.845105,0.020958,0.804026,0.886184
18-29,1980,0.880256,0.017444,0.846065,0.914447
18-29,1982,0.839233,0.018027,0.8039,0.874566
18-29,1984,0.873786,0.016719,0.841017,0.906554
18-29,1985,0.874826,0.019047,0.837494,0.912159
18-29,1987,0.901492,0.016238,0.869665,0.933318
18-29,1988,0.84739,0.027277,0.793928,0.900853
18-29,1989,0.894958,0.023444,0.849007,0.940909
18-29,1990,0.859739,0.028511,0.803859,0.91562
18-29,1991,0.86937,0.024767,0.82082599999999994,0.917913
18-29,1993,0.873334,0.025041,0.824254,0.922414
18-29,1994,0.853175,0.021262,0.811501,0.894848
18-29,1996,0.841499,0.018701,0.804845,0.878153
18-29,1998,0.861624,0.015978,0.830307,0.892941
18-29,2000,0.859531,0.017755,0.824731,0.894332
18-29,2002,0.817952,0.021921,0.774986,0.860917
18-29,2004,0.834708,0.029441,0.777003,0.892413
18-29,2006,0.843365,0.017344,0.80937,0.87736
18-29,2008,0.79404,0.03125,0.73279,0.85529
18-29,2010,0.800661,0.030484,0.740912,0.86041
18-29,2012,0.804957,0.031607,0.74300600000000006,0.866907
18-29,2014,0.768232,0.027503,0.714325,0.822138
18-29,2016,0.761752,0.028704,0.705492,0.818013
18-29,2018,0.789804,0.025037,0.740732,0.838877
18-29,2021,0.777901,0.026145,0.726657,0.829145
18-29,2022,0.807925,0.024775,0.759366,0.856484
18-29,2024,0.792974,0.023745,0.746433,0.839515
30-39,1972,0.862255,0.022391,0.818367,0.906142
30-39,1973,0.797276,0.024627,0.749007,0.845544
30-39,1974,0.826056,0.02328,0.780427,0.871685
30-39,1975,0.790911,0.027928,0.736171,0.84565
30-39,1976,0.856671,0.020882,0.815742,0.897599
30-39,1977,0.854054,0.021429,0.812052,0.896056
30-39,1980,0.839864,0.021633,0.797462,0.882265
30-39,1982,0.835632,0.020543,0.795367,0.875897
30-39,1984,0.866445,0.019892,0.827456,0.905433
30-39,1985,0.86098,0.019761,0.822249,0.899712
