age_group,year,prevalence,se,ci_lower,ci_upper
18-29,2000,0.944273,0.004817,0.93483,0.953715
18-29,2001,0.931844,0.00443,0.92316,0.940528
18-29,2002,0.938639,0.003642,0.9315,0.945778
18-29,2003,0.946109,0.004299,0.937681,0.954536
18-29,2004,0.935809,0.004428,0.927128,0.944489
18-29,2005,0.940134,0.004261,0.931782,0.948487
18-29,2006,0.946023,0.004393,0.93741,0.954635
18-29,2007,0.943631,0.003685,0.936406,0.950856
18-29,2008,0.942836,0.004432,0.934148,0.951524
18-29,2009,0.936101,0.004405,0.927466,0.944736
18-29,2010,0.947612,0.004136,0.939504,0.955721
18-29,2011,0.945237,0.003629,0.938123,0.952351
18-29,2012,0.940431,0.003745,0.933088,0.947773
18-29,2013,0.944192,0.003836,0.936671,0.951712
18-29,2014,0.950324,0.003485,0.943491,0.957156
18-29,2015,0.943346,0.004667,0.934196,0.952495
18-29,2016,0.939898,0.004392,0.931287,0.948508
18-29,2017,0.9472,0.004259,0.93885,0.95555
18-29,2018,0.948707,0.00485,0.939199,0.958215
18-29,2019,0.938053,0.005873,0.92654,0.949567
18-29,2020,0.943052,0.007607,0.928139,0.957965
18-29,2021,0.939267,0.006712,0.926109,0.952425
18-29,2022,0.942651,0.008128,0.926716,0.958585
18-29,2023,0.915946,0.010685,0.894999,0.936893
30-39,2000,0.91326,0.005953,0.90159,0.92493
30-39,2001,0.920385,0.005389,0.90982,0.93095
30-39,2002,0.925402,0.004386,0.916803,0.934
30-39,2003,0.930276,0.004794,0.920878,0.939674
30-39,2004,0.918799,0.004898,0.909198,0.928401
30-39,2005,0.917073,0.005401,0.906485,0.927661
30-39,2006,0.927791,0.004851,0.918282,0.9373
30-39,2007,0.931669,0.004786,0.922287,0.941052
30-39,2008,0.920921,0.00547,0.910198,0.931644
30-39,2009,0.917961,0.004971,0.908216,0.927706
30-39,2010,0.910923,0.005679,0.899791,0.922056
30-39,2011,0.905234,0.005859,0.893747,0.91672
30-39,2012,0.897537,0.005567,0.886623,0.908451
30-39,2013,0.907565,0.006419,0.894981,0.920149
30-39,2014,0.923437,0.005119,0.913402,0.933472
30-39,2015,0.92578,0.005306,0.915378,0.936182
30-39,2016,0.917564,0.005755,0.906281,0.928847
30-39,2017,0.924041,0.00552,0.913221,0.934862
30-39,2018,0.938245,0.004941,0.92856,0.947931
30-39,2019,0.934049,0.005557,0.923155,0.944943
30-39,2020,0.943069,0.005868,0.931565,0.954573
30-39,2021,0.92281,0.008128,0.906875,0.938745
30-39,2022,0.919133,0.010229,0.89908,0.939186
30-39,2023,0.932868,0.009036,0.915153,0.950582
40-49,2000,0.873875,0.007876,0.858436,0.889315
40-49,2001,0.875623,0.006152,0.863564,0.887682
40-49,2002,0.867581,0.005897,0.856021,0.879141
40-49,2003,0.881901,0.005918,0.8703,0.893501
40-49,2004,0.875113,0.005842,0.86366,0.886565
40-49,2005,0.870116,0.006583,0.85721,0.883022
40-49,2006,0.87163,0.005692,0.860472,0.882788
