age_group,year,prevalence,se,ci_lower,ci_upper
18-29,2001.5,0.873917,0.012751,0.848706,0.899128
18-29,2003.5,0.913394,0.008409,0.896769,0.93002
18-29,2005.5,0.882852,0.012199,0.858733,0.906971
18-29,2007.5,0.900284,0.01417,0.872268,0.9283
18-29,2009.5,0.858641,0.013592,0.831766,0.885515
18-29,2011.5,0.904688,0.014384,0.876248,0.933129
18-29,2013.5,0.868334,0.011194,0.846202,0.890466
18-29,2015.5,0.868706,0.015366,0.838325,0.899087
18-29,2017.5,0.847667,0.017822,0.812429,0.882905
30-39,2001.5,0.875439,0.010933,0.853823,0.897055
30-39,2003.5,0.869857,0.011763,0.8466,0.893114
30-39,2005.5,0.881319,0.013769,0.854095,0.908543
30-39,2007.5,0.878087,0.013151,0.852084,0.904089
30-39,2009.5,0.862088,0.010313,0.841698,0.882478
30-39,2011.5,0.85938,0.015357,0.829017,0.889743
30-39,2013.5,0.834941,0.018199,0.798958,0.870924
30-39,2015.5,0.823959,0.017945,0.788479,0.859438
30-39,2017.5,0.830657,0.010405,0.810084,0.851229
40-49,2001.5,0.861283,0.018609,0.82449,0.898076
40-49,2003.5,0.83569,0.016019,0.804018,0.867362
40-49,2005.5,0.830138,0.01721,0.796111,0.864166
40-49,2007.5,0.835637,0.014687,0.806598,0.864675
40-49,2009.5,0.810704,0.015505,0.780048,0.841361
40-49,2011.5,0.840833,0.018616,0.804025,0.87764
40-49,2013.5,0.803594,0.021063,0.761948,0.845239
40-49,2015.5,0.8268,0.024165,0.779023,0.874578
40-49,2017.5,0.756886,0.026074,0.705334,0.808439
50-59,2001.5,0.837908,0.012332,0.813525,0.862292
50-59,2003.5,0.773354,0.02573,0.722482,0.824227
50-59,2005.5,0.812537,0.023412,0.766247,0.858827
50-59,2007.5,0.805231,0.025452,0.754908,0.855554
50-59,2009.5,0.794818,0.020527,0.754232,0.835404
50-59,2011.5,0.7905,0.019458,0.752028,0.828971
50-59,2013.5,0.78332,0.029344,0.725302,0.841338
50-59,2015.5,0.78307,0.026621,0.730436,0.835705
50-59,2017.5,0.814453,0.020029,0.774853,0.854054
60-69,2001.5,0.776924,0.020357,0.736675,0.817173
60-69,2003.5,0.793202,0.026415,0.740976,0.845429
60-69,2005.5,0.811221,0.018837,0.773977,0.848464
60-69,2007.5,0.792723,0.028364,0.736643,0.848803
60-69,2009.5,0.802153,0.015894,0.770728,0.833578
60-69,2011.5,0.837388,0.013497,0.810701,0.864075
60-69,2013.5,0.764736,0.02958,0.706251,0.823221
60-69,2015.5,0.807326,0.021398,0.765019,0.849634
60-69,2017.5,0.817845,0.027418,0.763634,0.872056
70-79,2001.5,0.774759,0.021165,0.732911,0.816607
70-79,2003.5,0.710909,0.031036,0.649546,0.772273
70-79,2005.5,0.77483900000000006,0.020806,0.733702,0.815976
70-79,2007.5,0.735919,0.01803,0.700272,0.771567
70-79,2009.5,0.801061,0.014877,0.771648,0.830475
70-79,2011.5,0.774505,0.022306,0.730402,0.818607
70-79,2013.5,0.768016,0.025484,0.717629,0.818404
70-79,2015.5,0.806702,0.028561,0.750233,0.863172
70-79,2017.5,0.7675,0.026974,0.714168,0.820832
80-89,2001.5,0.675335,0.028974,0.618049,0.732622
80-89,2003.5,0.742783,0.02911,0.685227,0.800339
80-89,2005.5,0.724316,0.025303,0.674288,0.774345
80-89,2007.5,0.694211,0.022047,0.65062,0.737802
80-89,2009.5,0.755306,0.020596,0.714584,0.796028
80-89,2011.5,0.7548,0.028055,0.699331,0.81027
80-89,2013.5,0.749352,0.023064,0.703751,0.794952
80-89,2015.5,0.797603,0.032508,0.73333,0.861877
80-89,2017.5,0.796213,0.032348,0.732255,0.860171
