age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1983,0.953554,0.002531,0.94859,0.958517
18-29,1985,0.958725,0.002591,0.953645,0.963805
18-29,1987,0.959036,0.002104,0.95491,0.963161
18-29,1988,0.960046,0.002045,0.956035,0.964056
18-29,1989,0.957089,0.00226,0.952656,0.961521
18-29,1990,0.959508,0.002241,0.955114,0.963902
18-29,1991,0.953801,0.002559,0.948782,0.95882
18-29,1992,0.949159,0.003571,0.942156,0.956161
18-29,1993,0.945515,0.002668,0.940283,0.950748
18-29,1997,0.95905,0.002787,0.953585,0.964514
18-29,1998,0.963052,0.002661,0.957834,0.96827
18-29,1999,0.963731,0.002955,0.957937,0.969525
18-29,2000,0.961563,0.002785,0.956101,0.967025
18-29,2001,0.960515,0.002672,0.955274,0.965755
18-29,2002,0.963401,0.002672,0.958161,0.968641
18-29,2003,0.955887,0.003359,0.9493,0.962474
18-29,2004,0.95869,0.00291,0.952983,0.964396
18-29,2005,0.963068,0.002852,0.957474,0.968661
18-29,2006,0.953255,0.003725,0.945951,0.960559
18-29,2007,0.959444,0.003969,0.951661,0.967227
18-29,2008,0.954068,0.004188,0.945854,0.962281
18-29,2009,0.956341,0.003481,0.949515,0.963167
18-29,2010,0.950422,0.003403,0.943749,0.957096
18-29,2011,0.952409,0.003479,0.945586,0.959231
18-29,2012,0.94917,0.003708,0.941899,0.956441
18-29,2013,0.956595,0.003346,0.950034,0.963156
18-29,2014,0.952735,0.003474,0.945922,0.959548
18-29,2015,0.951385,0.003645,0.944238,0.958532
18-29,2016,0.952136,0.004154,0.94399,0.960282
18-29,2017,0.9537,0.004144,0.945574,0.961827
18-29,2018,0.950429,0.004491,0.941622,0.959235
18-29,2019,0.93425,0.004676,0.925081,0.943419
18-29,2020,0.954348,0.004441,0.945639,0.963058
18-29,2021,0.952035,0.004149,0.9439,0.96017
18-29,2022,0.935774,0.00483,0.926303,0.945246
18-29,2023,0.926631,0.004845,0.917131,0.936131
18-29,2024,0.930792,0.004566,0.921838,0.939746
30-39,1983,0.932966,0.003174,0.926743,0.93919
30-39,1985,0.939678,0.002684,0.934416,0.944941
30-39,1987,0.938637,0.002747,0.93325,0.944024
30-39,1988,0.937037,0.002954,0.931244,0.94283
30-39,1989,0.938486,0.002749,0.933095,0.943877
30-39,1990,0.943561,0.002852,0.937969,0.949153
30-39,1991,0.935719,0.002583,0.930654,0.940784
30-39,1992,0.924265,0.003958,0.916504,0.932026
30-39,1993,0.926117,0.003054,0.920128,0.932106
30-39,1997,0.946078,0.002865,0.94046,0.951696
30-39,1998,0.940432,0.00317,0.934216,0.946648
30-39,1999,0.945343,0.003245,0.93898,0.951705
30-39,2000,0.94377,0.003287,0.937325,0.950215
30-39,2001,0.94259,0.003477,0.935771,0.949408
30-39,2002,0.94374,0.003412,0.937048,0.950431
30-39,2003,0.940218,0.003322,0.933703,0.946732
30-39,2004,0.940513,0.003052,0.934528,0.946499
30-39,2005,0.934087,0.003693,0.926845,0.94133
30-39,2006,0.940496,0.004144,0.93237,0.948623
30-39,2007,0.92915,0.004661,0.920011,0.93829
30-39,2008,0.930944,0.004817,0.921498,0.940389
30-39,2009,0.923167,0.004867,0.913623,0.932712
30-39,2010,0.929663,0.003975,0.921869,0.937458
30-39,2011,0.922281,0.00426,0.913927,0.930635
30-39,2012,0.926146,0.003917,0.918464,0.933828
30-39,2013,0.923752,0.004328,0.915265,0.932239
30-39,2014,0.929798,0.004568,0.920839,0.938757
30-39,2015,0.92629,0.004368,0.917725,0.934855
30-39,2016,0.920883,0.005361,0.91037,0.931396
30-39,2017,0.938811,0.004435,0.930114,0.947508
