start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label
1986,1995,10,10,18-29,-0.3744001103531019,0.6877017002050431,0.6547951128759436,0.7222620009910004,1.229941038487785e-50,187890,2156,TRUE,Unadjusted
1986,1995,10,10,30-39,-0.5171759450184671,0.5962018796544475,0.5762036483110875,0.6168941872294224,5.727721459307183e-194,178994,3525,TRUE,Unadjusted
1986,1995,10,10,40-49,-0.521460574275644,0.5936528403814338,0.5791693411196017,0.6084985337995761,0,140894,5988,TRUE,Unadjusted
1986,1995,10,10,50-59,-0.4896702654567229,0.612828431576225,0.6015209541112565,0.6243484686299275,0,99539,10267,TRUE,Unadjusted
1986,1995,10,10,60-69,-0.4240779202736942,0.6543728910075065,0.6457654250576055,0.6630950866521292,0,89561,20809,TRUE,Unadjusted
1986,1995,10,10,70-79,-0.315850830074369,0.7291682120233832,0.7206739019587179,0.737762641300467,0,61211,27492,TRUE,Unadjusted
1986,1995,10,10,80-89,-0.17692653183791035,0.8378413369250419,0.82604360255247,0.8498075691055935,4.699734046353666e-132,23084,16839,TRUE,Unadjusted
1987,1996,10,10,18-29,-0.38024737677829107,0.6836922587029639,0.6502889271912795,0.7188114160720849,4.559060920292601e-50,185903,2158,TRUE,Unadjusted
1987,1996,10,10,30-39,-0.5191980576442606,0.5949975104015952,0.5745996553181365,0.6161194739806908,4.4581508205836027e-187,179211,3527,TRUE,Unadjusted
1987,1996,10,10,40-49,-0.5276817117811389,0.5899711085851352,0.5755239924975003,0.6047808840335794,0,143175,6065,TRUE,Unadjusted
1987,1996,10,10,50-59,-0.4905231077591847,0.6123060083695956,0.6007881557939561,0.6240446724353998,0,99596,10201,TRUE,Unadjusted
1987,1996,10,10,60-69,-0.43322555547860897,0.6484142219294462,0.6397073012877963,0.6572396506245564,0,88722,20451,TRUE,Unadjusted
1987,1996,10,10,70-79,-0.32066378106029286,0.7256671930330975,0.7170555415639233,0.7343822682075886,0,61166,27385,TRUE,Unadjusted
1987,1996,10,10,80-89,-0.18488644326405548,0.8311986667006321,0.8195175830666921,0.8430462479396051,1.3822792636227106e-144,23190,16953,TRUE,Unadjusted
1988,1997,10,10,18-29,-0.3874786773698453,0.6787661071757782,0.6446883228703066,0.7146452198782028,3.3758262457271763e-49,178379,2032,TRUE,Unadjusted
1988,1997,10,10,30-39,-0.533916372151902,0.5863042816824907,0.5659333585946713,0.6074084616125651,1.8821088773433985e-192,175460,3449,TRUE,Unadjusted
1988,1997,10,10,40-49,-0.5399978756649186,0.5827494903278607,0.5684449279379346,0.5974140181165627,0,143316,5977,TRUE,Unadjusted
1988,1997,10,10,50-59,-0.5013183251681501,0.6057315819165964,0.5941614240443167,0.6175270464947173,0,98130,9796,TRUE,Unadjusted
1988,1997,10,10,60-69,-0.44025093623963146,0.6438748292809165,0.6350184145747798,0.6528547617932253,0,85134,19435,TRUE,Unadjusted
1988,1997,10,10,70-79,-0.32330000897208494,0.7237566882935642,0.7150283296765978,0.7325915940793412,0,59975,26723,TRUE,Unadjusted
1988,1997,10,10,80-89,-0.1869519461235766,0.829483595329893,0.8177683037456298,0.8413667193628777,2.483637381945172e-146,23203,17048,TRUE,Unadjusted
1989,1998,10,10,18-29,-0.39098700934473507,0.6763889427177966,0.6415133443646855,0.7131605380461413,1.724775601876593e-47,170337,1945,TRUE,Unadjusted
1989,1998,10,10,30-39,-0.5357418751553291,0.5852349577793123,0.5645252171579584,0.6067044401155943,9.75655125632199e-187,169836,3330,TRUE,Unadjusted
1989,1998,10,10,40-49,-0.550193041189761,0.5768384460519556,0.5625351441426812,0.5915054309197757,0,141735,5890,TRUE,Unadjusted
1989,1998,10,10,50-59,-0.5078576038696512,0.6017834572969473,0.5900910868229987,0.6137075064563615,0,96528,9454,TRUE,Unadjusted
1989,1998,10,10,60-69,-0.45251163955748486,0.6360286690359002,0.6270055574808059,0.6451816303844522,0,80997,18329,TRUE,Unadjusted
1989,1998,10,10,70-79,-0.3312774349467881,0.7180059414653384,0.7091459383780225,0.7269766406032961,0,57996,25690,TRUE,Unadjusted
1989,1998,10,10,80-89,-0.1906380689276716,0.8264316453204853,0.8144808003747998,0.838557844546898,4.1049399784206576e-145,23043,16961,TRUE,Unadjusted
1990,1999,10,10,18-29,-0.41593218499643786,0.6597250082212096,0.6252451402047139,0.6961063085272001,4.3309591137451995e-52,163331,1862,TRUE,Unadjusted
1990,1999,10,10,30-39,-0.5401897005470998,0.5826377151965059,0.5618443003081635,0.6042006779871437,1.3333328920849394e-186,164292,3232,TRUE,Unadjusted
1990,1999,10,10,40-49,-0.5682981771668096,0.5664886822062839,0.5524088339518172,0.5809273989557575,0,140225,5815,TRUE,Unadjusted
1990,1999,10,10,50-59,-0.5233744120009697,0.5925177716948601,0.5807977060341888,0.6044743395621747,0,95421,9146,TRUE,Unadjusted
1990,1999,10,10,60-69,-0.46289600950395776,0.629458086763474,0.6202162491182159,0.6388376369617048,0,77626,17330,TRUE,Unadjusted
1990,1999,10,10,70-79,-0.3407991781779538,0.7112017186911889,0.7021849232060755,0.7203342993464668,0,56318,24715,TRUE,Unadjusted
1990,1999,10,10,80-89,-0.19338040551417432,0.8241683962969599,0.8121245561855628,0.8363908470457576,3.5246625357575914e-146,22887,16866,TRUE,Unadjusted
1991,2000,10,10,18-29,-0.44016121746344766,0.6439325995341146,0.6099175231674452,0.6798446953768302,6.716361262409701e-57,157057,1784,TRUE,Unadjusted
1991,2000,10,10,30-39,-0.5554108926356903,0.5738364275864212,0.5530396206216889,0.5954152891523086,3.9629642118260346e-191,158229,3121,TRUE,Unadjusted
1991,2000,10,10,40-49,-0.5814535982745349,0.5590850904973931,0.5450581574082577,0.5734730031429535,0,138798,5777,TRUE,Unadjusted
1991,2000,10,10,50-59,-0.5297702917664966,0.5887401926164879,0.5769623095672731,0.6007585047662187,0,94547,8904,TRUE,Unadjusted
1991,2000,10,10,60-69,-0.46483476764505116,0.6282389020073575,0.6186696054290148,0.6379562120588055,0,74055,16235,TRUE,Unadjusted
1991,2000,10,10,70-79,-0.349292710465153,0.705186684534565,0.6960566675148805,0.7144364579112675,0,54564,23812,TRUE,Unadjusted
