start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label,strat_var,stratum
1986,1995,10,10,18-29,-0.39562209776358337,0.6732610747350355,0.6348617809929159,0.713982930338711,8.34114606888672e-40,89087,1436,TRUE,Male,sex,Male
1986,1995,10,10,30-39,-0.5224398985889602,0.5930717463073993,0.5679784306168959,0.6192736859498006,5.1054948786417495e-124,84882,2129,TRUE,Male,sex,Male
1986,1995,10,10,40-49,-0.5250518062280782,0.5915247189085074,0.5734816996214883,0.6101354120118081,5.46751367913292e-242,67161,3508,TRUE,Male,sex,Male
1986,1995,10,10,50-59,-0.4829002290272028,0.616991378132811,0.6028528200228142,0.6314615243498723,0,47218,5926,TRUE,Male,sex,Male
1986,1995,10,10,60-69,-0.41907322554697873,0.6576560362816238,0.6465935683527222,0.6689077702389361,0,40451,11494,TRUE,Male,sex,Male
1986,1995,10,10,70-79,-0.33453701254587304,0.715669355592834,0.7038590234107415,0.7276778580641634,0,25310,13428,TRUE,Male,sex,Male
1986,1995,10,10,80-89,-0.19582986758662996,0.8221520975007545,0.8034589973238854,0.8412801072316721,1.5933325826073776e-62,8004,6414,TRUE,Male,sex,Male
1987,1996,10,10,18-29,-0.39180718017221916,0.6758344156734839,0.6367104159736594,0.7173624711482892,6.022921838551484e-38,88187,1434,TRUE,Male,sex,Male
1987,1996,10,10,30-39,-0.5154930116720192,0.5972060924535197,0.5712457992018976,0.624346152500192,2.079146413865154e-114,84990,2115,TRUE,Male,sex,Male
1987,1996,10,10,40-49,-0.5291948290482832,0.5890790881495724,0.5708851783695336,0.6078528314331358,1.079245669195093e-239,68304,3545,TRUE,Male,sex,Male
1987,1996,10,10,50-59,-0.48813703729071556,0.6137687580717728,0.5992602069630838,0.628628572376028,0,47276,5885,TRUE,Male,sex,Male
1987,1996,10,10,60-69,-0.4286695504632523,0.6513751402342172,0.6401122610029238,0.6628361916554634,0,40080,11249,TRUE,Male,sex,Male
1987,1996,10,10,70-79,-0.34227048791875897,0.710156090085205,0.6981920097371658,0.7223251845505331,0,25359,13397,TRUE,Male,sex,Male
1987,1996,10,10,80-89,-0.20381349168966809,0.8156144758802358,0.797047051254149,0.8346144336380905,2.079604439465879e-67,8057,6473,TRUE,Male,sex,Male
1988,1997,10,10,18-29,-0.38501622974488436,0.680439592753972,0.6394968841882924,0.7240035891259589,5.074697871155266e-34,84630,1331,TRUE,Male,sex,Male
1988,1997,10,10,30-39,-0.5285354405864212,0.5894676481953494,0.5635003008699705,0.6166316286477662,5.3924114187457906e-117,83211,2070,TRUE,Male,sex,Male
1988,1997,10,10,40-49,-0.5384445639243556,0.5836553853395292,0.5654812641620219,0.6024136084166178,5.018873655750017e-244,68327,3492,TRUE,Male,sex,Male
1988,1997,10,10,50-59,-0.4993196549086061,0.6069434502738426,0.5923218230804063,0.621926016358019,0,46638,5642,TRUE,Male,sex,Male
1988,1997,10,10,60-69,-0.43509326005071725,0.6472043059570398,0.6356490956037698,0.6589695738518556,0,38562,10626,TRUE,Male,sex,Male
1988,1997,10,10,70-79,-0.3433208923989657,0.7094105305846043,0.697271803664491,0.7217605792453454,0,24976,13093,TRUE,Male,sex,Male
1988,1997,10,10,80-89,-0.19963597956647028,0.8190288420536088,0.8000138031239103,0.8384958378171595,2.68981395692122e-62,8040,6465,TRUE,Male,sex,Male
1989,1998,10,10,18-29,-0.3942432639177156,0.6741900301824154,0.6327520186467607,0.7183417569642124,3.909226918232252e-34,80980,1284,TRUE,Male,sex,Male
1989,1998,10,10,30-39,-0.5279384392327138,0.58981966624646,0.5631530214806911,0.6177490405296767,8.572151328862437e-111,80571,1976,TRUE,Male,sex,Male
1989,1998,10,10,40-49,-0.5446906412169605,0.5800211902374147,0.5616439436347279,0.5989997487504738,4.337817271704108e-241,67579,3416,TRUE,Male,sex,Male
1989,1998,10,10,50-59,-0.504900594923317,0.603565569926874,0.5887046191334678,0.6188016627716695,0,45889,5425,TRUE,Male,sex,Male
1989,1998,10,10,60-69,-0.44369099538346213,0.6416636672316546,0.6297696872850962,0.6537822797094783,0,36824,10004,TRUE,Male,sex,Male
1989,1998,10,10,70-79,-0.35014725442470795,0.7045843289192693,0.692282810487278,0.7171044391658198,0,24307,12607,TRUE,Male,sex,Male
