age_group,model_label,hr,conf_low,conf_high,hr_ci,n,n_events
18-29,Adjusted: Education,0.7432872514498806,0.6870173739044563,0.8041658903443554,"0.743 (0.687, 0.804)",136292,1135
18-29,Adjusted: Race/Ethnicity,0.6973614131185449,0.6458663131741632,0.7529622316368675,"0.697 (0.646, 0.753)",137812,1149
18-29,Adjusted: Sex,0.6879508992860087,0.637771054090163,0.7420788961700355,"0.688 (0.638, 0.742)",137812,1149
18-29,Unadjusted,0.6981618902047202,0.6470522013225636,0.7533086572272364,"0.698 (0.647, 0.753)",137812,1149
30-39,Adjusted: Education,0.5965967376819677,0.5612506169766602,0.6341688661833007,"0.597 (0.561, 0.634)",114627,1594
30-39,Adjusted: Race/Ethnicity,0.5550328633434476,0.523707485699441,0.5882319573488484,"0.555 (0.524, 0.588)",116413,1609
30-39,Adjusted: Sex,0.5504578280234577,0.5195150717549905,0.5832435609783477,"0.550 (0.520, 0.583)",116413,1609
30-39,Unadjusted,0.5573751111928462,0.5261315740467312,0.5904739990944625,"0.557 (0.526, 0.590)",116413,1609
40-49,Adjusted: Education,0.5505604303847377,0.5298828956275811,0.5720448612450927,"0.551 (0.530, 0.572)",119489,3293
40-49,Adjusted: Race/Ethnicity,0.5249645244289672,0.506353947858804,0.5442591157317862,"0.525 (0.506, 0.544)",121671,3337
40-49,Adjusted: Sex,0.5215001283742363,0.5030869866474095,0.5405871968716831,"0.522 (0.503, 0.541)",121671,3337
40-49,Unadjusted,0.524890429896624,0.5064118017355903,0.5440433308481881,"0.525 (0.506, 0.544)",121671,3337
50-59,Adjusted: Education,0.5544924435549806,0.5400926672686526,0.5692761420266346,"0.554 (0.540, 0.569)",111578,6867
50-59,Adjusted: Race/Ethnicity,0.5359931374480659,0.5227384389181444,0.5495839257315603,"0.536 (0.523, 0.550)",113575,6954
50-59,Adjusted: Sex,0.5342001749964858,0.5211817713033629,0.5475437605053374,"0.534 (0.521, 0.548)",113575,6954
50-59,Unadjusted,0.5367793427727169,0.5237104482937311,0.5501743640331319,"0.537 (0.524, 0.550)",113575,6954
60-69,Adjusted: Education,0.5901365652306132,0.5768087908761923,0.603772291842441,"0.590 (0.577, 0.604)",77809,9879
60-69,Adjusted: Race/Ethnicity,0.5647194605300007,0.5525620519624518,0.5771443550433424,"0.565 (0.553, 0.577)",79242,10001
60-69,Adjusted: Sex,0.5706689976583363,0.5586191470434713,0.5829787729474791,"0.571 (0.559, 0.583)",79242,10001
60-69,Unadjusted,0.5720592144733402,0.5599727566351926,0.5844065465439255,"0.572 (0.560, 0.584)",79242,10001
70-79,Adjusted: Education,0.680404673149088,0.6670218829692522,0.6940559688721006,"0.680 (0.667, 0.694)",44209,12760
70-79,Adjusted: Race/Ethnicity,0.6622136815879534,0.6495223669479274,0.6751529776301426,"0.662 (0.650, 0.675)",45134,12944
70-79,Adjusted: Sex,0.6722717958386808,0.6597112463045438,0.6850714915227177,"0.672 (0.660, 0.685)",45134,12944
70-79,Unadjusted,0.6751131556333849,0.6625264555899187,0.687938978230596,"0.675 (0.663, 0.688)",45134,12944
80-89,Adjusted: Education,0.8182516603384818,0.803324902586572,0.8334557754787495,"0.818 (0.803, 0.833)",25558,15050
80-89,Adjusted: Race/Ethnicity,0.8105132631904296,0.7958177870798517,0.8254801042059173,"0.811 (0.796, 0.825)",26357,15380
80-89,Adjusted: Sex,0.826587017231428,0.8121710103304182,0.8412589077484824,"0.827 (0.812, 0.841)",26357,15380
80-89,Unadjusted,0.828436944065149,0.8140111559967602,0.843118383864919,"0.828 (0.814, 0.843)",26357,15380
