age_group,stratum,hr,conf_low,conf_high,hr_ci,n,n_events,start_year,end_year
18-29,< HS,0.8241904218082449,0.7128619145429822,0.9529052366838074,"0.824 (0.713, 0.953)",24204,300,2005,2014
30-39,< HS,0.606301572898865,0.5370945339070683,0.684426249184734,"0.606 (0.537, 0.684)",19064,377,2005,2014
40-49,< HS,0.5906448723191252,0.5462262176415567,0.6386756144792097,"0.591 (0.546, 0.639)",19038,780,2005,2014
50-59,< HS,0.6085115910163549,0.5753311602714547,0.6436055996455081,"0.609 (0.575, 0.644)",16583,1522,2005,2014
60-69,< HS,0.6267341475585639,0.5985588662046973,0.6562356919154382,"0.627 (0.599, 0.656)",13538,2514,2005,2014
70-79,< HS,0.7271644394005142,0.7015834517473818,0.7536781556231131,"0.727 (0.702, 0.754)",11017,3817,2005,2014
80-89,< HS,0.8840755006174129,0.8577271366140514,0.9112332552253368,"0.884 (0.858, 0.911)",7834,4830,2005,2014
18-29,HS/Some college,0.7198948216185872,0.6532708388176575,0.7933134672461819,"0.720 (0.653, 0.793)",88898,750,2005,2014
30-39,HS/Some college,0.6021256003540523,0.5567642542178122,0.6511826789438467,"0.602 (0.557, 0.651)",60587,990,2005,2014
40-49,HS/Some college,0.5526130774912116,0.5274158352128494,0.5790141156665594,"0.553 (0.527, 0.579)",66377,2034,2005,2014
50-59,HS/Some college,0.5435724724581101,0.5263289047104336,0.5613809733227173,"0.544 (0.526, 0.561)",63949,4230,2005,2014
60-69,HS/Some college,0.588162997813205,0.5709377497925145,0.6059079332595073,"0.588 (0.571, 0.606)",42988,5739,2005,2014
70-79,HS/Some college,0.6661914416390097,0.6486287040863111,0.6842297205120379,"0.666 (0.649, 0.684)",24037,6921,2005,2014
80-89,HS/Some college,0.7924432785232548,0.7715865779906298,0.8138637550072972,"0.792 (0.772, 0.814)",13450,7838,2005,2014
18-29,College+,0.6720522394179833,0.5016014258757894,0.9004244988302099,"0.672 (0.502, 0.900)",23190,85,2005,2014
30-39,College+,0.5521825623084837,0.4760776229332456,0.6404535047015131,"0.552 (0.476, 0.640)",34976,227,2005,2014
40-49,College+,0.4891190532124772,0.4381740895747998,0.5459872089826763,"0.489 (0.438, 0.546)",34074,479,2005,2014
50-59,College+,0.5430958457791156,0.5072654357690635,0.5814571167368334,"0.543 (0.507, 0.581)",31046,1115,2005,2014
60-69,College+,0.559391587517412,0.5301806771212523,0.590211906409569,"0.559 (0.530, 0.590)",21283,1626,2005,2014
70-79,College+,0.6528022711059224,0.6208837277859229,0.6863616907479727,"0.653 (0.621, 0.686)",9155,2022,2005,2014
80-89,College+,0.7871835669906085,0.752809398991443,0.82312730017748,"0.787 (0.753, 0.823)",4274,2382,2005,2014
