age_group,stratum,hr,conf_low,conf_high,hr_ci,n,n_events,start_year,end_year
18-29,NH White,0.6681722446535268,0.5990113990816855,0.7453182847768323,"0.668 (0.599, 0.745)",64542,528,2005,2014
30-39,NH White,0.5002551143801138,0.46287801319121447,0.5406503923963236,"0.500 (0.463, 0.541)",57587,773,2005,2014
40-49,NH White,0.4990466382453351,0.4769851769703211,0.5221284835848611,"0.499 (0.477, 0.522)",67642,1877,2005,2014
50-59,NH White,0.5145710975730668,0.4993455071535346,0.5302609328897743,"0.515 (0.499, 0.530)",70862,4266,2005,2014
60-69,NH White,0.5542520497792062,0.5406800909286587,0.5681646871014255,"0.554 (0.541, 0.568)",53506,6852,2005,2014
70-79,NH White,0.6501893656468454,0.6361156106133966,0.6645744958099667,"0.650 (0.636, 0.665)",31776,9496,2005,2014
80-89,NH White,0.8014176605576834,0.7852662316080053,0.8179012936014842,"0.801 (0.785, 0.818)",19776,12129,2005,2014
18-29,NH Black,0.6804999504762539,0.5803675441428592,0.797908475881614,"0.680 (0.580, 0.798)",20378,222,2005,2014
30-39,NH Black,0.6311325816895373,0.5619410452591814,0.7088436394361999,"0.631 (0.562, 0.709)",15906,320,2005,2014
40-49,NH Black,0.5724425079422407,0.5280067035713397,0.6206179252702,"0.572 (0.528, 0.621)",17039,649,2005,2014
50-59,NH Black,0.5945902464714479,0.5613215207294449,0.6298307621264019,"0.595 (0.561, 0.630)",16481,1420,2005,2014
60-69,NH Black,0.6088921316135931,0.5740378134640018,0.645862727585271,"0.609 (0.574, 0.646)",10316,1704,2005,2014
70-79,NH Black,0.7280744300805168,0.6881942956763756,0.7702655762586357,"0.728 (0.688, 0.770)",5465,1731,2005,2014
80-89,NH Black,0.8376296783101409,0.7904563972000573,0.8876181918082138,"0.838 (0.790, 0.888)",2711,1501,2005,2014
18-29,Hispanic,0.827089788783169,0.7116532126258557,0.9612512197974632,"0.827 (0.712, 0.961)",40001,272,2005,2014
30-39,Hispanic,0.7112428146044679,0.6278164111883401,0.8057552053616666,"0.711 (0.628, 0.806)",31980,343,2005,2014
40-49,Hispanic,0.6335441133236454,0.5786758533811975,0.6936148124754046,"0.634 (0.579, 0.694)",26805,566,2005,2014
50-59,Hispanic,0.6349223355059412,0.5857305433079835,0.6882454342360474,"0.635 (0.586, 0.688)",17775,813,2005,2014
60-69,Hispanic,0.6045031340216148,0.5582086413056416,0.6546370156277642,"0.605 (0.558, 0.655)",9772,923,2005,2014
70-79,Hispanic,0.7356124961722528,0.6874226589590763,0.7871805467456768,"0.736 (0.687, 0.787)",4934,1110,2005,2014
80-89,Hispanic,0.9252990122902758,0.8638888355700007,0.9910745768353942,"0.925 (0.864, 0.991)",2267,1017,2005,2014
18-29,NH Asian,0.9150446387565884,0.6701128988373322,1.2495009309176552,"0.915 (0.670, 1.250)",9028,88,2005,2014
30-39,NH Asian,0.784224250946241,0.6117729765371652,1.005287417651785,"0.784 (0.612, 1.005)",8585,130,2005,2014
40-49,NH Asian,0.70261415967722185,0.5680014645504858,0.8691291980551749,"0.703 (0.568, 0.869)",7960,162,2005,2014
50-59,NH Asian,0.6333569952647558,0.5587476090650607,0.7179289484961195,"0.633 (0.559, 0.718)",6496,277,2005,2014
60-69,NH Asian,0.6730778548594439,0.5822702184383894,0.7780473470156136,"0.673 (0.582, 0.778)",4395,304,2005,2014
70-79,NH Asian,0.7158045904267494,0.6422085031178669,0.7978346739235997,"0.716 (0.642, 0.798)",2327,404,2005,2014
80-89,NH Asian,0.8533636364592974,0.7811960407912193,0.9321981397825092,"0.853 (0.781, 0.932)",1321,561,2005,2014
18-29,NH AIAN,0.35549900361300213,0.2023552053140924,0.6245430720384636,"0.355 (0.202, 0.625)",899,11,2005,2014
30-39,NH AIAN,0.3413938176418042,0.2233956078124007,0.521719025120313,"0.341 (0.223, 0.522)",653,21,2005,2014
40-49,NH AIAN,0.4950081785787775,0.3588270714632278,0.6828723815644149,"0.495 (0.359, 0.683)",755,32,2005,2014
50-59,NH AIAN,0.60024078383762,0.481511522401553,0.7482458504524427,"0.600 (0.482, 0.748)",622,61,2005,2014
60-69,NH AIAN,0.6210256384070388,0.4806618448035608,0.8023787361705165,"0.621 (0.481, 0.802)",429,83,2005,2014
70-79,NH AIAN,0.6575409875273288,0.5093209864983026,0.8488952188108113,"0.658 (0.509, 0.849)",209,60,2005,2014
80-89,NH AIAN,0.881805062022423,0.6830759059090472,1.1383510392941685,"0.882 (0.683, 1.138)",87,50,2005,2014
18-29,Other/Multi,0.7370779778518218,0.4898881073861519,1.1089959875386193,"0.737 (0.490, 1.109)",2964,28,2005,2014
30-39,Other/Multi,0.6186971001773569,0.3896021244975791,0.9825051705287838,"0.619 (0.390, 0.983)",1702,22,2005,2014
40-49,Other/Multi,0.41050431501208223,0.32415552496029615,0.519854760038963,"0.411 (0.324, 0.520)",1470,51,2005,2014
50-59,Other/Multi,0.5722785398324025,0.47735506998713534,0.6860778228699506,"0.572 (0.477, 0.686)",1339,117,2005,2014
60-69,Other/Multi,0.5874645909435363,0.4862940358502886,0.709683072729899,"0.587 (0.486, 0.710)",824,135,2005,2014
70-79,Other/Multi,0.6569345781048428,0.5572849002718762,0.7744028946401492,"0.657 (0.557, 0.774)",423,143,2005,2014
80-89,Other/Multi,0.909573015284028,0.7660396065539498,1.0800003851688742,"0.910 (0.766, 1.080)",195,122,2005,2014
