age_group,stratum,hr,conf_low,conf_high,hr_ci,n,n_events,start_year,end_year
18-29,Male,0.7311708117510235,0.6647836637129495,0.8041875652761122,"0.731 (0.665, 0.804)",67073,765,2005,2014
30-39,Male,0.5842504803838441,0.5405418709407676,0.6314933998261116,"0.584 (0.541, 0.631)",55153,924,2005,2014
40-49,Male,0.5306220891439163,0.505364995726292,0.5571414796602737,"0.531 (0.505, 0.557)",57898,1921,2005,2014
50-59,Male,0.5511203382455365,0.533707457551148,0.5691013361917773,"0.551 (0.534, 0.569)",54078,3982,2005,2014
60-69,Male,0.5823441778234911,0.5660488145294934,0.5991086505972146,"0.582 (0.566, 0.599)",37376,5619,2005,2014
70-79,Male,0.6691243439727066,0.6515235004690202,0.6872006725384333,"0.669 (0.652, 0.687)",20239,6595,2005,2014
80-89,Male,0.8100618658105986,0.7878076994506269,0.8329446727902577,"0.810 (0.788, 0.833)",9999,6295,2005,2014
18-29,Female,0.6094468158903666,0.5378999301534068,0.6905102614402227,"0.609 (0.538, 0.691)",70739,384,2005,2014
30-39,Female,0.5060375080450932,0.464336395232444,0.551483713483839,"0.506 (0.464, 0.551)",61260,685,2005,2014
40-49,Female,0.509271997231002,0.4830226576000285,0.5369478286014847,"0.509 (0.483, 0.537)",63773,1416,2005,2014
50-59,Female,0.5118531765236511,0.4924587119470521,0.5320114518463852,"0.512 (0.492, 0.532)",59497,2972,2005,2014
60-69,Female,0.5557953670924034,0.538101347001639,0.5740712075943539,"0.556 (0.538, 0.574)",41866,4382,2005,2014
70-79,Female,0.6758942792480738,0.6581150575297565,0.6941538132177101,"0.676 (0.658, 0.694)",24895,6349,2005,2014
80-89,Female,0.8378979459848053,0.8191219820601706,0.8571042936972277,"0.838 (0.819, 0.857)",16358,9085,2005,2014
