survey,term,covariate,covariate_label,level,reference,age_group,year,coefficient,se,ci_lower,ci_upper,n_unweighted
BRFSS,sexFemale,sex,Sex,Female,Male,18-29,1993,-0.098395,0.020249,-0.138084,-0.058705,20069
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,18-29,1993,-0.191433,0.03286,-0.255841,-0.127024,20069
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,18-29,1993,-0.302202,0.0849,-0.468614,-0.135791,20069
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,18-29,1993,-0.219142,0.055001,-0.326949,-0.111335,20069
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,18-29,1993,-0.210647,0.042086,-0.29314,-0.128155,20069
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,18-29,1993,-0.159029,0.101549,-0.358074,0.040015,20069
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,18-29,1993,0.350363,0.04244,0.267176,0.43355,20069
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,18-29,1993,0.628744,0.044168,0.54217,0.715318,20069
BRFSS,sexFemale,sex,Sex,Female,Male,18-29,1994,-0.069509,0.019703,-0.108128,-0.030889,19925
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,18-29,1994,-0.139683,0.030862,-0.200174,-0.079191,19925
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,18-29,1994,-0.340324,0.091445,-0.519565,-0.161084,19925
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,18-29,1994,-0.125037,0.056546,-0.235871,-0.014203,19925
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,18-29,1994,-0.28924,0.037861,-0.363451,-0.215029,19925
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,18-29,1994,-0.148698,0.169779,-0.481479,0.184084,19925
