survey,term,covariate,covariate_label,level,reference,year,coefficient,se,ci_lower,ci_upper,n_unweighted
BRFSS,age,age,Age,age,NA,1993,-0.014407,2.87e-4,-0.014969,-0.013845,101127
BRFSS,sexFemale,sex,Sex,Female,Male,1993,-0.029361,0.009516,-0.048013,-0.010709,101127
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1993,-0.240466,0.016949,-0.273687,-0.207246,101127
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,1993,-0.207823,0.050155,-0.306127,-0.10952,101127
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,1993,-0.194015,0.036414,-0.265386,-0.122645,101127
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,1993,-0.218459,0.023381,-0.264285,-0.172633,101127
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1993,-0.11917,0.058422,-0.233677,-0.004663,101127
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1993,0.484457,0.01659,0.45194,0.516974,101127
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1993,0.85723,0.017642,0.822653,0.891808,101127
BRFSS,age,age,Age,age,NA,1994,-0.014164,2.87e-4,-0.014727,-0.013601,104687
BRFSS,sexFemale,sex,Sex,Female,Male,1994,-0.007141,0.009658,-0.026071,0.01179,104687
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1994,-0.234451,0.016389,-0.266573,-0.202329,104687
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,1994,-0.232144,0.050787,-0.331686,-0.132603,104687
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,1994,-0.13834,0.035395,-0.207713,-0.068967,104687
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,1994,-0.274412,0.021856,-0.317249,-0.231576,104687
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1994,-0.162708,0.066261,-0.292578,-0.032838,104687
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1994,0.454841,0.015617,0.424232,0.485449,104687
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1994,0.836147,0.016924,0.802977,0.869318,104687
BRFSS,age,age,Age,age,NA,1995,-0.014387,2.92e-4,-0.014959,-0.013814,112639
BRFSS,sexFemale,sex,Sex,Female,Male,1995,-0.028557,0.010659,-0.049448,-0.007666,112639
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1995,-0.254117,0.017684,-0.288778,-0.219456,112639
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,1995,-0.256925,0.052851,-0.360511,-0.153338,112639
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,1995,-0.217797,0.039119,-0.294469,-0.141125,112639
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,1995,-0.260889,0.029137,-0.317998,-0.20378,112639
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1995,-0.041468,0.060078,-0.15922,0.076283,112639
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1995,0.42196,0.016711,0.389207,0.454713,112639
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1995,0.797088,0.020216,0.757464,0.836712,112639
BRFSS,age,age,Age,age,NA,1996,-0.012959,2.6e-4,-0.013468,-0.012449,122736
BRFSS,sexFemale,sex,Sex,Female,Male,1996,-0.007443,0.008898,-0.024883,0.009996,122736
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1996,-0.225038,0.016247,-0.256881,-0.193195,122736
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,1996,-0.16803,0.06136,-0.288294,-0.047766,122736
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,1996,-0.221812,0.034896,-0.290208,-0.153416,122736
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,1996,-0.256043,0.018341,-0.291991,-0.220094,122736
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1996,-0.145704,0.057307,-0.258024,-0.033383,122736
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1996,0.510428,0.01483,0.481361,0.539494,122736
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1996,0.871073,0.015888,0.839934,0.902213,122736
BRFSS,age,age,Age,age,NA,1997,-0.013759,2.52e-4,-0.014253,-0.013264,133821
BRFSS,sexFemale,sex,Sex,Female,Male,1997,-0.029679,0.008514,-0.046366,-0.012991,133821
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1997,-0.225199,0.015085,-0.254765,-0.195632,133821
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,1997,-0.206625,0.051376,-0.307322,-0.105929,133821
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,1997,-0.183188,0.034012,-0.249852,-0.116525,133821
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,1997,-0.313984,0.017463,-0.348212,-0.279757,133821
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1997,-0.189841,0.064392,-0.316048,-0.063635,133821
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1997,0.523652,0.015048,0.494158,0.553145,133821
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1997,0.88041,0.016023,0.849004,0.911815,133821
BRFSS,age,age,Age,age,NA,1998,-0.013407,2.52e-4,-0.013902,-0.012913000000000001,147461
BRFSS,sexFemale,sex,Sex,Female,Male,1998,-0.041224,0.008588,-0.058057,-0.024391,147461
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1998,-0.21814,0.014781,-0.247111,-0.189169,147461
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,1998,-0.245893,0.066166,-0.375578,-0.116209,147461
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,1998,-0.116666,0.033924,-0.183157,-0.050175,147461
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,1998,-0.241022,0.0168,-0.27395,-0.208095,147461
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1998,-0.1785,0.063321,-0.302608,-0.054392,147461
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1998,0.549255,0.014718,0.520409,0.578101,147461
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1998,0.918372,0.015722,0.887557,0.949187,147461
BRFSS,age,age,Age,age,NA,1999,-0.013355,2.52e-4,-0.013848,-0.012862,157706
BRFSS,sexFemale,sex,Sex,Female,Male,1999,-0.015048,0.008545,-0.031796,0.001701,157706
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1999,-0.259226,0.015098,-0.288818,-0.229635,157706
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,1999,-0.244018,0.052596,-0.347104,-0.140931,157706
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,1999,-0.1583,0.033304,-0.223575,-0.093026,157706
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,1999,-0.273007,0.016636,-0.305613,-0.240401,157706
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1999,-0.122147,0.055689,-0.231297,-0.012997,157706
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1999,0.503551,0.015531,0.47311,0.533992,157706
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1999,0.891834,0.016251,0.859982,0.923685,157706
BRFSS,age,age,Age,age,NA,2000,-0.014056,2.4e-4,-0.014527,-0.013586,180907
BRFSS,sexFemale,sex,Sex,Female,Male,2000,-0.02185,0.00823,-0.03798,-0.00572,180907
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2000,-0.205787,0.014386,-0.233982,-0.177591,180907
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,2000,-0.24915,0.042056,-0.331578,-0.166722,180907
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,2000,-0.126142,0.033701,-0.192194,-0.060089,180907
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2000,-0.296609,0.016201,-0.328363,-0.264855,180907
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2000,-0.215073,0.060699,-0.334042,-0.096104,180907
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2000,0.514926,0.01496,0.485606,0.544247,180907
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2000,0.8967,0.015467,0.866386,0.927015,180907
BRFSS,age,age,Age,age,NA,2001,-0.013409,0.001094,-0.015553,-0.011264,18249
BRFSS,sexFemale,sex,Sex,Female,Male,2001,-0.170722,0.030353,-0.230216,-0.111227,18249
BRFSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2001,-0.179415,0.157254,-0.487648,0.128818,18249
BRFSS,race_includehispAIAN,race_includehisp,Race/Ethnicity,AIAN,White,2001,0.190678,0.436108,-0.664135,1.045491,18249
BRFSS,race_includehispAsian,race_includehisp,Race/Ethnicity,Asian,White,2001,0.263893,0.902761,-1.505604,2.03339,18249
BRFSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2001,-0.271538,0.05991,-0.388967,-0.154109,18249
BRFSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2001,0.831287,0.570806,-0.287547,1.950121,18249
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2001,0.59461,0.035772,0.524494,0.664726,18249
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2001,1.012213,0.044013,0.925943,1.098484,18249
BRFSS,age,age,Age,age,NA,2002,-0.01353,2.22e-4,-0.013965,-0.013096,244144
BRFSS,sexFemale,sex,Sex,Female,Male,2002,-0.029063,0.007696,-0.044147,-0.013979,244144
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2002,0.589866,0.014739,0.560977,0.618755,244144
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2002,1.0045790000000001,0.015126,0.974932,1.034227,244144
BRFSS,age,age,Age,age,NA,2003,-0.013257,2.11e-4,-0.013672,-0.012843,261779
BRFSS,sexFemale,sex,Sex,Female,Male,2003,-0.012302,0.007513,-0.027027,0.002424,261779
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2003,0.591473,0.014135,0.563769,0.619176,261779
BRFSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2003,1.024027,0.014507,0.995594,1.05246,261779
BRFSS,age,age,Age,age,NA,2004,-0.013231,2.11e-4,-0.013644,-0.012818,300269
BRFSS,sexFemale,sex,Sex,Female,Male,2004,-0.020849,0.00751,-0.035568,-0.006131,300269
BRFSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2004,0.608469,0.014109,0.580816,0.636122,300269
