"dataset","stratum","slope","se","p_value","is_significant"
"BRFSS","NH-White",0.000287770723006754,1.45540466148189e-05,3.91548923654466e-19,TRUE
"BRFSS","NH-Black",0.0002598399089192,1.8409112663211e-05,4.84004757737296e-15,TRUE
"BRFSS","NH-AIAN",0.000104095445200663,4.83221534558044e-05,0.0391108111731685,TRUE
"BRFSS","NH-Asian/PI",0.00010677752894278,5.27138723235067e-05,0.0514872339125451,FALSE
"BRFSS","Hispanic",-3.41228935327709e-05,4.09628638130537e-05,0.41120561108597,FALSE
"BRFSS","Other",0.000223730962909208,4.0926308283245e-05,5.63330704572279e-06,TRUE
"MEPS","NH-White",0.000321353953011918,2.84147110449107e-05,1.23007586617677e-10,TRUE
"MEPS","NH-Black",5.02007140747964e-05,7.16730647446417e-05,0.491011324930782,FALSE
"MEPS","NH-AIAN",0.000189815560071556,0.000208486162824545,0.372454826162527,FALSE
"MEPS","NH-Asian/PI",6.54659526029911e-05,0.000118288521353354,0.585541338873568,FALSE
"MEPS","Hispanic",8.10795899027715e-05,5.14359986527593e-05,0.129224113024534,FALSE
"MEPS","Other",0.000249165979043587,0.000174587962841459,0.168959216494045,FALSE
"NHIS","NH-White",0.000265832239701057,2.41008900544908e-05,5.9384376979738e-10,TRUE
"NHIS","NH-Black",0.000197132582369618,4.01537909304093e-05,8.46620237305062e-05,TRUE
"NHIS","NH-AIAN",0.000429438491622662,0.000204796956619216,0.04892000978713,TRUE
"NHIS","NH-Asian/PI",-0.000127798085190985,7.89157228475973e-05,0.121017708943429,FALSE
"NHIS","Hispanic",6.6307700831112e-05,2.89909491451986e-05,0.0305690822000316,TRUE
"NHIS","Other",0.000146872010940183,1.00014779706562e-05,8.94344169193008e-17,TRUE
"CPS","NH-White",0.000319931173844688,1.12909222286014e-05,3.69871893381715e-22,TRUE
"CPS","NH-Black",0.000287491060108609,2.4410659834205e-05,2.31470134753602e-12,TRUE
"CPS","NH-AIAN",0.000183504404801199,6.39819733111728e-05,0.00776443522671291,TRUE
"CPS","NH-Asian/PI",0.000143490288336219,2.69069008486716e-05,1.1171070588881e-05,TRUE
"CPS","Hispanic",0.000245155775159861,2.50565814382809e-05,1.55488684076102e-10,TRUE
"CPS","Other",0.000201665837512328,4.54280962624854e-05,0.000128197676842152,TRUE
"NHANES","NH-White",0.000290956950515928,0.000103325334915697,0.0182879131364426,TRUE
"NHANES","NH-Black",0.000347228277921546,4.09990632866418e-05,7.12339139567566e-06,TRUE
"NHANES","NH-AIAN",NA,NA,NA,NA
"NHANES","NH-Asian/PI",NA,NA,NA,NA
"NHANES","Hispanic",0.000221853813718101,0.000103584712125678,0.0578628142087366,FALSE
"NHANES","Other",0.000230866935029979,0.000162374053406209,0.185508479390169,FALSE
"GSS","NH-White",0.000365454327557064,7.39167030326308e-05,0.00043969621557869,TRUE
"GSS","NH-Black",0.00052609451758515,9.76406312194651e-05,0.000220627346325709,TRUE
"GSS","NH-AIAN",NA,NA,NA,NA
"GSS","NH-Asian/PI",NA,NA,NA,NA
"GSS","Hispanic",0.000411610473502483,0.000171067592356688,0.0348525446027655,TRUE
"GSS","Other",0.000218942248763804,2.57643017147687e-05,1.75339971526819e-09,TRUE
