"dataset","year","stratum","beta_age","se","p_value","n"
"BRFSS",1993,"NH-White",-0.0171354751668951,0.000290216276053826,0,83181
"BRFSS",1993,"NH-Black",-0.020043749507683,0.000985452914536265,5.0927216942367e-90,9311
"BRFSS",1993,"NH-AIAN",-0.0118379738371609,0.00308964110490942,0.000134248626554517,1152
"BRFSS",1993,"NH-Asian/PI",-0.00866873263544908,0.00298526990357133,0.00374868862975096,1298
"BRFSS",1993,"Hispanic",-0.0142902254215279,0.00154456208409656,3.12066150197489e-20,5336
"BRFSS",1993,"Other",-0.0166463117759594,0.00258252918441366,1.63089292028378e-10,1270
"BRFSS",1994,"NH-White",-0.0163184210998673,0.000303035638788952,0,86192
"BRFSS",1994,"NH-Black",-0.0213623955259277,0.000959670867387745,4.56643704675814e-107,9567
"BRFSS",1994,"NH-AIAN",-0.0112179008862926,0.00283280680980587,7.91690997153777e-05,1255
"BRFSS",1994,"NH-Asian/PI",-0.00855849793412019,0.00236097457628091,0.000299415634694048,1391
"BRFSS",1994,"Hispanic",-0.0136589925434751,0.0015853069258224,9.0020632893521e-18,5372
"BRFSS",1994,"Other",-0.0161333701729749,0.00321362814722951,5.82650348576733e-07,1393
"BRFSS",1995,"NH-White",-0.0163307396054944,0.000309616507407155,0,93211
"BRFSS",1995,"NH-Black",-0.0218906495810989,0.00093696093742148,2.29010901838261e-117,9311
"BRFSS",1995,"NH-AIAN",-0.0172381252471656,0.00308887821642598,2.8804816546822e-08,1380
"BRFSS",1995,"NH-Asian/PI",-0.0107564924910985,0.00358228904193322,0.00272025307317087,1505
"BRFSS",1995,"Hispanic",-0.0134028368523362,0.00135107015444845,5.03036541372501e-23,6252
"BRFSS",1995,"Other",-0.0185467307334541,0.00229172755279405,1.13527113982681e-15,1615
"BRFSS",1996,"NH-White",-0.0150176176447017,0.000270728215809215,0,99818
"BRFSS",1996,"NH-Black",-0.0202213694988575,0.000979121561915607,7.31264714945909e-93,10177
"BRFSS",1996,"NH-AIAN",-0.016231989640458,0.00345435341561762,2.88619373900133e-06,1330
"BRFSS",1996,"NH-Asian/PI",-0.00738872368955733,0.0024811577930112,0.00293094831769779,2410
"BRFSS",1996,"Hispanic",-0.0141358450591313,0.00116221171330779,9.49685980669314e-34,8283
"BRFSS",1996,"Other",-0.0160696294624437,0.00246891454659383,1.07966764398047e-10,1300
"BRFSS",1997,"NH-White",-0.0153305300562443,0.000264332230274754,0,108271
"BRFSS",1997,"NH-Black",-0.021195136820138,0.000934324130378504,2.0705365094896e-111,11130
"BRFSS",1997,"NH-AIAN",-0.0192592982135143,0.00320351575021074,2.26245660856399e-09,1616
"BRFSS",1997,"NH-Asian/PI",-0.0128453515301161,0.00249460506383693,2.80726095498754e-07,2650
"BRFSS",1997,"Hispanic",-0.0184603934462404,0.0010997436094631,2.5651480647266e-62,9253
"BRFSS",1997,"Other",-0.011602134181968,0.00222488996599054,2.07268199558747e-07,1658
"BRFSS",1998,"NH-White",-0.0152099520834646,0.000267858154996629,0,118093
"BRFSS",1998,"NH-Black",-0.0212993238351523,0.00084385707536443,4.76554755275168e-137,12141
"BRFSS",1998,"NH-AIAN",-0.0136339018126122,0.00341393030570595,6.79277447837282e-05,1656
"BRFSS",1998,"NH-Asian/PI",-0.00798126147408237,0.00253945258716046,0.00169053727814014,2763
"BRFSS",1998,"Hispanic",-0.0152110035323429,0.00109778517338532,2.55647270577058e-43,11771
"BRFSS",1998,"Other",-0.0147867167076443,0.00220450804903718,2.59448298126559e-11,1927
"BRFSS",1999,"NH-White",-0.0148104729867821,0.000263001431819957,0,126176
"BRFSS",1999,"NH-Black",-0.0188744594818749,0.000885114797519358,4.16944784690984e-99,12294
"BRFSS",1999,"NH-AIAN",-0.0132015858450149,0.00283362698631717,3.37150549445025e-06,2173
"BRFSS",1999,"NH-Asian/PI",-0.00941563104943647,0.00245878106769427,0.000131407228312939,2680
"BRFSS",1999,"Hispanic",-0.0157662194279536,0.00113418898427935,1.26351785654879e-43,13294
"BRFSS",1999,"Other",-0.0150259150399252,0.001978062163039,4.56498352136688e-14,2095
"BRFSS",2000,"NH-White",-0.0152933841236908,0.000251163649802845,0,141553
"BRFSS",2000,"NH-Black",-0.0207141248566358,0.000892258974026579,4.93655860306615e-117,14096
"BRFSS",2000,"NH-AIAN",-0.0178727706619094,0.00277767802427298,1.42263619924639e-10,3231
"BRFSS",2000,"NH-Asian/PI",-0.00921003652585609,0.00224112932112105,4.038752499235e-05,4267
"BRFSS",2000,"Hispanic",-0.0163816087920397,0.00102706026643606,7.66052996852518e-57,16320
"BRFSS",2000,"Other",-0.0120420698221023,0.00192007468361897,4.12743960599122e-10,2787
"BRFSS",2001,"NH-White",-0.0153620569167867,0.000225255691378641,0,162305
"BRFSS",2001,"NH-Black",-0.020327941665912,0.0007568770838709,9.74187302623322e-156,17496
"BRFSS",2001,"NH-AIAN",-0.0204914192069996,0.0024443639588522,7.45499923207455e-17,3395
"BRFSS",2001,"NH-Asian/PI",-0.0102840637949056,0.0021033527008015,1.03920736965856e-06,5731
"BRFSS",2001,"Hispanic",-0.0158399369509165,0.00112371668172669,7.0769923447177e-45,17480
"BRFSS",2001,"Other",-0.0201101217301518,0.00146190300595507,4.59715954033714e-42,3836
"BRFSS",2002,"NH-White",-0.0150282915121261,0.000217288282030012,0,192645
"BRFSS",2002,"NH-Black",-0.022101218546319,0.000836005921372102,2.77019711552737e-151,19040
"BRFSS",2002,"NH-AIAN",-0.0129203064096453,0.00292724442637685,1.04393842870893e-05,3793
"BRFSS",2002,"NH-Asian/PI",-0.00874749702510652,0.00207159862819424,2.44571314257729e-05,7014
"BRFSS",2002,"Hispanic",-0.0193419752347655,0.00109550482967564,3.52407530822367e-69,17982
"BRFSS",2002,"Other",-0.0157714902886598,0.00184178867084778,1.52952427823863e-17,4123
"BRFSS",2003,"NH-White",-0.0148544160187553,0.000214859376214785,0,207586
"BRFSS",2003,"NH-Black",-0.0203769015678098,0.000790187489910239,2.24403416607647e-144,20848
"BRFSS",2003,"NH-AIAN",-0.0170713121286671,0.00273351792998697,4.63963731920782e-10,4334
"BRFSS",2003,"NH-Asian/PI",-0.00929470086957363,0.00213123211840328,1.31464300246382e-05,6170
"BRFSS",2003,"Hispanic",-0.0171551085958523,0.00101478115071349,1.17134581588358e-63,19477
"BRFSS",2003,"Other",-0.0141297535088265,0.00149916821337459,7.16756380765915e-21,3888
"BRFSS",2004,"NH-White",-0.0150626294000882,0.000209224392356249,0,238644
"BRFSS",2004,"NH-Black",-0.0210210906550645,0.00074209772905076,6.98106759360178e-174,26088
"BRFSS",2004,"NH-AIAN",-0.0163662341179836,0.00192191785892552,2.17507484350405e-17,4926
"BRFSS",2004,"NH-Asian/PI",-0.0113414683598014,0.00222519748967939,3.62241440033067e-07,3792
"BRFSS",2004,"Hispanic",-0.0144491276969567,0.000977955642957039,3.58869349367831e-49,22881
"BRFSS",2004,"Other",-0.0169009374858239,0.00146813078804568,2.99571071853948e-30,4567
"BRFSS",2005,"NH-White",-0.0142856490481515,0.000198131588258277,0,279956
