"year","age_group","stratum","mean_srh","n","dataset"
1993,"18-29","NH-White",3.97351549218454,15186,"BRFSS"
1993,"18-29","NH-Black",3.73009583942861,2337,"BRFSS"
1993,"18-29","NH-AIAN",3.61643199853988,281,"BRFSS"
1993,"18-29","NH-Asian/PI",3.82286692942749,436,"BRFSS"
1993,"18-29","Hispanic",3.67629413053957,1649,"BRFSS"
1993,"18-29","Other",3.80558670056044,254,"BRFSS"
1993,"30-39","NH-White",3.97476815102332,19397,"BRFSS"
1993,"30-39","NH-Black",3.6884611438069,2411,"BRFSS"
1993,"30-39","NH-AIAN",3.60338595665702,343,"BRFSS"
1993,"30-39","NH-Asian/PI",3.82349710784597,381,"BRFSS"
1993,"30-39","Hispanic",3.5177094490293,1500,"BRFSS"
1993,"30-39","Other",3.92450061230857,311,"BRFSS"
1993,"40-49","NH-White",3.86625180350565,15799,"BRFSS"
1993,"40-49","NH-Black",3.46897829346686,1654,"BRFSS"
1993,"40-49","NH-AIAN",3.47261464518948,234,"BRFSS"
1993,"40-49","NH-Asian/PI",3.80723759944521,269,"BRFSS"
1993,"40-49","Hispanic",3.42360737409405,960,"BRFSS"
1993,"40-49","Other",3.73957812731885,249,"BRFSS"
1993,"50-59","NH-White",3.64141297767269,10552,"BRFSS"
1993,"50-59","NH-Black",3.06912518227696,1064,"BRFSS"
1993,"50-59","NH-AIAN",3.36215170911886,127,"BRFSS"
1993,"50-59","NH-Asian/PI",3.91496396327066,107,"BRFSS"
1993,"50-59","Hispanic",3.33261510841899,525,"BRFSS"
1993,"50-59","Other",3.3260676741895,132,"BRFSS"
1993,"60-69","NH-White",3.32775501563046,10442,"BRFSS"
1993,"60-69","NH-Black",2.90658292352266,972,"BRFSS"
1993,"60-69","NH-AIAN",3.07177050926838,105,"BRFSS"
1993,"60-69","NH-Asian/PI",3.2594405550034,66,"BRFSS"
1993,"60-69","Hispanic",2.96577922166017,394,"BRFSS"
1993,"60-69","Other",3.12420551669776,166,"BRFSS"
1993,"70-79","NH-White",3.09416844604308,8386,"BRFSS"
1993,"70-79","NH-Black",2.72772768445116,658,"BRFSS"
1993,"70-79","NH-AIAN",2.96654741583171,47,"BRFSS"
1993,"70-79","NH-Asian/PI",3.15044218626507,30,"BRFSS"
1993,"70-79","Hispanic",2.92317694285731,242,"BRFSS"
1993,"70-79","Other",3.27212980245492,114,"BRFSS"
1993,"80-89","NH-White",2.96824576326307,3419,"BRFSS"
