"dataset","stratum","slope","se","p_value","is_significant"
"BRFSS","Male",0.000149056917932057,1.58961736155289e-05,1.45580389940517e-10,TRUE
"BRFSS","Female",0.000262757397581653,1.40711966664841e-05,2.01801642545595e-18,TRUE
"MEPS","Male",0.000151753744104663,3.59209163665167e-05,0.000348553658222192,TRUE
"MEPS","Female",0.000198097251562949,3.30712478015783e-05,4.98808574935881e-06,TRUE
"NHIS","Male",0.00014468621834785,1.17099628460119e-05,1.64073111223866e-14,TRUE
"NHIS","Female",0.000115454602622606,1.63920322172265e-05,2.88029167302307e-08,TRUE
"CPS","Male",0.000253463073852706,1.35828780902543e-05,2.47885130480881e-17,TRUE
"CPS","Female",0.000277312896850032,1.31211659808502e-05,9.49290122340446e-19,TRUE
"NHANES","Male",0.000247351563590521,0.000105361215233416,0.0408036370597428,TRUE
"NHANES","Female",0.00025973977391443,6.86789607417937e-05,0.00359051095245966,TRUE
"GSS","Male",0.000245898172897757,2.19868200742159e-05,3.17506370750574e-12,TRUE
"GSS","Female",0.000269060511978045,1.89653141095228e-05,7.6374514513258e-15,TRUE
