"dataset","year","r_squared","n"
"BRFSS",1993,0.0745675246705615,101548
"BRFSS",1994,0.0684000444227845,105170
"BRFSS",1995,0.0655915864614691,113274
"BRFSS",1996,0.0548781532482416,123318
"BRFSS",1997,0.0590318054877966,134578
"BRFSS",1998,0.0562926860550694,148351
"BRFSS",1999,0.0513914027671054,158712
"BRFSS",2000,0.0553631308690732,182254
"BRFSS",2001,0.056180596851483,210243
"BRFSS",2002,0.0554943410861986,244597
"BRFSS",2003,0.0536362983223398,262303
"BRFSS",2004,0.0509884673240423,300898
"BRFSS",2005,0.0456828724562047,351846
"BRFSS",2006,0.0451816061622976,350139
"BRFSS",2007,0.0427108045899064,425583
"BRFSS",2008,0.0435670705636647,408885
"BRFSS",2009,0.043407951836112,426540
"BRFSS",2010,0.0436627930425516,442811
"BRFSS",2011,0.0417736261257867,500301
"BRFSS",2012,0.0391449827750022,469066
"BRFSS",2013,0.0375198432393274,483071
"BRFSS",2014,0.037579420902994,458088
"BRFSS",2015,0.0375659522123881,428915
"BRFSS",2016,0.0374919645519073,475367
"BRFSS",2017,0.0319338179388005,444860
"BRFSS",2018,0.0330634552352106,420058
"BRFSS",2019,0.0301247835943922,410815
"BRFSS",2020,0.0479407681761967,399275
"BRFSS",2021,0.0386647617784133,417011
"BRFSS",2022,0.0292740319570393,432875
"BRFSS",2023,0.0237630598384618,424575
"BRFSS",2024,0.0221931947258296,453816
"BRFSS",2025,0.0160285329733602,19184
"CPS",1996,0.150563347059588,93785
"CPS",1997,0.14293662245986,95179
"CPS",1998,0.139618195797056,94976
"CPS",1999,0.137437738731132,95791
"CPS",2000,0.136066652936424,97217
"CPS",2001,0.140673416857255,150186
"CPS",2002,0.128981827276077,149879
"CPS",2003,0.131897299648307,149844
"CPS",2004,0.126829516627454,148180
"CPS",2005,0.127093858520996,146518
"CPS",2006,0.12608673499146,145752
"CPS",2007,0.126355780818477,144918
"CPS",2008,0.12000926317735,145609
"CPS",2009,0.11896571745532,147163
"CPS",2010,0.111507508438224,149071
"CPS",2011,0.117256812728079,146785
"CPS",2012,0.116144721268997,144803
"CPS",2013,0.115262158284216,145762
"CPS",2014,0.118317401023415,144298
"CPS",2015,0.111925070270151,144279
"CPS",2016,0.113815709372857,134562
"CPS",2017,0.113228550302587,135750
"CPS",2018,0.115917329177301,132144
"CPS",2019,0.0933906310630287,132868
"CPS",2020,0.0969599978554717,117763
"CPS",2021,0.0901652992989769,121845
"CPS",2022,0.0924086813338836,114158
"CPS",2023,0.0906748182113144,110008
"CPS",2024,0.0929624606096796,109367
"CPS",2025,0.0903125693694522,108044
"GSS",1972,0.1122050138324,1607
"GSS",1973,0.0806149011297009,1496
"GSS",1974,0.107689696683093,1474
"GSS",1975,0.0847169604342408,1484
"GSS",1976,0.108074254130677,1492
"GSS",1977,0.0929297681847348,1520
"GSS",1980,0.081892997136626,1457
"GSS",1982,0.0785964971403893,1845
